Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,26,259,10000,10000
0,1,10000,11000,26,259,20000,10000
0,2,20000,21000,26,259,30000,10000
0,3,30000,31000,26,259,40000,10000
0,4,40000,41000,26,259,50000,10000
0,5,50000,51000,26,259,60000,10000
0,6,60000,61000,26,259,70000,10000
0,7,70000,71000,26,259,80000,10000
0,8,80000,81000,26,259,90000,10000
0,9,90000,91000,26,259,100000,10000
0,10,100000,101000,26,259,110000,10000
0,11,110000,111000,26,259,120000,10000
0,12,120000,121000,26,259,130000,10000
0,13,130000,131000,26,259,140000,10000
0,14,140000,141000,26,259,150000,10000
0,15,150000,151000,26,259,160000,10000
0,16,160000,161000,26,259,170000,10000
0,17,170000,171000,26,259,180000,10000
0,18,180000,181000,26,259,190000,10000
0,19,190000,191000,26,259,200000,10000
0,20,200000,201000,26,259,210000,10000
0,21,210000,211000,26,259,220000,10000
0,22,220000,221000,26,259,230000,10000
0,23,230000,231000,26,259,240000,10000
0,24,240000,241000,26,259,250000,10000
0,25,250000,251000,26,259,260000,10000
0,26,260000,261000,26,259,270000,10000
0,27,270000,271000,26,259,280000,10000
0,28,280000,281000,26,259,290000,10000
0,29,290000,291000,26,259,300000,10000
1,30,0,1000,83,828,10000,10000
1,31,10000,11000,83,828,20000,10000
1,32,20000,21000,83,828,30000,10000
1,33,30000,31000,83,828,40000,10000
1,34,40000,41000,83,828,50000,10000
1,35,50000,51000,83,828,60000,10000
1,36,60000,61000,83,828,70000,10000
1,37,70000,71000,83,828,80000,10000
1,38,80000,81000,83,828,90000,10000
1,39,90000,91000,83,828,100000,10000
1,40,100000,101000,83,828,110000,10000
1,41,110000,111000,83,828,120000,10000
1,42,120000,121000,83,828,130000,10000
1,43,130000,131000,83,828,140000,10000
1,44,140000,141000,83,828,150000,10000
1,45,150000,151000,83,828,160000,10000
1,46,160000,161000,83,828,170000,10000
1,47,170000,171000,83,828,180000,10000
1,48,180000,181000,83,828,190000,10000
1,49,190000,191000,83,828,200000,10000
1,50,200000,201000,83,828,210000,10000
1,51,210000,211000,83,828,220000,10000
1,52,220000,221000,83,828,230000,10000
1,53,230000,231000,83,828,240000,10000
1,54,240000,241000,83,828,250000,10000
1,55,250000,251000,83,828,260000,10000
1,56,260000,261000,83,828,270000,10000
1,57,270000,271000,83,828,280000,10000
1,58,280000,281000,83,828,290000,10000
1,59,290000,291000,83,828,300000,10000
2,60,0,1000,19,177,10000,10000
2,61,10000,11000,19,177,20000,10000
2,62,20000,21000,19,177,30000,10000
2,63,30000,31000,19,177,40000,10000
2,64,40000,41000,19,177,50000,10000
2,65,50000,51000,19,177,60000,10000
2,66,60000,61000,19,177,70000,10000
2,67,70000,71000,19,177,80000,10000
2,68,80000,81000,19,177,90000,10000
2,69,90000,91000,19,177,100000,10000
2,70,100000,101000,19,177,110000,10000
2,71,110000,111000,19,177,120000,10000
2,72,120000,121000,19,177,130000,10000
2,73,130000,131000,19,177,140000,10000
2,74,140000,141000,19,177,150000,10000
2,75,150000,151000,19,177,160000,10000
2,76,160000,161000,19,177,170000,10000
2,77,170000,171000,19,177,180000,10000
2,78,180000,181000,19,177,190000,10000
2,79,190000,191000,19,177,200000,10000
2,80,200000,201000,19,177,210000,10000
2,81,210000,211000,19,177,220000,10000
2,82,220000,221000,19,177,230000,10000
2,83,230000,231000,19,177,240000,10000
2,84,240000,241000,19,177,250000,10000
2,85,250000,251000,19,177,260000,10000
2,86,260000,261000,19,177,270000,10000
2,87,270000,271000,19,177,280000,10000
2,88,280000,281000,19,177,290000,10000
2,89,290000,291000,19,177,300000,10000
3,90,0,1000,124,1244,10000,10000
3,91,10000,11000,124,1244,20000,10000
3,92,20000,21000,124,1244,30000,10000
3,93,30000,31000,124,1244,40000,10000
3,94,40000,41000,124,1244,50000,10000
3,95,50000,51000,124,1244,60000,10000
3,96,60000,61000,124,1244,70000,10000
3,97,70000,71000,124,1244,80000,10000
3,98,80000,81000,124,1244,90000,10000
3,99,90000,91000,124,1244,100000,10000
3,100,100000,101000,124,1244,110000,10000
3,101,110000,111000,124,1244,120000,10000
3,102,120000,121000,124,1244,130000,10000
3,103,130000,131000,124,1244,140000,10000
3,104,140000,141000,124,1244,150000,10000
3,105,150000,151000,124,1244,160000,10000
3,106,160000,161000,124,1244,170000,10000
3,107,170000,171000,124,1244,180000,10000
3,108,180000,181000,124,1244,190000,10000
3,109,190000,191000,124,1244,200000,10000
3,110,200000,201000,124,1244,210000,10000
3,111,210000,211000,124,1244,220000,10000
3,112,220000,221000,124,1244,230000,10000
3,113,230000,231000,124,1244,240000,10000
3,114,240000,241000,124,1244,250000,10000
3,115,250000,251000,124,1244,260000,10000
3,116,260000,261000,124,1244,270000,10000
3,117,270000,271000,124,1244,280000,10000
3,118,280000,281000,124,1244,290000,10000
3,119,290000,291000,124,1244,300000,10000
4,120,0,1000,18,184,10000,10000
4,121,10000,11000,18,184,20000,10000
4,122,20000,21000,18,184,30000,10000
4,123,30000,31000,18,184,40000,10000
4,124,40000,41000,18,184,50000,10000
4,125,50000,51000,18,184,60000,10000
4,126,60000,61000,18,184,70000,10000
4,127,70000,71000,18,184,80000,10000
4,128,80000,81000,18,184,90000,10000
4,129,90000,91000,18,184,100000,10000
4,130,100000,101000,18,184,110000,10000
4,131,110000,111000,18,184,120000,10000
4,132,120000,121000,18,184,130000,10000
4,133,130000,131000,18,184,140000,10000
4,134,140000,141000,18,184,150000,10000
4,135,150000,151000,18,184,160000,10000
4,136,160000,161000,18,184,170000,10000
4,137,170000,171000,18,184,180000,10000
4,138,180000,181000,18,184,190000,10000
4,139,190000,191000,18,184,200000,10000
4,140,200000,201000,18,184,210000,10000
4,141,210000,211000,18,184,220000,10000
4,142,220000,221000,18,184,230000,10000
4,143,230000,231000,18,184,240000,10000
4,144,240000,241000,18,184,250000,10000
4,145,250000,251000,18,184,260000,10000
4,146,260000,261000,18,184,270000,10000
4,147,270000,271000,18,184,280000,10000
4,148,280000,281000,18,184,290000,10000
4,149,290000,291000,18,184,300000,10000
5,150,0,1000,160,1604,10000,10000
5,151,10000,11000,160,1604,20000,10000
5,152,20000,21000,160,1604,30000,10000
5,153,30000,31000,160,1604,40000,10000
5,154,40000,41000,160,1604,50000,10000
5,155,50000,51000,160,1604,60000,10000
5,156,60000,61000,160,1604,70000,10000
5,157,70000,71000,160,1604,80000,10000
5,158,80000,81000,160,1604,90000,10000
5,159,90000,91000,160,1604,100000,10000
5,160,100000,101000,160,1604,110000,10000
5,161,110000,111000,160,1604,120000,10000
5,162,120000,121000,160,1604,130000,10000
5,163,130000,131000,160,1604,140000,10000
5,164,140000,141000,160,1604,150000,10000
5,165,150000,151000,160,1604,160000,10000
5,166,160000,161000,160,1604,170000,10000
5,167,170000,171000,160,1604,180000,10000
5,168,180000,181000,160,1604,190000,10000
5,169,190000,191000,160,1604,200000,10000
5,170,200000,201000,160,1604,210000,10000
5,171,210000,211000,160,1604,220000,10000
5,172,220000,221000,160,1604,230000,10000
5,173,230000,231000,160,1604,240000,10000
5,174,240000,241000,160,1604,250000,10000
5,175,250000,251000,160,1604,260000,10000
5,176,260000,261000,160,1604,270000,10000
5,177,270000,271000,160,1604,280000,10000
5,178,280000,281000,160,1604,290000,10000
5,179,290000,291000,160,1604,300000,10000
6,180,0,1000,126,1263,10000,10000
6,181,10000,11000,126,1263,20000,10000
6,182,20000,21000,126,1263,30000,10000
6,183,30000,31000,126,1263,40000,10000
6,184,40000,41000,126,1263,50000,10000
6,185,50000,51000,126,1263,60000,10000
6,186,60000,61000,126,1263,70000,10000
6,187,70000,71000,126,1263,80000,10000
6,188,80000,81000,126,1263,90000,10000
6,189,90000,91000,126,1263,100000,10000
6,190,100000,101000,126,1263,110000,10000
6,191,110000,111000,126,1263,120000,10000
6,192,120000,121000,126,1263,130000,10000
6,193,130000,131000,126,1263,140000,10000
6,194,140000,141000,126,1263,150000,10000
6,195,150000,151000,126,1263,160000,10000
6,196,160000,161000,126,1263,170000,10000
6,197,170000,171000,126,1263,180000,10000
6,198,180000,181000,126,1263,190000,10000
6,199,190000,191000,126,1263,200000,10000
6,200,200000,201000,126,1263,210000,10000
6,201,210000,211000,126,1263,220000,10000
6,202,220000,221000,126,1263,230000,10000
6,203,230000,231000,126,1263,240000,10000
6,204,240000,241000,126,1263,250000,10000
6,205,250000,251000,126,1263,260000,10000
6,206,260000,261000,126,1263,270000,10000
6,207,270000,271000,126,1263,280000,10000
6,208,280000,281000,126,1263,290000,10000
6,209,290000,291000,126,1263,300000,10000
7,210,0,1000,51,509,10000,10000
7,211,10000,11000,51,509,20000,10000
7,212,20000,21000,51,509,30000,10000
7,213,30000,31000,51,509,40000,10000
7,214,40000,41000,51,509,50000,10000
7,215,50000,51000,51,509,60000,10000
7,216,60000,61000,51,509,70000,10000
7,217,70000,71000,51,509,80000,10000
7,218,80000,81000,51,509,90000,10000
7,219,90000,91000,51,509,100000,10000
7,220,100000,101000,51,509,110000,10000
7,221,110000,111000,51,509,120000,10000
7,222,120000,121000,51,509,130000,10000
7,223,130000,131000,51,509,140000,10000
7,224,140000,141000,51,509,150000,10000
7,225,150000,151000,51,509,160000,10000
7,226,160000,161000,51,509,170000,10000
7,227,170000,171000,51,509,180000,10000
7,228,180000,181000,51,509,190000,10000
7,229,190000,191000,51,509,200000,10000
