From TID,From JID,To TID,To JID
0,0,2,1428
0,0,3,2142
0,0,12,8568
0,0,4,2856
0,0,7,4998
0,0,8,5712
0,0,9,6426
0,0,10,7140
0,0,11,7854
0,1,2,1429
0,1,3,2143
0,1,12,8569
0,1,4,2857
0,1,7,4999
0,1,8,5713
0,1,9,6427
0,1,10,7141
0,1,11,7855
0,2,2,1430
0,2,3,2144
0,2,12,8570
0,2,4,2858
0,2,7,5000
0,2,8,5714
0,2,9,6428
0,2,10,7142
0,2,11,7856
0,3,2,1431
0,3,3,2145
0,3,12,8571
0,3,4,2859
0,3,7,5001
0,3,8,5715
0,3,9,6429
0,3,10,7143
0,3,11,7857
0,4,2,1432
0,4,3,2146
0,4,12,8572
0,4,4,2860
0,4,7,5002
0,4,8,5716
0,4,9,6430
0,4,10,7144
0,4,11,7858
0,5,2,1433
0,5,3,2147
0,5,12,8573
0,5,4,2861
0,5,7,5003
0,5,8,5717
0,5,9,6431
0,5,10,7145
0,5,11,7859
0,6,2,1434
0,6,3,2148
0,6,12,8574
0,6,4,2862
0,6,7,5004
0,6,8,5718
0,6,9,6432
0,6,10,7146
0,6,11,7860
0,7,2,1435
0,7,3,2149
0,7,12,8575
0,7,4,2863
0,7,7,5005
0,7,8,5719
0,7,9,6433
0,7,10,7147
0,7,11,7861
0,8,2,1436
0,8,3,2150
0,8,12,8576
0,8,4,2864
0,8,7,5006
0,8,8,5720
0,8,9,6434
0,8,10,7148
0,8,11,7862
0,9,2,1437
0,9,3,2151
0,9,12,8577
0,9,4,2865
0,9,7,5007
0,9,8,5721
0,9,9,6435
0,9,10,7149
0,9,11,7863
0,10,2,1438
0,10,3,2152
0,10,12,8578
0,10,4,2866
0,10,7,5008
0,10,8,5722
0,10,9,6436
0,10,10,7150
0,10,11,7864
0,11,2,1439
0,11,3,2153
0,11,12,8579
0,11,4,2867
0,11,7,5009
0,11,8,5723
0,11,9,6437
0,11,10,7151
0,11,11,7865
0,12,2,1440
0,12,3,2154
0,12,12,8580
0,12,4,2868
0,12,7,5010
0,12,8,5724
0,12,9,6438
0,12,10,7152
0,12,11,7866
0,13,2,1441
0,13,3,2155
0,13,12,8581
0,13,4,2869
0,13,7,5011
0,13,8,5725
0,13,9,6439
0,13,10,7153
0,13,11,7867
0,14,2,1442
0,14,3,2156
0,14,12,8582
0,14,4,2870
0,14,7,5012
0,14,8,5726
0,14,9,6440
0,14,10,7154
0,14,11,7868
0,15,2,1443
0,15,3,2157
0,15,12,8583
0,15,4,2871
0,15,7,5013
0,15,8,5727
0,15,9,6441
0,15,10,7155
0,15,11,7869
0,16,2,1444
0,16,3,2158
0,16,12,8584
0,16,4,2872
0,16,7,5014
0,16,8,5728
0,16,9,6442
0,16,10,7156
0,16,11,7870
0,17,2,1445
0,17,3,2159
0,17,12,8585
0,17,4,2873
0,17,7,5015
0,17,8,5729
0,17,9,6443
0,17,10,7157
0,17,11,7871
0,18,2,1446
0,18,3,2160
0,18,12,8586
0,18,4,2874
0,18,7,5016
0,18,8,5730
0,18,9,6444
0,18,10,7158
0,18,11,7872
0,19,2,1447
0,19,3,2161
0,19,12,8587
0,19,4,2875
0,19,7,5017
0,19,8,5731
0,19,9,6445
0,19,10,7159
0,19,11,7873
0,20,2,1448
0,20,3,2162
0,20,12,8588
0,20,4,2876
0,20,7,5018
0,20,8,5732
0,20,9,6446
0,20,10,7160
0,20,11,7874
0,21,2,1449
0,21,3,2163
0,21,12,8589
0,21,4,2877
0,21,7,5019
0,21,8,5733
0,21,9,6447
0,21,10,7161
0,21,11,7875
0,22,2,1450
0,22,3,2164
0,22,12,8590
0,22,4,2878
0,22,7,5020
0,22,8,5734
0,22,9,6448
0,22,10,7162
0,22,11,7876
0,23,2,1451
0,23,3,2165
0,23,12,8591
0,23,4,2879
0,23,7,5021
0,23,8,5735
0,23,9,6449
0,23,10,7163
0,23,11,7877
0,24,2,1452
0,24,3,2166
0,24,12,8592
0,24,4,2880
0,24,7,5022
0,24,8,5736
0,24,9,6450
0,24,10,7164
0,24,11,7878
0,25,2,1453
0,25,3,2167
0,25,12,8593
0,25,4,2881
0,25,7,5023
0,25,8,5737
0,25,9,6451
0,25,10,7165
0,25,11,7879
0,26,2,1454
0,26,3,2168
0,26,12,8594
0,26,4,2882
0,26,7,5024
0,26,8,5738
0,26,9,6452
0,26,10,7166
0,26,11,7880
0,27,2,1455
0,27,3,2169
0,27,12,8595
0,27,4,2883
0,27,7,5025
0,27,8,5739
0,27,9,6453
0,27,10,7167
0,27,11,7881
0,28,2,1456
0,28,3,2170
0,28,12,8596
0,28,4,2884
0,28,7,5026
0,28,8,5740
0,28,9,6454
