Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,204,2040,30000,30000
0,1,30000,33000,204,2040,60000,30000
0,2,60000,63000,204,2040,90000,30000
0,3,90000,93000,204,2040,120000,30000
0,4,120000,123000,204,2040,150000,30000
0,5,150000,153000,204,2040,180000,30000
0,6,180000,183000,204,2040,210000,30000
0,7,210000,213000,204,2040,240000,30000
0,8,240000,243000,204,2040,270000,30000
0,9,270000,273000,204,2040,300000,30000
0,10,300000,303000,204,2040,330000,30000
0,11,330000,333000,204,2040,360000,30000
0,12,360000,363000,204,2040,390000,30000
0,13,390000,393000,204,2040,420000,30000
0,14,420000,423000,204,2040,450000,30000
0,15,450000,453000,204,2040,480000,30000
0,16,480000,483000,204,2040,510000,30000
0,17,510000,513000,204,2040,540000,30000
0,18,540000,543000,204,2040,570000,30000
0,19,570000,573000,204,2040,600000,30000
0,20,600000,603000,204,2040,630000,30000
0,21,630000,633000,204,2040,660000,30000
0,22,660000,663000,204,2040,690000,30000
0,23,690000,693000,204,2040,720000,30000
0,24,720000,723000,204,2040,750000,30000
0,25,750000,753000,204,2040,780000,30000
1,26,0,3000,144,1434,30000,30000
1,27,30000,33000,144,1434,60000,30000
1,28,60000,63000,144,1434,90000,30000
1,29,90000,93000,144,1434,120000,30000
1,30,120000,123000,144,1434,150000,30000
1,31,150000,153000,144,1434,180000,30000
1,32,180000,183000,144,1434,210000,30000
1,33,210000,213000,144,1434,240000,30000
1,34,240000,243000,144,1434,270000,30000
1,35,270000,273000,144,1434,300000,30000
1,36,300000,303000,144,1434,330000,30000
1,37,330000,333000,144,1434,360000,30000
1,38,360000,363000,144,1434,390000,30000
1,39,390000,393000,144,1434,420000,30000
1,40,420000,423000,144,1434,450000,30000
1,41,450000,453000,144,1434,480000,30000
1,42,480000,483000,144,1434,510000,30000
1,43,510000,513000,144,1434,540000,30000
1,44,540000,543000,144,1434,570000,30000
1,45,570000,573000,144,1434,600000,30000
1,46,600000,603000,144,1434,630000,30000
1,47,630000,633000,144,1434,660000,30000
1,48,660000,663000,144,1434,690000,30000
1,49,690000,693000,144,1434,720000,30000
1,50,720000,723000,144,1434,750000,30000
1,51,750000,753000,144,1434,780000,30000
2,52,0,3000,170,1701,30000,30000
2,53,30000,33000,170,1701,60000,30000
2,54,60000,63000,170,1701,90000,30000
2,55,90000,93000,170,1701,120000,30000
2,56,120000,123000,170,1701,150000,30000
2,57,150000,153000,170,1701,180000,30000
2,58,180000,183000,170,1701,210000,30000
2,59,210000,213000,170,1701,240000,30000
2,60,240000,243000,170,1701,270000,30000
2,61,270000,273000,170,1701,300000,30000
2,62,300000,303000,170,1701,330000,30000
2,63,330000,333000,170,1701,360000,30000
2,64,360000,363000,170,1701,390000,30000
2,65,390000,393000,170,1701,420000,30000
2,66,420000,423000,170,1701,450000,30000
2,67,450000,453000,170,1701,480000,30000
2,68,480000,483000,170,1701,510000,30000
2,69,510000,513000,170,1701,540000,30000
2,70,540000,543000,170,1701,570000,30000
2,71,570000,573000,170,1701,600000,30000
2,72,600000,603000,170,1701,630000,30000
2,73,630000,633000,170,1701,660000,30000
2,74,660000,663000,170,1701,690000,30000
2,75,690000,693000,170,1701,720000,30000
2,76,720000,723000,170,1701,750000,30000
2,77,750000,753000,170,1701,780000,30000
3,78,0,3000,49,494,30000,30000
3,79,30000,33000,49,494,60000,30000
3,80,60000,63000,49,494,90000,30000
3,81,90000,93000,49,494,120000,30000
3,82,120000,123000,49,494,150000,30000
3,83,150000,153000,49,494,180000,30000
3,84,180000,183000,49,494,210000,30000
3,85,210000,213000,49,494,240000,30000
3,86,240000,243000,49,494,270000,30000
3,87,270000,273000,49,494,300000,30000
3,88,300000,303000,49,494,330000,30000
3,89,330000,333000,49,494,360000,30000
3,90,360000,363000,49,494,390000,30000
3,91,390000,393000,49,494,420000,30000
3,92,420000,423000,49,494,450000,30000
3,93,450000,453000,49,494,480000,30000
3,94,480000,483000,49,494,510000,30000
3,95,510000,513000,49,494,540000,30000
3,96,540000,543000,49,494,570000,30000
3,97,570000,573000,49,494,600000,30000
3,98,600000,603000,49,494,630000,30000
3,99,630000,633000,49,494,660000,30000
3,100,660000,663000,49,494,690000,30000
3,101,690000,693000,49,494,720000,30000
3,102,720000,723000,49,494,750000,30000
3,103,750000,753000,49,494,780000,30000
4,104,0,3000,193,1931,30000,30000
4,105,30000,33000,193,1931,60000,30000
4,106,60000,63000,193,1931,90000,30000
4,107,90000,93000,193,1931,120000,30000
4,108,120000,123000,193,1931,150000,30000
4,109,150000,153000,193,1931,180000,30000
4,110,180000,183000,193,1931,210000,30000
4,111,210000,213000,193,1931,240000,30000
4,112,240000,243000,193,1931,270000,30000
4,113,270000,273000,193,1931,300000,30000
4,114,300000,303000,193,1931,330000,30000
4,115,330000,333000,193,1931,360000,30000
4,116,360000,363000,193,1931,390000,30000
4,117,390000,393000,193,1931,420000,30000
4,118,420000,423000,193,1931,450000,30000
4,119,450000,453000,193,1931,480000,30000
4,120,480000,483000,193,1931,510000,30000
4,121,510000,513000,193,1931,540000,30000
4,122,540000,543000,193,1931,570000,30000
4,123,570000,573000,193,1931,600000,30000
4,124,600000,603000,193,1931,630000,30000
4,125,630000,633000,193,1931,660000,30000
4,126,660000,663000,193,1931,690000,30000
4,127,690000,693000,193,1931,720000,30000
4,128,720000,723000,193,1931,750000,30000
4,129,750000,753000,193,1931,780000,30000
5,130,0,3000,96,960,30000,30000
5,131,30000,33000,96,960,60000,30000
5,132,60000,63000,96,960,90000,30000
5,133,90000,93000,96,960,120000,30000
5,134,120000,123000,96,960,150000,30000
5,135,150000,153000,96,960,180000,30000
5,136,180000,183000,96,960,210000,30000
5,137,210000,213000,96,960,240000,30000
5,138,240000,243000,96,960,270000,30000
5,139,270000,273000,96,960,300000,30000
5,140,300000,303000,96,960,330000,30000
5,141,330000,333000,96,960,360000,30000
5,142,360000,363000,96,960,390000,30000
5,143,390000,393000,96,960,420000,30000
5,144,420000,423000,96,960,450000,30000
5,145,450000,453000,96,960,480000,30000
5,146,480000,483000,96,960,510000,30000
5,147,510000,513000,96,960,540000,30000
5,148,540000,543000,96,960,570000,30000
5,149,570000,573000,96,960,600000,30000
5,150,600000,603000,96,960,630000,30000
5,151,630000,633000,96,960,660000,30000
5,152,660000,663000,96,960,690000,30000
5,153,690000,693000,96,960,720000,30000
5,154,720000,723000,96,960,750000,30000
5,155,750000,753000,96,960,780000,30000
6,156,0,3000,42,419,30000,30000
6,157,30000,33000,42,419,60000,30000
6,158,60000,63000,42,419,90000,30000
6,159,90000,93000,42,419,120000,30000
6,160,120000,123000,42,419,150000,30000
6,161,150000,153000,42,419,180000,30000
6,162,180000,183000,42,419,210000,30000
6,163,210000,213000,42,419,240000,30000
6,164,240000,243000,42,419,270000,30000
6,165,270000,273000,42,419,300000,30000
6,166,300000,303000,42,419,330000,30000
6,167,330000,333000,42,419,360000,30000
6,168,360000,363000,42,419,390000,30000
6,169,390000,393000,42,419,420000,30000
6,170,420000,423000,42,419,450000,30000
6,171,450000,453000,42,419,480000,30000
6,172,480000,483000,42,419,510000,30000
6,173,510000,513000,42,419,540000,30000
6,174,540000,543000,42,419,570000,30000
6,175,570000,573000,42,419,600000,30000
6,176,600000,603000,42,419,630000,30000
6,177,630000,633000,42,419,660000,30000
6,178,660000,663000,42,419,690000,30000
6,179,690000,693000,42,419,720000,30000
6,180,720000,723000,42,419,750000,30000
6,181,750000,753000,42,419,780000,30000
7,182,0,3000,59,589,30000,30000
7,183,30000,33000,59,589,60000,30000
7,184,60000,63000,59,589,90000,30000
7,185,90000,93000,59,589,120000,30000
