From TID,From JID,To TID,To JID
0,0,2,52
0,0,3,78
0,0,1,26
0,1,2,53
0,1,3,79
0,1,1,27
0,2,2,54
0,2,3,80
0,2,1,28
0,3,2,55
0,3,3,81
0,3,1,29
0,4,2,56
0,4,3,82
0,4,1,30
0,5,2,57
0,5,3,83
0,5,1,31
0,6,2,58
0,6,3,84
0,6,1,32
0,7,2,59
0,7,3,85
0,7,1,33
0,8,2,60
0,8,3,86
0,8,1,34
0,9,2,61
0,9,3,87
0,9,1,35
0,10,2,62
0,10,3,88
0,10,1,36
0,11,2,63
0,11,3,89
0,11,1,37
0,12,2,64
0,12,3,90
0,12,1,38
0,13,2,65
0,13,3,91
0,13,1,39
0,14,2,66
0,14,3,92
0,14,1,40
0,15,2,67
0,15,3,93
0,15,1,41
0,16,2,68
0,16,3,94
0,16,1,42
0,17,2,69
0,17,3,95
0,17,1,43
0,18,2,70
0,18,3,96
0,18,1,44
0,19,2,71
0,19,3,97
0,19,1,45
0,20,2,72
0,20,3,98
0,20,1,46
0,21,2,73
0,21,3,99
0,21,1,47
0,22,2,74
0,22,3,100
0,22,1,48
0,23,2,75
0,23,3,101
0,23,1,49
0,24,2,76
0,24,3,102
0,24,1,50
0,25,2,77
0,25,3,103
0,25,1,51
2,52,1,26
2,53,1,27
2,54,1,28
2,55,1,29
2,56,1,30
2,57,1,31
2,58,1,32
2,59,1,33
2,60,1,34
2,61,1,35
2,62,1,36
2,63,1,37
2,64,1,38
2,65,1,39
2,66,1,40
2,67,1,41
2,68,1,42
2,69,1,43
2,70,1,44
2,71,1,45
2,72,1,46
2,73,1,47
2,74,1,48
2,75,1,49
2,76,1,50
2,77,1,51
3,78,1,26
3,79,1,27
3,80,1,28
3,81,1,29
3,82,1,30
3,83,1,31
3,84,1,32
3,85,1,33
3,86,1,34
3,87,1,35
3,88,1,36
3,89,1,37
3,90,1,38
3,91,1,39
3,92,1,40
3,93,1,41
3,94,1,42
3,95,1,43
3,96,1,44
3,97,1,45
3,98,1,46
3,99,1,47
3,100,1,48
3,101,1,49
3,102,1,50
3,103,1,51
4,104,6,156
4,104,7,182
4,104,15,390
4,104,9,234
4,104,12,312
4,104,13,338
4,104,14,364
4,105,6,157
4,105,7,183
4,105,15,391
4,105,9,235
4,105,12,313
4,105,13,339
4,105,14,365
4,106,6,158
4,106,7,184
4,106,15,392
4,106,9,236
4,106,12,314
4,106,13,340
4,106,14,366
4,107,6,159
4,107,7,185
4,107,15,393
4,107,9,237
4,107,12,315
4,107,13,341
4,107,14,367
4,108,6,160
4,108,7,186
4,108,15,394
4,108,9,238
4,108,12,316
4,108,13,342
4,108,14,368
4,109,6,161
4,109,7,187
4,109,15,395
4,109,9,239
4,109,12,317
4,109,13,343
4,109,14,369
4,110,6,162
4,110,7,188
4,110,15,396
4,110,9,240
4,110,12,318
4,110,13,344
4,110,14,370
4,111,6,163
4,111,7,189
4,111,15,397
4,111,9,241
