From TID,From JID,To TID,To JID
0,0,2,48
0,0,3,72
0,0,4,96
0,0,1,24
0,0,6,144
0,0,11,264
0,1,2,49
0,1,3,73
0,1,4,97
0,1,1,25
0,1,6,145
0,1,11,265
0,2,2,50
0,2,3,74
0,2,4,98
0,2,1,26
0,2,6,146
0,2,11,266
0,3,2,51
0,3,3,75
0,3,4,99
0,3,1,27
0,3,6,147
0,3,11,267
0,4,2,52
0,4,3,76
0,4,4,100
0,4,1,28
0,4,6,148
0,4,11,268
0,5,2,53
0,5,3,77
0,5,4,101
0,5,1,29
0,5,6,149
0,5,11,269
0,6,2,54
0,6,3,78
0,6,4,102
0,6,1,30
0,6,6,150
0,6,11,270
0,7,2,55
0,7,3,79
0,7,4,103
0,7,1,31
0,7,6,151
0,7,11,271
0,8,2,56
0,8,3,80
0,8,4,104
0,8,1,32
0,8,6,152
0,8,11,272
0,9,2,57
0,9,3,81
0,9,4,105
0,9,1,33
0,9,6,153
0,9,11,273
0,10,2,58
0,10,3,82
0,10,4,106
0,10,1,34
0,10,6,154
0,10,11,274
0,11,2,59
0,11,3,83
0,11,4,107
0,11,1,35
0,11,6,155
0,11,11,275
0,12,2,60
0,12,3,84
0,12,4,108
0,12,1,36
0,12,6,156
0,12,11,276
0,13,2,61
0,13,3,85
0,13,4,109
0,13,1,37
0,13,6,157
0,13,11,277
0,14,2,62
0,14,3,86
0,14,4,110
0,14,1,38
0,14,6,158
0,14,11,278
0,15,2,63
0,15,3,87
0,15,4,111
0,15,1,39
0,15,6,159
0,15,11,279
0,16,2,64
0,16,3,88
0,16,4,112
0,16,1,40
0,16,6,160
0,16,11,280
0,17,2,65
0,17,3,89
0,17,4,113
0,17,1,41
0,17,6,161
0,17,11,281
0,18,2,66
0,18,3,90
0,18,4,114
0,18,1,42
0,18,6,162
0,18,11,282
0,19,2,67
0,19,3,91
0,19,4,115
0,19,1,43
0,19,6,163
0,19,11,283
0,20,2,68
0,20,3,92
0,20,4,116
0,20,1,44
0,20,6,164
0,20,11,284
0,21,2,69
0,21,3,93
0,21,4,117
0,21,1,45
0,21,6,165
0,21,11,285
0,22,2,70
0,22,3,94
0,22,4,118
0,22,1,46
0,22,6,166
0,22,11,286
0,23,2,71
0,23,3,95
0,23,4,119
0,23,1,47
0,23,6,167
0,23,11,287
2,48,1,24
