From TID,From JID,To TID,To JID
0,0,2,728
0,0,3,1092
0,0,4,1456
0,0,1,364
0,1,2,729
0,1,3,1093
0,1,4,1457
0,1,1,365
0,2,2,730
0,2,3,1094
0,2,4,1458
0,2,1,366
0,3,2,731
0,3,3,1095
0,3,4,1459
0,3,1,367
0,4,2,732
0,4,3,1096
0,4,4,1460
0,4,1,368
0,5,2,733
0,5,3,1097
0,5,4,1461
0,5,1,369
0,6,2,734
0,6,3,1098
0,6,4,1462
0,6,1,370
0,7,2,735
0,7,3,1099
0,7,4,1463
0,7,1,371
0,8,2,736
0,8,3,1100
0,8,4,1464
0,8,1,372
0,9,2,737
0,9,3,1101
0,9,4,1465
0,9,1,373
0,10,2,738
0,10,3,1102
0,10,4,1466
0,10,1,374
0,11,2,739
0,11,3,1103
0,11,4,1467
0,11,1,375
0,12,2,740
0,12,3,1104
0,12,4,1468
0,12,1,376
0,13,2,741
0,13,3,1105
0,13,4,1469
0,13,1,377
0,14,2,742
0,14,3,1106
0,14,4,1470
0,14,1,378
0,15,2,743
0,15,3,1107
0,15,4,1471
0,15,1,379
0,16,2,744
0,16,3,1108
0,16,4,1472
0,16,1,380
0,17,2,745
0,17,3,1109
0,17,4,1473
0,17,1,381
0,18,2,746
0,18,3,1110
0,18,4,1474
0,18,1,382
0,19,2,747
0,19,3,1111
0,19,4,1475
0,19,1,383
0,20,2,748
0,20,3,1112
0,20,4,1476
0,20,1,384
0,21,2,749
0,21,3,1113
0,21,4,1477
0,21,1,385
0,22,2,750
0,22,3,1114
0,22,4,1478
0,22,1,386
0,23,2,751
0,23,3,1115
0,23,4,1479
0,23,1,387
0,24,2,752
0,24,3,1116
0,24,4,1480
0,24,1,388
0,25,2,753
0,25,3,1117
0,25,4,1481
0,25,1,389
0,26,2,754
0,26,3,1118
0,26,4,1482
0,26,1,390
0,27,2,755
0,27,3,1119
0,27,4,1483
0,27,1,391
0,28,2,756
0,28,3,1120
0,28,4,1484
0,28,1,392
0,29,2,757
0,29,3,1121
0,29,4,1485
0,29,1,393
0,30,2,758
0,30,3,1122
0,30,4,1486
0,30,1,394
0,31,2,759
0,31,3,1123
0,31,4,1487
0,31,1,395
0,32,2,760
0,32,3,1124
0,32,4,1488
0,32,1,396
0,33,2,761
0,33,3,1125
0,33,4,1489
0,33,1,397
0,34,2,762
0,34,3,1126
0,34,4,1490
0,34,1,398
0,35,2,763
0,35,3,1127
0,35,4,1491
0,35,1,399
0,36,2,764
0,36,3,1128
0,36,4,1492
0,36,1,400
0,37,2,765
0,37,3,1129
0,37,4,1493
0,37,1,401
0,38,2,766
0,38,3,1130
0,38,4,1494
0,38,1,402
0,39,2,767
0,39,3,1131
0,39,4,1495
0,39,1,403
0,40,2,768
0,40,3,1132
0,40,4,1496
0,40,1,404
0,41,2,769
0,41,3,1133
0,41,4,1497
0,41,1,405
0,42,2,770
0,42,3,1134
0,42,4,1498
0,42,1,406
0,43,2,771
0,43,3,1135
0,43,4,1499
0,43,1,407
0,44,2,772
0,44,3,1136
0,44,4,1500
0,44,1,408
0,45,2,773
0,45,3,1137
0,45,4,1501
0,45,1,409
0,46,2,774
