From TID,From JID,To TID,To JID
0,0,2,84
0,0,10,420
0,0,11,462
0,0,6,252
0,0,7,294
0,0,9,378
0,1,2,85
0,1,10,421
0,1,11,463
0,1,6,253
0,1,7,295
0,1,9,379
0,2,2,86
0,2,10,422
0,2,11,464
0,2,6,254
0,2,7,296
0,2,9,380
0,3,2,87
0,3,10,423
0,3,11,465
0,3,6,255
0,3,7,297
0,3,9,381
0,4,2,88
0,4,10,424
0,4,11,466
0,4,6,256
0,4,7,298
0,4,9,382
0,5,2,89
0,5,10,425
0,5,11,467
0,5,6,257
0,5,7,299
0,5,9,383
0,6,2,90
0,6,10,426
0,6,11,468
0,6,6,258
0,6,7,300
0,6,9,384
0,7,2,91
0,7,10,427
0,7,11,469
0,7,6,259
0,7,7,301
0,7,9,385
0,8,2,92
0,8,10,428
0,8,11,470
0,8,6,260
0,8,7,302
0,8,9,386
0,9,2,93
0,9,10,429
0,9,11,471
0,9,6,261
0,9,7,303
0,9,9,387
0,10,2,94
0,10,10,430
0,10,11,472
0,10,6,262
0,10,7,304
0,10,9,388
0,11,2,95
0,11,10,431
0,11,11,473
0,11,6,263
0,11,7,305
0,11,9,389
0,12,2,96
0,12,10,432
0,12,11,474
0,12,6,264
0,12,7,306
0,12,9,390
0,13,2,97
0,13,10,433
0,13,11,475
0,13,6,265
0,13,7,307
0,13,9,391
0,14,2,98
0,14,10,434
0,14,11,476
0,14,6,266
0,14,7,308
0,14,9,392
0,15,2,99
0,15,10,435
0,15,11,477
0,15,6,267
0,15,7,309
0,15,9,393
0,16,2,100
0,16,10,436
0,16,11,478
0,16,6,268
0,16,7,310
0,16,9,394
0,17,2,101
0,17,10,437
0,17,11,479
0,17,6,269
0,17,7,311
0,17,9,395
0,18,2,102
0,18,10,438
0,18,11,480
0,18,6,270
0,18,7,312
0,18,9,396
0,19,2,103
0,19,10,439
0,19,11,481
0,19,6,271
0,19,7,313
0,19,9,397
0,20,2,104
0,20,10,440
0,20,11,482
