From TID,From JID,To TID,To JID
0,0,2,112
0,0,10,560
0,0,11,616
0,0,1,56
0,0,4,224
0,0,5,280
0,0,9,504
0,1,2,113
0,1,10,561
0,1,11,617
0,1,1,57
0,1,4,225
0,1,5,281
0,1,9,505
0,2,2,114
0,2,10,562
0,2,11,618
0,2,1,58
0,2,4,226
0,2,5,282
0,2,9,506
0,3,2,115
0,3,10,563
0,3,11,619
0,3,1,59
0,3,4,227
0,3,5,283
0,3,9,507
0,4,2,116
0,4,10,564
0,4,11,620
0,4,1,60
0,4,4,228
0,4,5,284
0,4,9,508
0,5,2,117
0,5,10,565
0,5,11,621
0,5,1,61
0,5,4,229
0,5,5,285
0,5,9,509
0,6,2,118
0,6,10,566
0,6,11,622
0,6,1,62
0,6,4,230
0,6,5,286
0,6,9,510
0,7,2,119
0,7,10,567
0,7,11,623
0,7,1,63
0,7,4,231
0,7,5,287
0,7,9,511
0,8,2,120
0,8,10,568
0,8,11,624
0,8,1,64
0,8,4,232
0,8,5,288
0,8,9,512
0,9,2,121
0,9,10,569
0,9,11,625
0,9,1,65
0,9,4,233
0,9,5,289
0,9,9,513
0,10,2,122
0,10,10,570
0,10,11,626
0,10,1,66
0,10,4,234
0,10,5,290
0,10,9,514
0,11,2,123
0,11,10,571
0,11,11,627
0,11,1,67
0,11,4,235
0,11,5,291
0,11,9,515
0,12,2,124
0,12,10,572
0,12,11,628
0,12,1,68
0,12,4,236
0,12,5,292
0,12,9,516
0,13,2,125
0,13,10,573
0,13,11,629
0,13,1,69
0,13,4,237
0,13,5,293
0,13,9,517
0,14,2,126
0,14,10,574
0,14,11,630
0,14,1,70
0,14,4,238
0,14,5,294
0,14,9,518
0,15,2,127
0,15,10,575
0,15,11,631
0,15,1,71
0,15,4,239
0,15,5,295
0,15,9,519
0,16,2,128
0,16,10,576
0,16,11,632
0,16,1,72
0,16,4,240
0,16,5,296
0,16,9,520
0,17,2,129
0,17,10,577
0,17,11,633
0,17,1,73
0,17,4,241
0,17,5,297
0,17,9,521
0,18,2,130
0,18,10,578
0,18,11,634
0,18,1,74
0,18,4,242
0,18,5,298
0,18,9,522
0,19,2,131
0,19,10,579
0,19,11,635
0,19,1,75
0,19,4,243
0,19,5,299
0,19,9,523
0,20,2,132
0,20,10,580
0,20,11,636
0,20,1,76
0,20,4,244
0,20,5,300
0,20,9,524
0,21,2,133
0,21,10,581
0,21,11,637
0,21,1,77
0,21,4,245
0,21,5,301
0,21,9,525
0,22,2,134
0,22,10,582
0,22,11,638
0,22,1,78
0,22,4,246
0,22,5,302
0,22,9,526
0,23,2,135
0,23,10,583
0,23,11,639
0,23,1,79
0,23,4,247
0,23,5,303
0,23,9,527
0,24,2,136
0,24,10,584
0,24,11,640
0,24,1,80
0,24,4,248
0,24,5,304
0,24,9,528
0,25,2,137
0,25,10,585
0,25,11,641
0,25,1,81
0,25,4,249
0,25,5,305
0,25,9,529
0,26,2,138
0,26,10,586
0,26,11,642
0,26,1,82
0,26,4,250
0,26,5,306
0,26,9,530
0,27,2,139
0,27,10,587
0,27,11,643
0,27,1,83
0,27,4,251
0,27,5,307
0,27,9,531
0,28,2,140
0,28,10,588
0,28,11,644
0,28,1,84
0,28,4,252
0,28,5,308
0,28,9,532
0,29,2,141
0,29,10,589
0,29,11,645
0,29,1,85
0,29,4,253
0,29,5,309
0,29,9,533
0,30,2,142
0,30,10,590
0,30,11,646
0,30,1,86
0,30,4,254
0,30,5,310
0,30,9,534
0,31,2,143
0,31,10,591
0,31,11,647
0,31,1,87
0,31,4,255
0,31,5,311
0,31,9,535
0,32,2,144
0,32,10,592
0,32,11,648
0,32,1,88
0,32,4,256
0,32,5,312
0,32,9,536
0,33,2,145
0,33,10,593
0,33,11,649
0,33,1,89
0,33,4,257
0,33,5,313
0,33,9,537
0,34,2,146
0,34,10,594
0,34,11,650
0,34,1,90
0,34,4,258
0,34,5,314
0,34,9,538
0,35,2,147
0,35,10,595
0,35,11,651
0,35,1,91
0,35,4,259
0,35,5,315
0,35,9,539
0,36,2,148
0,36,10,596
0,36,11,652
0,36,1,92
0,36,4,260
0,36,5,316
0,36,9,540
0,37,2,149
0,37,10,597
0,37,11,653
0,37,1,93
0,37,4,261
0,37,5,317
0,37,9,541
0,38,2,150
0,38,10,598
0,38,11,654
0,38,1,94
0,38,4,262
0,38,5,318
0,38,9,542
0,39,2,151
0,39,10,599
0,39,11,655
0,39,1,95
0,39,4,263
0,39,5,319
0,39,9,543
0,40,2,152
0,40,10,600
0,40,11,656
0,40,1,96
0,40,4,264
0,40,5,320
0,40,9,544
0,41,2,153
0,41,10,601
0,41,11,657
0,41,1,97
0,41,4,265
0,41,5,321
