From TID,From JID,To TID,To JID
0,0,2,72
0,0,11,396
0,0,12,432
0,0,3,108
0,0,4,144
0,0,5,180
0,0,6,216
0,0,7,252
0,0,8,288
0,0,10,360
0,1,2,73
0,1,11,397
0,1,12,433
0,1,3,109
0,1,4,145
0,1,5,181
0,1,6,217
0,1,7,253
0,1,8,289
0,1,10,361
0,2,2,74
0,2,11,398
0,2,12,434
0,2,3,110
0,2,4,146
0,2,5,182
0,2,6,218
0,2,7,254
0,2,8,290
0,2,10,362
0,3,2,75
0,3,11,399
0,3,12,435
0,3,3,111
0,3,4,147
0,3,5,183
0,3,6,219
0,3,7,255
0,3,8,291
0,3,10,363
0,4,2,76
0,4,11,400
0,4,12,436
0,4,3,112
0,4,4,148
0,4,5,184
0,4,6,220
0,4,7,256
0,4,8,292
0,4,10,364
0,5,2,77
0,5,11,401
0,5,12,437
0,5,3,113
0,5,4,149
0,5,5,185
0,5,6,221
0,5,7,257
0,5,8,293
0,5,10,365
0,6,2,78
0,6,11,402
0,6,12,438
0,6,3,114
0,6,4,150
0,6,5,186
0,6,6,222
0,6,7,258
0,6,8,294
0,6,10,366
0,7,2,79
0,7,11,403
0,7,12,439
0,7,3,115
0,7,4,151
0,7,5,187
0,7,6,223
0,7,7,259
0,7,8,295
0,7,10,367
0,8,2,80
0,8,11,404
0,8,12,440
0,8,3,116
0,8,4,152
0,8,5,188
0,8,6,224
0,8,7,260
0,8,8,296
0,8,10,368
0,9,2,81
0,9,11,405
0,9,12,441
0,9,3,117
0,9,4,153
0,9,5,189
0,9,6,225
0,9,7,261
0,9,8,297
0,9,10,369
0,10,2,82
0,10,11,406
0,10,12,442
0,10,3,118
0,10,4,154
0,10,5,190
0,10,6,226
0,10,7,262
0,10,8,298
0,10,10,370
0,11,2,83
0,11,11,407
0,11,12,443
0,11,3,119
0,11,4,155
0,11,5,191
0,11,6,227
0,11,7,263
0,11,8,299
0,11,10,371
0,12,2,84
0,12,11,408
0,12,12,444
0,12,3,120
0,12,4,156
0,12,5,192
0,12,6,228
0,12,7,264
0,12,8,300
0,12,10,372
0,13,2,85
0,13,11,409
0,13,12,445
0,13,3,121
0,13,4,157
0,13,5,193
0,13,6,229
0,13,7,265
0,13,8,301
0,13,10,373
0,14,2,86
0,14,11,410
0,14,12,446
0,14,3,122
0,14,4,158
0,14,5,194
0,14,6,230
0,14,7,266
0,14,8,302
0,14,10,374
0,15,2,87
0,15,11,411
0,15,12,447
0,15,3,123
0,15,4,159
0,15,5,195
0,15,6,231
0,15,7,267
0,15,8,303
0,15,10,375
0,16,2,88
0,16,11,412
0,16,12,448
0,16,3,124
0,16,4,160
0,16,5,196
0,16,6,232
0,16,7,268
0,16,8,304
0,16,10,376
0,17,2,89
0,17,11,413
0,17,12,449
0,17,3,125
0,17,4,161
0,17,5,197
0,17,6,233
0,17,7,269
0,17,8,305
0,17,10,377
0,18,2,90
0,18,11,414
0,18,12,450
0,18,3,126
0,18,4,162
0,18,5,198
0,18,6,234
0,18,7,270
0,18,8,306
0,18,10,378
0,19,2,91
0,19,11,415
0,19,12,451
0,19,3,127
0,19,4,163
0,19,5,199
0,19,6,235
0,19,7,271
0,19,8,307
0,19,10,379
0,20,2,92
0,20,11,416
0,20,12,452
0,20,3,128
0,20,4,164
0,20,5,200
0,20,6,236
0,20,7,272
0,20,8,308
0,20,10,380
0,21,2,93
0,21,11,417
0,21,12,453
0,21,3,129
0,21,4,165
0,21,5,201
0,21,6,237
0,21,7,273
0,21,8,309
0,21,10,381
0,22,2,94
0,22,11,418
0,22,12,454
0,22,3,130
0,22,4,166
0,22,5,202
0,22,6,238
0,22,7,274
0,22,8,310
0,22,10,382
0,23,2,95
0,23,11,419
0,23,12,455
0,23,3,131
0,23,4,167
0,23,5,203
0,23,6,239
0,23,7,275
0,23,8,311
0,23,10,383
0,24,2,96
0,24,11,420
0,24,12,456
0,24,3,132
0,24,4,168
0,24,5,204
0,24,6,240
0,24,7,276
0,24,8,312
0,24,10,384
0,25,2,97
0,25,11,421
0,25,12,457
0,25,3,133
0,25,4,169
0,25,5,205
0,25,6,241
0,25,7,277
0,25,8,313
0,25,10,385
0,26,2,98
0,26,11,422
0,26,12,458
0,26,3,134
0,26,4,170
0,26,5,206
0,26,6,242
0,26,7,278
0,26,8,314
0,26,10,386
0,27,2,99
0,27,11,423
0,27,12,459
0,27,3,135
0,27,4,171
0,27,5,207
0,27,6,243
0,27,7,279
0,27,8,315
0,27,10,387
0,28,2,100
0,28,11,424
0,28,12,460
0,28,3,136
0,28,4,172
0,28,5,208
0,28,6,244
0,28,7,280
0,28,8,316
0,28,10,388
0,29,2,101
0,29,11,425
0,29,12,461
0,29,3,137
0,29,4,173
0,29,5,209
0,29,6,245
0,29,7,281
0,29,8,317
0,29,10,389
0,30,2,102
0,30,11,426
0,30,12,462
0,30,3,138
0,30,4,174
0,30,5,210
0,30,6,246
0,30,7,282
0,30,8,318
0,30,10,390
0,31,2,103
0,31,11,427
0,31,12,463
0,31,3,139
0,31,4,175
0,31,5,211
0,31,6,247
0,31,7,283
