From TID,From JID,To TID,To JID
0,0,2,120
0,0,10,600
0,0,11,660
0,0,4,240
0,0,7,420
0,0,9,540
0,1,2,121
0,1,10,601
0,1,11,661
0,1,4,241
0,1,7,421
0,1,9,541
0,2,2,122
0,2,10,602
0,2,11,662
0,2,4,242
0,2,7,422
0,2,9,542
0,3,2,123
0,3,10,603
0,3,11,663
0,3,4,243
0,3,7,423
0,3,9,543
0,4,2,124
0,4,10,604
0,4,11,664
0,4,4,244
0,4,7,424
0,4,9,544
0,5,2,125
0,5,10,605
0,5,11,665
0,5,4,245
0,5,7,425
0,5,9,545
0,6,2,126
0,6,10,606
0,6,11,666
0,6,4,246
0,6,7,426
0,6,9,546
0,7,2,127
0,7,10,607
0,7,11,667
0,7,4,247
0,7,7,427
0,7,9,547
0,8,2,128
0,8,10,608
0,8,11,668
0,8,4,248
0,8,7,428
0,8,9,548
0,9,2,129
0,9,10,609
0,9,11,669
0,9,4,249
0,9,7,429
0,9,9,549
0,10,2,130
0,10,10,610
0,10,11,670
0,10,4,250
0,10,7,430
0,10,9,550
0,11,2,131
0,11,10,611
0,11,11,671
0,11,4,251
0,11,7,431
0,11,9,551
0,12,2,132
0,12,10,612
0,12,11,672
0,12,4,252
0,12,7,432
0,12,9,552
0,13,2,133
0,13,10,613
0,13,11,673
0,13,4,253
0,13,7,433
0,13,9,553
0,14,2,134
0,14,10,614
0,14,11,674
0,14,4,254
0,14,7,434
0,14,9,554
0,15,2,135
0,15,10,615
0,15,11,675
0,15,4,255
0,15,7,435
0,15,9,555
0,16,2,136
0,16,10,616
0,16,11,676
0,16,4,256
0,16,7,436
0,16,9,556
0,17,2,137
0,17,10,617
0,17,11,677
0,17,4,257
0,17,7,437
0,17,9,557
0,18,2,138
0,18,10,618
0,18,11,678
0,18,4,258
0,18,7,438
0,18,9,558
0,19,2,139
0,19,10,619
0,19,11,679
0,19,4,259
0,19,7,439
0,19,9,559
0,20,2,140
0,20,10,620
0,20,11,680
0,20,4,260
0,20,7,440
0,20,9,560
0,21,2,141
0,21,10,621
0,21,11,681
0,21,4,261
0,21,7,441
0,21,9,561
0,22,2,142
0,22,10,622
0,22,11,682
0,22,4,262
0,22,7,442
0,22,9,562
0,23,2,143
0,23,10,623
0,23,11,683
0,23,4,263
0,23,7,443
0,23,9,563
0,24,2,144
0,24,10,624
0,24,11,684
0,24,4,264
0,24,7,444
0,24,9,564
0,25,2,145
0,25,10,625
0,25,11,685
0,25,4,265
0,25,7,445
0,25,9,565
0,26,2,146
0,26,10,626
0,26,11,686
0,26,4,266
0,26,7,446
0,26,9,566
0,27,2,147
0,27,10,627
0,27,11,687
0,27,4,267
0,27,7,447
0,27,9,567
0,28,2,148
0,28,10,628
0,28,11,688
0,28,4,268
0,28,7,448
0,28,9,568
0,29,2,149
0,29,10,629
0,29,11,689
0,29,4,269
0,29,7,449
0,29,9,569
0,30,2,150
0,30,10,630
0,30,11,690
0,30,4,270
0,30,7,450
0,30,9,570
0,31,2,151
0,31,10,631
0,31,11,691
0,31,4,271
0,31,7,451
0,31,9,571
0,32,2,152
0,32,10,632
0,32,11,692
0,32,4,272
0,32,7,452
0,32,9,572
0,33,2,153
0,33,10,633
0,33,11,693
0,33,4,273
0,33,7,453
0,33,9,573
0,34,2,154
0,34,10,634
0,34,11,694
0,34,4,274
0,34,7,454
0,34,9,574
0,35,2,155
0,35,10,635
0,35,11,695
0,35,4,275
0,35,7,455
0,35,9,575
0,36,2,156
0,36,10,636
0,36,11,696
0,36,4,276
0,36,7,456
0,36,9,576
0,37,2,157
0,37,10,637
0,37,11,697
0,37,4,277
0,37,7,457
0,37,9,577
0,38,2,158
0,38,10,638
0,38,11,698
0,38,4,278
0,38,7,458
0,38,9,578
0,39,2,159
0,39,10,639
0,39,11,699
0,39,4,279
0,39,7,459
0,39,9,579
0,40,2,160
0,40,10,640
0,40,11,700
0,40,4,280
0,40,7,460
0,40,9,580
0,41,2,161
0,41,10,641
0,41,11,701
0,41,4,281
0,41,7,461
0,41,9,581
0,42,2,162
0,42,10,642
0,42,11,702
0,42,4,282
0,42,7,462
0,42,9,582
0,43,2,163
0,43,10,643
0,43,11,703
0,43,4,283
0,43,7,463
0,43,9,583
0,44,2,164
0,44,10,644
0,44,11,704
0,44,4,284
0,44,7,464
0,44,9,584
0,45,2,165
0,45,10,645
0,45,11,705
0,45,4,285
0,45,7,465
0,45,9,585
0,46,2,166
0,46,10,646
0,46,11,706
0,46,4,286
0,46,7,466
0,46,9,586
0,47,2,167
0,47,10,647
0,47,11,707
0,47,4,287
0,47,7,467
0,47,9,587
0,48,2,168
0,48,10,648
0,48,11,708
0,48,4,288
0,48,7,468
0,48,9,588
0,49,2,169
0,49,10,649
0,49,11,709
0,49,4,289
0,49,7,469
0,49,9,589
0,50,2,170
0,50,10,650
0,50,11,710
0,50,4,290
0,50,7,470
0,50,9,590
0,51,2,171
0,51,10,651
0,51,11,711
0,51,4,291
0,51,7,471
0,51,9,591
0,52,2,172
0,52,10,652
0,52,11,712
0,52,4,292
0,52,7,472
0,52,9,592
0,53,2,173
0,53,10,653
0,53,11,713
0,53,4,293
0,53,7,473
0,53,9,593
0,54,2,174
0,54,10,654
0,54,11,714
0,54,4,294
0,54,7,474
0,54,9,594
0,55,2,175
0,55,10,655
0,55,11,715
0,55,4,295
0,55,7,475
0,55,9,595
0,56,2,176
0,56,10,656
0,56,11,716
