From TID,From JID,To TID,To JID
0,0,2,570
0,0,3,855
0,0,4,1140
0,0,1,285
0,0,5,1425
0,0,6,1710
0,0,9,2565
0,1,2,571
0,1,3,856
0,1,4,1141
0,1,1,286
0,1,5,1426
0,1,6,1711
0,1,9,2566
0,2,2,572
0,2,3,857
0,2,4,1142
0,2,1,287
0,2,5,1427
0,2,6,1712
0,2,9,2567
0,3,2,573
0,3,3,858
0,3,4,1143
0,3,1,288
0,3,5,1428
0,3,6,1713
0,3,9,2568
0,4,2,574
0,4,3,859
0,4,4,1144
0,4,1,289
0,4,5,1429
0,4,6,1714
0,4,9,2569
0,5,2,575
0,5,3,860
0,5,4,1145
0,5,1,290
0,5,5,1430
0,5,6,1715
0,5,9,2570
0,6,2,576
0,6,3,861
0,6,4,1146
0,6,1,291
0,6,5,1431
0,6,6,1716
0,6,9,2571
0,7,2,577
0,7,3,862
0,7,4,1147
0,7,1,292
0,7,5,1432
0,7,6,1717
0,7,9,2572
0,8,2,578
0,8,3,863
0,8,4,1148
0,8,1,293
0,8,5,1433
0,8,6,1718
0,8,9,2573
0,9,2,579
0,9,3,864
0,9,4,1149
0,9,1,294
0,9,5,1434
0,9,6,1719
0,9,9,2574
0,10,2,580
0,10,3,865
0,10,4,1150
0,10,1,295
0,10,5,1435
0,10,6,1720
0,10,9,2575
0,11,2,581
0,11,3,866
0,11,4,1151
0,11,1,296
0,11,5,1436
0,11,6,1721
0,11,9,2576
0,12,2,582
0,12,3,867
0,12,4,1152
0,12,1,297
0,12,5,1437
0,12,6,1722
0,12,9,2577
0,13,2,583
0,13,3,868
0,13,4,1153
0,13,1,298
0,13,5,1438
0,13,6,1723
0,13,9,2578
0,14,2,584
0,14,3,869
0,14,4,1154
0,14,1,299
0,14,5,1439
0,14,6,1724
0,14,9,2579
0,15,2,585
0,15,3,870
0,15,4,1155
0,15,1,300
0,15,5,1440
0,15,6,1725
0,15,9,2580
0,16,2,586
0,16,3,871
0,16,4,1156
0,16,1,301
0,16,5,1441
0,16,6,1726
0,16,9,2581
0,17,2,587
0,17,3,872
0,17,4,1157
0,17,1,302
0,17,5,1442
0,17,6,1727
0,17,9,2582
0,18,2,588
0,18,3,873
0,18,4,1158
0,18,1,303
0,18,5,1443
0,18,6,1728
0,18,9,2583
0,19,2,589
0,19,3,874
0,19,4,1159
0,19,1,304
0,19,5,1444
0,19,6,1729
0,19,9,2584
0,20,2,590
0,20,3,875
0,20,4,1160
0,20,1,305
0,20,5,1445
0,20,6,1730
0,20,9,2585
0,21,2,591
0,21,3,876
0,21,4,1161
0,21,1,306
0,21,5,1446
0,21,6,1731
0,21,9,2586
0,22,2,592
0,22,3,877
0,22,4,1162
0,22,1,307
0,22,5,1447
0,22,6,1732
0,22,9,2587
0,23,2,593
0,23,3,878
0,23,4,1163
0,23,1,308
0,23,5,1448
0,23,6,1733
0,23,9,2588
0,24,2,594
0,24,3,879
0,24,4,1164
0,24,1,309
0,24,5,1449
0,24,6,1734
0,24,9,2589
0,25,2,595
0,25,3,880
0,25,4,1165
0,25,1,310
0,25,5,1450
0,25,6,1735
0,25,9,2590
0,26,2,596
0,26,3,881
0,26,4,1166
0,26,1,311
0,26,5,1451
0,26,6,1736
0,26,9,2591
0,27,2,597
0,27,3,882
0,27,4,1167
0,27,1,312
0,27,5,1452
0,27,6,1737
0,27,9,2592
0,28,2,598
0,28,3,883
0,28,4,1168
0,28,1,313
0,28,5,1453
0,28,6,1738
0,28,9,2593
0,29,2,599
0,29,3,884
0,29,4,1169
0,29,1,314
0,29,5,1454
0,29,6,1739
0,29,9,2594
0,30,2,600
0,30,3,885
0,30,4,1170
0,30,1,315
0,30,5,1455
0,30,6,1740
0,30,9,2595
0,31,2,601
0,31,3,886
0,31,4,1171
0,31,1,316
0,31,5,1456
0,31,6,1741
0,31,9,2596
0,32,2,602
0,32,3,887
0,32,4,1172
0,32,1,317
0,32,5,1457
0,32,6,1742
0,32,9,2597
0,33,2,603
0,33,3,888
0,33,4,1173
0,33,1,318
0,33,5,1458
0,33,6,1743
0,33,9,2598
0,34,2,604
0,34,3,889
0,34,4,1174
