Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,8000,694,6940,80000,80000
0,1,80000,88000,694,6940,160000,80000
0,2,160000,168000,694,6940,240000,80000
0,3,240000,248000,694,6940,320000,80000
0,4,320000,328000,694,6940,400000,80000
0,5,400000,408000,694,6940,480000,80000
0,6,480000,488000,694,6940,560000,80000
0,7,560000,568000,694,6940,640000,80000
0,8,640000,648000,694,6940,720000,80000
0,9,720000,728000,694,6940,800000,80000
0,10,800000,808000,694,6940,880000,80000
0,11,880000,888000,694,6940,960000,80000
0,12,960000,968000,694,6940,1040000,80000
0,13,1040000,1048000,694,6940,1120000,80000
0,14,1120000,1128000,694,6940,1200000,80000
1,15,0,8000,357,3574,80000,80000
1,16,80000,88000,357,3574,160000,80000
1,17,160000,168000,357,3574,240000,80000
1,18,240000,248000,357,3574,320000,80000
1,19,320000,328000,357,3574,400000,80000
1,20,400000,408000,357,3574,480000,80000
1,21,480000,488000,357,3574,560000,80000
1,22,560000,568000,357,3574,640000,80000
1,23,640000,648000,357,3574,720000,80000
1,24,720000,728000,357,3574,800000,80000
1,25,800000,808000,357,3574,880000,80000
1,26,880000,888000,357,3574,960000,80000
1,27,960000,968000,357,3574,1040000,80000
1,28,1040000,1048000,357,3574,1120000,80000
1,29,1120000,1128000,357,3574,1200000,80000
2,30,0,8000,692,6921,80000,80000
2,31,80000,88000,692,6921,160000,80000
2,32,160000,168000,692,6921,240000,80000
2,33,240000,248000,692,6921,320000,80000
2,34,320000,328000,692,6921,400000,80000
2,35,400000,408000,692,6921,480000,80000
2,36,480000,488000,692,6921,560000,80000
2,37,560000,568000,692,6921,640000,80000
2,38,640000,648000,692,6921,720000,80000
2,39,720000,728000,692,6921,800000,80000
2,40,800000,808000,692,6921,880000,80000
2,41,880000,888000,692,6921,960000,80000
2,42,960000,968000,692,6921,1040000,80000
2,43,1040000,1048000,692,6921,1120000,80000
2,44,1120000,1128000,692,6921,1200000,80000
3,45,0,8000,493,4931,80000,80000
3,46,80000,88000,493,4931,160000,80000
3,47,160000,168000,493,4931,240000,80000
3,48,240000,248000,493,4931,320000,80000
3,49,320000,328000,493,4931,400000,80000
3,50,400000,408000,493,4931,480000,80000
3,51,480000,488000,493,4931,560000,80000
3,52,560000,568000,493,4931,640000,80000
3,53,640000,648000,493,4931,720000,80000
3,54,720000,728000,493,4931,800000,80000
3,55,800000,808000,493,4931,880000,80000
3,56,880000,888000,493,4931,960000,80000
3,57,960000,968000,493,4931,1040000,80000
3,58,1040000,1048000,493,4931,1120000,80000
3,59,1120000,1128000,493,4931,1200000,80000
4,60,0,8000,690,6897,80000,80000
4,61,80000,88000,690,6897,160000,80000
4,62,160000,168000,690,6897,240000,80000
4,63,240000,248000,690,6897,320000,80000
4,64,320000,328000,690,6897,400000,80000
4,65,400000,408000,690,6897,480000,80000
4,66,480000,488000,690,6897,560000,80000
4,67,560000,568000,690,6897,640000,80000
4,68,640000,648000,690,6897,720000,80000
4,69,720000,728000,690,6897,800000,80000
4,70,800000,808000,690,6897,880000,80000
4,71,880000,888000,690,6897,960000,80000
4,72,960000,968000,690,6897,1040000,80000
4,73,1040000,1048000,690,6897,1120000,80000
4,74,1120000,1128000,690,6897,1200000,80000
5,75,0,8000,309,3089,80000,80000
5,76,80000,88000,309,3089,160000,80000
5,77,160000,168000,309,3089,240000,80000
5,78,240000,248000,309,3089,320000,80000
5,79,320000,328000,309,3089,400000,80000
5,80,400000,408000,309,3089,480000,80000
5,81,480000,488000,309,3089,560000,80000
5,82,560000,568000,309,3089,640000,80000
5,83,640000,648000,309,3089,720000,80000
5,84,720000,728000,309,3089,800000,80000
5,85,800000,808000,309,3089,880000,80000
5,86,880000,888000,309,3089,960000,80000
5,87,960000,968000,309,3089,1040000,80000
5,88,1040000,1048000,309,3089,1120000,80000
5,89,1120000,1128000,309,3089,1200000,80000
6,90,0,8000,671,6709,80000,80000
6,91,80000,88000,671,6709,160000,80000
6,92,160000,168000,671,6709,240000,80000
6,93,240000,248000,671,6709,320000,80000
6,94,320000,328000,671,6709,400000,80000
6,95,400000,408000,671,6709,480000,80000
6,96,480000,488000,671,6709,560000,80000
6,97,560000,568000,671,6709,640000,80000
6,98,640000,648000,671,6709,720000,80000
6,99,720000,728000,671,6709,800000,80000
6,100,800000,808000,671,6709,880000,80000
6,101,880000,888000,671,6709,960000,80000
6,102,960000,968000,671,6709,1040000,80000
6,103,1040000,1048000,671,6709,1120000,80000
6,104,1120000,1128000,671,6709,1200000,80000
7,105,0,8000,219,2192,80000,80000
7,106,80000,88000,219,2192,160000,80000
7,107,160000,168000,219,2192,240000,80000
7,108,240000,248000,219,2192,320000,80000
7,109,320000,328000,219,2192,400000,80000
7,110,400000,408000,219,2192,480000,80000
7,111,480000,488000,219,2192,560000,80000
7,112,560000,568000,219,2192,640000,80000
7,113,640000,648000,219,2192,720000,80000
7,114,720000,728000,219,2192,800000,80000
7,115,800000,808000,219,2192,880000,80000
7,116,880000,888000,219,2192,960000,80000
7,117,960000,968000,219,2192,1040000,80000
7,118,1040000,1048000,219,2192,1120000,80000
7,119,1120000,1128000,219,2192,1200000,80000
8,120,0,8000,103,1028,80000,80000
8,121,80000,88000,103,1028,160000,80000
8,122,160000,168000,103,1028,240000,80000
8,123,240000,248000,103,1028,320000,80000
8,124,320000,328000,103,1028,400000,80000
8,125,400000,408000,103,1028,480000,80000
8,126,480000,488000,103,1028,560000,80000
8,127,560000,568000,103,1028,640000,80000
8,128,640000,648000,103,1028,720000,80000
8,129,720000,728000,103,1028,800000,80000
8,130,800000,808000,103,1028,880000,80000
8,131,880000,888000,103,1028,960000,80000
8,132,960000,968000,103,1028,1040000,80000
8,133,1040000,1048000,103,1028,1120000,80000
8,134,1120000,1128000,103,1028,1200000,80000
9,135,0,8000,585,5855,80000,80000
9,136,80000,88000,585,5855,160000,80000
9,137,160000,168000,585,5855,240000,80000
9,138,240000,248000,585,5855,320000,80000
9,139,320000,328000,585,5855,400000,80000
9,140,400000,408000,585,5855,480000,80000
9,141,480000,488000,585,5855,560000,80000
9,142,560000,568000,585,5855,640000,80000
9,143,640000,648000,585,5855,720000,80000
9,144,720000,728000,585,5855,800000,80000
9,145,800000,808000,585,5855,880000,80000
9,146,880000,888000,585,5855,960000,80000
9,147,960000,968000,585,5855,1040000,80000
9,148,1040000,1048000,585,5855,1120000,80000
9,149,1120000,1128000,585,5855,1200000,80000
10,150,0,8000,408,4078,80000,80000
10,151,80000,88000,408,4078,160000,80000
10,152,160000,168000,408,4078,240000,80000
10,153,240000,248000,408,4078,320000,80000
10,154,320000,328000,408,4078,400000,80000
10,155,400000,408000,408,4078,480000,80000
10,156,480000,488000,408,4078,560000,80000
10,157,560000,568000,408,4078,640000,80000
10,158,640000,648000,408,4078,720000,80000
10,159,720000,728000,408,4078,800000,80000
10,160,800000,808000,408,4078,880000,80000
10,161,880000,888000,408,4078,960000,80000
10,162,960000,968000,408,4078,1040000,80000
10,163,1040000,1048000,408,4078,1120000,80000
10,164,1120000,1128000,408,4078,1200000,80000
11,165,0,8000,615,6153,80000,80000
11,166,80000,88000,615,6153,160000,80000
11,167,160000,168000,615,6153,240000,80000
11,168,240000,248000,615,6153,320000,80000
11,169,320000,328000,615,6153,400000,80000
11,170,400000,408000,615,6153,480000,80000
11,171,480000,488000,615,6153,560000,80000
11,172,560000,568000,615,6153,640000,80000
11,173,640000,648000,615,6153,720000,80000
11,174,720000,728000,615,6153,800000,80000
11,175,800000,808000,615,6153,880000,80000
11,176,880000,888000,615,6153,960000,80000
11,177,960000,968000,615,6153,1040000,80000
11,178,1040000,1048000,615,6153,1120000,80000
11,179,1120000,1128000,615,6153,1200000,80000
12,180,0,12000,579,5790,120000,120000
12,181,120000,132000,579,5790,240000,120000
12,182,240000,252000,579,5790,360000,120000
12,183,360000,372000,579,5790,480000,120000
12,184,480000,492000,579,5790,600000,120000
12,185,600000,612000,579,5790,720000,120000
12,186,720000,732000,579,5790,840000,120000
12,187,840000,852000,579,5790,960000,120000
12,188,960000,972000,579,5790,1080000,120000
12,189,1080000,1092000,579,5790,1200000,120000
13,190,0,12000,485,4848,120000,120000
13,191,120000,132000,485,4848,240000,120000
13,192,240000,252000,485,4848,360000,120000
13,193,360000,372000,485,4848,480000,120000
13,194,480000,492000,485,4848,600000,120000
13,195,600000,612000,485,4848,720000,120000
13,196,720000,732000,485,4848,840000,120000
13,197,840000,852000,485,4848,960000,120000
13,198,960000,972000,485,4848,1080000,120000
13,199,1080000,1092000,485,4848,1200000,120000
14,200,0,12000,395,3950,120000,120000
14,201,120000,132000,395,3950,240000,120000
14,202,240000,252000,395,3950,360000,120000
14,203,360000,372000,395,3950,480000,120000
14,204,480000,492000,395,3950,600000,120000
14,205,600000,612000,395,3950,720000,120000
14,206,720000,732000,395,3950,840000,120000
14,207,840000,852000,395,3950,960000,120000
