From TID,From JID,To TID,To JID
0,0,2,30
0,0,10,150
0,0,11,165
0,0,4,60
0,0,7,105
0,0,8,120
0,0,9,135
0,1,2,31
0,1,10,151
0,1,11,166
0,1,4,61
0,1,7,106
0,1,8,121
0,1,9,136
0,2,2,32
0,2,10,152
0,2,11,167
0,2,4,62
0,2,7,107
0,2,8,122
0,2,9,137
0,3,2,33
0,3,10,153
0,3,11,168
0,3,4,63
0,3,7,108
0,3,8,123
0,3,9,138
0,4,2,34
0,4,10,154
0,4,11,169
0,4,4,64
0,4,7,109
0,4,8,124
0,4,9,139
0,5,2,35
0,5,10,155
0,5,11,170
0,5,4,65
0,5,7,110
0,5,8,125
0,5,9,140
0,6,2,36
0,6,10,156
0,6,11,171
0,6,4,66
0,6,7,111
0,6,8,126
0,6,9,141
0,7,2,37
0,7,10,157
0,7,11,172
0,7,4,67
0,7,7,112
0,7,8,127
0,7,9,142
0,8,2,38
0,8,10,158
0,8,11,173
0,8,4,68
0,8,7,113
0,8,8,128
0,8,9,143
0,9,2,39
0,9,10,159
0,9,11,174
0,9,4,69
0,9,7,114
0,9,8,129
0,9,9,144
0,10,2,40
0,10,10,160
0,10,11,175
0,10,4,70
0,10,7,115
0,10,8,130
0,10,9,145
0,11,2,41
0,11,10,161
0,11,11,176
0,11,4,71
0,11,7,116
0,11,8,131
0,11,9,146
0,12,2,42
0,12,10,162
0,12,11,177
0,12,4,72
0,12,7,117
0,12,8,132
0,12,9,147
0,13,2,43
0,13,10,163
0,13,11,178
0,13,4,73
0,13,7,118
0,13,8,133
0,13,9,148
0,14,2,44
0,14,10,164
0,14,11,179
0,14,4,74
0,14,7,119
0,14,8,134
0,14,9,149
2,30,4,60
2,30,9,135
2,30,3,45
2,30,5,75
2,30,7,105
2,31,4,61
2,31,9,136
2,31,3,46
2,31,5,76
2,31,7,106
2,32,4,62
2,32,9,137
2,32,3,47
2,32,5,77
2,32,7,107
2,33,4,63
2,33,9,138
2,33,3,48
2,33,5,78
2,33,7,108
2,34,4,64
2,34,9,139
2,34,3,49
2,34,5,79
2,34,7,109
2,35,4,65
2,35,9,140
2,35,3,50
2,35,5,80
2,35,7,110
2,36,4,66
2,36,9,141
2,36,3,51
2,36,5,81
2,36,7,111
2,37,4,67
2,37,9,142
2,37,3,52
2,37,5,82
2,37,7,112
2,38,4,68
2,38,9,143
2,38,3,53
2,38,5,83
2,38,7,113
2,39,4,69
2,39,9,144
2,39,3,54
2,39,5,84
2,39,7,114
2,40,4,70
2,40,9,145
2,40,3,55
2,40,5,85
2,40,7,115
2,41,4,71
2,41,9,146
2,41,3,56
2,41,5,86
2,41,7,116
2,42,4,72
2,42,9,147
2,42,3,57
2,42,5,87
2,42,7,117
2,43,4,73
2,43,9,148
2,43,3,58
2,43,5,88
2,43,7,118
2,44,4,74
2,44,9,149
2,44,3,59
2,44,5,89
2,44,7,119
3,45,1,15
3,46,1,16
3,47,1,17
3,48,1,18
3,49,1,19
3,50,1,20
3,51,1,21
3,52,1,22
3,53,1,23
3,54,1,24
3,55,1,25
3,56,1,26
3,57,1,27
3,58,1,28
3,59,1,29
4,60,6,90
4,60,7,105
4,60,8,120
4,60,1,15
4,60,3,45
4,60,5,75
4,61,6,91
