Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,40,397,10000,10000
0,1,10000,11000,40,397,20000,10000
0,2,20000,21000,40,397,30000,10000
0,3,30000,31000,40,397,40000,10000
0,4,40000,41000,40,397,50000,10000
0,5,50000,51000,40,397,60000,10000
0,6,60000,61000,40,397,70000,10000
0,7,70000,71000,40,397,80000,10000
0,8,80000,81000,40,397,90000,10000
0,9,90000,91000,40,397,100000,10000
0,10,100000,101000,40,397,110000,10000
0,11,110000,111000,40,397,120000,10000
0,12,120000,121000,40,397,130000,10000
0,13,130000,131000,40,397,140000,10000
0,14,140000,141000,40,397,150000,10000
0,15,150000,151000,40,397,160000,10000
0,16,160000,161000,40,397,170000,10000
0,17,170000,171000,40,397,180000,10000
0,18,180000,181000,40,397,190000,10000
0,19,190000,191000,40,397,200000,10000
1,20,0,1000,53,531,10000,10000
1,21,10000,11000,53,531,20000,10000
1,22,20000,21000,53,531,30000,10000
1,23,30000,31000,53,531,40000,10000
1,24,40000,41000,53,531,50000,10000
1,25,50000,51000,53,531,60000,10000
1,26,60000,61000,53,531,70000,10000
1,27,70000,71000,53,531,80000,10000
1,28,80000,81000,53,531,90000,10000
1,29,90000,91000,53,531,100000,10000
1,30,100000,101000,53,531,110000,10000
1,31,110000,111000,53,531,120000,10000
1,32,120000,121000,53,531,130000,10000
1,33,130000,131000,53,531,140000,10000
1,34,140000,141000,53,531,150000,10000
1,35,150000,151000,53,531,160000,10000
1,36,160000,161000,53,531,170000,10000
1,37,170000,171000,53,531,180000,10000
1,38,180000,181000,53,531,190000,10000
1,39,190000,191000,53,531,200000,10000
2,40,0,1000,114,1144,10000,10000
2,41,10000,11000,114,1144,20000,10000
2,42,20000,21000,114,1144,30000,10000
2,43,30000,31000,114,1144,40000,10000
2,44,40000,41000,114,1144,50000,10000
2,45,50000,51000,114,1144,60000,10000
2,46,60000,61000,114,1144,70000,10000
2,47,70000,71000,114,1144,80000,10000
2,48,80000,81000,114,1144,90000,10000
2,49,90000,91000,114,1144,100000,10000
2,50,100000,101000,114,1144,110000,10000
2,51,110000,111000,114,1144,120000,10000
2,52,120000,121000,114,1144,130000,10000
2,53,130000,131000,114,1144,140000,10000
2,54,140000,141000,114,1144,150000,10000
2,55,150000,151000,114,1144,160000,10000
2,56,160000,161000,114,1144,170000,10000
2,57,170000,171000,114,1144,180000,10000
2,58,180000,181000,114,1144,190000,10000
2,59,190000,191000,114,1144,200000,10000
3,60,0,1000,44,441,10000,10000
3,61,10000,11000,44,441,20000,10000
3,62,20000,21000,44,441,30000,10000
3,63,30000,31000,44,441,40000,10000
3,64,40000,41000,44,441,50000,10000
3,65,50000,51000,44,441,60000,10000
3,66,60000,61000,44,441,70000,10000
3,67,70000,71000,44,441,80000,10000
3,68,80000,81000,44,441,90000,10000
3,69,90000,91000,44,441,100000,10000
3,70,100000,101000,44,441,110000,10000
3,71,110000,111000,44,441,120000,10000
3,72,120000,121000,44,441,130000,10000
3,73,130000,131000,44,441,140000,10000
3,74,140000,141000,44,441,150000,10000
3,75,150000,151000,44,441,160000,10000
3,76,160000,161000,44,441,170000,10000
3,77,170000,171000,44,441,180000,10000
3,78,180000,181000,44,441,190000,10000
3,79,190000,191000,44,441,200000,10000
4,80,0,1000,94,945,10000,10000
4,81,10000,11000,94,945,20000,10000
4,82,20000,21000,94,945,30000,10000
4,83,30000,31000,94,945,40000,10000
4,84,40000,41000,94,945,50000,10000
4,85,50000,51000,94,945,60000,10000
4,86,60000,61000,94,945,70000,10000
4,87,70000,71000,94,945,80000,10000
4,88,80000,81000,94,945,90000,10000
4,89,90000,91000,94,945,100000,10000
4,90,100000,101000,94,945,110000,10000
4,91,110000,111000,94,945,120000,10000
4,92,120000,121000,94,945,130000,10000
4,93,130000,131000,94,945,140000,10000
4,94,140000,141000,94,945,150000,10000
4,95,150000,151000,94,945,160000,10000
4,96,160000,161000,94,945,170000,10000
4,97,170000,171000,94,945,180000,10000
4,98,180000,181000,94,945,190000,10000
4,99,190000,191000,94,945,200000,10000
5,100,0,1000,28,278,10000,10000
5,101,10000,11000,28,278,20000,10000
5,102,20000,21000,28,278,30000,10000
5,103,30000,31000,28,278,40000,10000
5,104,40000,41000,28,278,50000,10000
5,105,50000,51000,28,278,60000,10000
5,106,60000,61000,28,278,70000,10000
5,107,70000,71000,28,278,80000,10000
5,108,80000,81000,28,278,90000,10000
5,109,90000,91000,28,278,100000,10000
5,110,100000,101000,28,278,110000,10000
5,111,110000,111000,28,278,120000,10000
5,112,120000,121000,28,278,130000,10000
5,113,130000,131000,28,278,140000,10000
5,114,140000,141000,28,278,150000,10000
5,115,150000,151000,28,278,160000,10000
5,116,160000,161000,28,278,170000,10000
5,117,170000,171000,28,278,180000,10000
5,118,180000,181000,28,278,190000,10000
5,119,190000,191000,28,278,200000,10000
6,120,0,1000,24,230,10000,10000
6,121,10000,11000,24,230,20000,10000
6,122,20000,21000,24,230,30000,10000
6,123,30000,31000,24,230,40000,10000
6,124,40000,41000,24,230,50000,10000
6,125,50000,51000,24,230,60000,10000
6,126,60000,61000,24,230,70000,10000
6,127,70000,71000,24,230,80000,10000
6,128,80000,81000,24,230,90000,10000
6,129,90000,91000,24,230,100000,10000
6,130,100000,101000,24,230,110000,10000
6,131,110000,111000,24,230,120000,10000
6,132,120000,121000,24,230,130000,10000
6,133,130000,131000,24,230,140000,10000
6,134,140000,141000,24,230,150000,10000
6,135,150000,151000,24,230,160000,10000
6,136,160000,161000,24,230,170000,10000
6,137,170000,171000,24,230,180000,10000
6,138,180000,181000,24,230,190000,10000
6,139,190000,191000,24,230,200000,10000
7,140,0,1000,65,654,10000,10000
7,141,10000,11000,65,654,20000,10000
7,142,20000,21000,65,654,30000,10000
7,143,30000,31000,65,654,40000,10000
7,144,40000,41000,65,654,50000,10000
7,145,50000,51000,65,654,60000,10000
7,146,60000,61000,65,654,70000,10000
7,147,70000,71000,65,654,80000,10000
7,148,80000,81000,65,654,90000,10000
7,149,90000,91000,65,654,100000,10000
7,150,100000,101000,65,654,110000,10000
7,151,110000,111000,65,654,120000,10000
7,152,120000,121000,65,654,130000,10000
7,153,130000,131000,65,654,140000,10000
7,154,140000,141000,65,654,150000,10000
7,155,150000,151000,65,654,160000,10000
7,156,160000,161000,65,654,170000,10000
7,157,170000,171000,65,654,180000,10000
7,158,180000,181000,65,654,190000,10000
7,159,190000,191000,65,654,200000,10000
8,160,0,4000,165,1646,40000,40000
8,161,40000,44000,165,1646,80000,40000
8,162,80000,84000,165,1646,120000,40000
8,163,120000,124000,165,1646,160000,40000
8,164,160000,164000,165,1646,200000,40000
9,165,0,4000,124,1245,40000,40000
9,166,40000,44000,124,1245,80000,40000
9,167,80000,84000,124,1245,120000,40000
9,168,120000,124000,124,1245,160000,40000
9,169,160000,164000,124,1245,200000,40000
10,170,0,4000,234,2338,40000,40000
10,171,40000,44000,234,2338,80000,40000
10,172,80000,84000,234,2338,120000,40000
10,173,120000,124000,234,2338,160000,40000
10,174,160000,164000,234,2338,200000,40000
11,175,0,4000,277,2766,40000,40000
11,176,40000,44000,277,2766,80000,40000
11,177,80000,84000,277,2766,120000,40000
11,178,120000,124000,277,2766,160000,40000
11,179,160000,164000,277,2766,200000,40000
12,180,0,4000,226,2262,40000,40000
12,181,40000,44000,226,2262,80000,40000
12,182,80000,84000,226,2262,120000,40000
12,183,120000,124000,226,2262,160000,40000
12,184,160000,164000,226,2262,200000,40000
13,185,0,4000,35,347,40000,40000
13,186,40000,44000,35,347,80000,40000
13,187,80000,84000,35,347,120000,40000
13,188,120000,124000,35,347,160000,40000
13,189,160000,164000,35,347,200000,40000
14,190,0,4000,150,1498,40000,40000
14,191,40000,44000,150,1498,80000,40000
14,192,80000,84000,150,1498,120000,40000
14,193,120000,124000,150,1498,160000,40000
14,194,160000,164000,150,1498,200000,40000
15,195,0,5000,269,2689,50000,50000
15,196,50000,55000,269,2689,100000,50000
15,197,100000,105000,269,2689,150000,50000
15,198,150000,155000,269,2689,200000,50000
16,199,0,5000,139,1389,50000,50000
16,200,50000,55000,139,1389,100000,50000
16,201,100000,105000,139,1389,150000,50000
16,202,150000,155000,139,1389,200000,50000
17,203,0,5000,314,3138,50000,50000
17,204,50000,55000,314,3138,100000,50000
17,205,100000,105000,314,3138,150000,50000
17,206,150000,155000,314,3138,200000,50000
18,207,0,5000,15,147,50000,50000
18,208,50000,55000,15,147,100000,50000
18,209,100000,105000,15,147,150000,50000
18,210,150000,155000,15,147,200000,50000
19,211,0,5000,401,4005,50000,50000
19,212,50000,55000,401,4005,100000,50000
19,213,100000,105000,401,4005,150000,50000
19,214,150000,155000,401,4005,200000,50000
20,215,0,5000,119,1192,50000,50000
20,216,50000,55000,119,1192,100000,50000
