From TID,From JID,To TID,To JID
0,0,2,40
0,0,3,60
0,0,7,140
0,0,1,20
0,0,5,100
0,0,6,120
0,1,2,41
0,1,3,61
0,1,7,141
0,1,1,21
0,1,5,101
0,1,6,121
0,2,2,42
0,2,3,62
0,2,7,142
0,2,1,22
0,2,5,102
0,2,6,122
0,3,2,43
0,3,3,63
0,3,7,143
0,3,1,23
0,3,5,103
0,3,6,123
0,4,2,44
0,4,3,64
0,4,7,144
0,4,1,24
0,4,5,104
0,4,6,124
0,5,2,45
0,5,3,65
0,5,7,145
0,5,1,25
0,5,5,105
0,5,6,125
0,6,2,46
0,6,3,66
0,6,7,146
0,6,1,26
0,6,5,106
0,6,6,126
0,7,2,47
0,7,3,67
0,7,7,147
0,7,1,27
0,7,5,107
0,7,6,127
0,8,2,48
0,8,3,68
0,8,7,148
0,8,1,28
0,8,5,108
0,8,6,128
0,9,2,49
0,9,3,69
0,9,7,149
0,9,1,29
0,9,5,109
0,9,6,129
0,10,2,50
0,10,3,70
0,10,7,150
0,10,1,30
0,10,5,110
0,10,6,130
0,11,2,51
0,11,3,71
0,11,7,151
0,11,1,31
0,11,5,111
0,11,6,131
0,12,2,52
0,12,3,72
0,12,7,152
0,12,1,32
0,12,5,112
0,12,6,132
0,13,2,53
0,13,3,73
0,13,7,153
0,13,1,33
0,13,5,113
0,13,6,133
0,14,2,54
0,14,3,74
0,14,7,154
0,14,1,34
0,14,5,114
0,14,6,134
0,15,2,55
0,15,3,75
0,15,7,155
0,15,1,35
0,15,5,115
0,15,6,135
0,16,2,56
0,16,3,76
0,16,7,156
0,16,1,36
0,16,5,116
0,16,6,136
0,17,2,57
0,17,3,77
0,17,7,157
0,17,1,37
0,17,5,117
0,17,6,137
0,18,2,58
0,18,3,78
0,18,7,158
0,18,1,38
0,18,5,118
0,18,6,138
0,19,2,59
0,19,3,79
0,19,7,159
0,19,1,39
0,19,5,119
0,19,6,139
2,40,1,20
2,40,4,80
2,41,1,21
2,41,4,81
2,42,1,22
2,42,4,82
2,43,1,23
2,43,4,83
2,44,1,24
2,44,4,84
2,45,1,25
2,45,4,85
2,46,1,26
2,46,4,86
2,47,1,27
2,47,4,87
2,48,1,28
2,48,4,88
2,49,1,29
2,49,4,89
2,50,1,30
2,50,4,90
2,51,1,31
2,51,4,91
2,52,1,32
2,52,4,92
2,53,1,33
2,53,4,93
2,54,1,34
2,54,4,94
2,55,1,35
2,55,4,95
2,56,1,36
2,56,4,96
2,57,1,37
2,57,4,97
2,58,1,38
2,58,4,98
2,59,1,39
2,59,4,99
3,60,5,100
3,60,6,120
3,61,5,101
3,61,6,121
3,62,5,102
3,62,6,122
3,63,5,103
3,63,6,123
3,64,5,104
3,64,6,124
3,65,5,105
3,65,6,125
3,66,5,106
3,66,6,126
3,67,5,107
3,67,6,127
3,68,5,108
3,68,6,128
3,69,5,109
3,69,6,129
3,70,5,110
3,70,6,130
3,71,5,111
3,71,6,131
3,72,5,112
3,72,6,132
3,73,5,113
3,73,6,133
3,74,5,114
3,74,6,134
3,75,5,115
3,75,6,135
3,76,5,116
3,76,6,136
3,77,5,117
3,77,6,137
3,78,5,118
3,78,6,138
3,79,5,119
3,79,6,139
4,80,1,20
4,81,1,21
4,82,1,22
4,83,1,23
4,84,1,24
4,85,1,25
4,86,1,26
4,87,1,27
4,88,1,28
4,89,1,29
4,90,1,30
4,91,1,31
4,92,1,32
4,93,1,33
4,94,1,34
4,95,1,35
4,96,1,36
4,97,1,37
4,98,1,38
4,99,1,39
5,100,4,80
5,101,4,81
5,102,4,82
5,103,4,83
5,104,4,84
5,105,4,85
5,106,4,86
5,107,4,87
5,108,4,88
5,109,4,89
5,110,4,90
5,111,4,91
5,112,4,92
5,113,4,93
5,114,4,94
5,115,4,95
5,116,4,96
5,117,4,97
5,118,4,98
5,119,4,99
6,120,4,80
6,121,4,81
6,122,4,82
6,123,4,83
6,124,4,84
6,125,4,85
6,126,4,86
6,127,4,87
6,128,4,88
6,129,4,89
6,130,4,90
6,131,4,91
6,132,4,92
6,133,4,93
6,134,4,94
6,135,4,95
6,136,4,96
6,137,4,97
6,138,4,98
6,139,4,99
7,140,1,20
7,140,4,80
7,141,1,21
7,141,4,81
7,142,1,22
7,142,4,82
7,143,1,23
7,143,4,83
7,144,1,24
7,144,4,84
7,145,1,25
7,145,4,85
7,146,1,26
7,146,4,86
7,147,1,27
7,147,4,87
7,148,1,28
7,148,4,88
7,149,1,29
7,149,4,89
7,150,1,30
7,150,4,90
7,151,1,31
7,151,4,91
7,152,1,32
7,152,4,92
7,153,1,33
7,153,4,93
7,154,1,34
7,154,4,94
7,155,1,35
7,155,4,95
7,156,1,36
7,156,4,96
7,157,1,37
7,157,4,97
7,158,1,38
7,158,4,98
7,159,1,39
7,159,4,99
8,160,10,170
8,160,11,175
8,160,12,180
8,160,13,185
8,160,14,190
8,161,10,171
8,161,11,176
8,161,12,181
8,161,13,186
8,161,14,191
8,162,10,172
8,162,11,177
8,162,12,182
8,162,13,187
8,162,14,192
8,163,10,173
8,163,11,178
8,163,12,183
8,163,13,188
8,163,14,193
8,164,10,174
8,164,11,179
8,164,12,184
8,164,13,189
8,164,14,194
10,170,9,165
10,170,12,180
10,170,13,185
10,170,14,190
10,171,9,166
10,171,12,181
10,171,13,186
10,171,14,191
10,172,9,167
10,172,12,182
10,172,13,187
10,172,14,192
10,173,9,168
10,173,12,183
10,173,13,188
10,173,14,193
10,174,9,169
10,174,12,184
10,174,13,189
10,174,14,194
11,175,13,185
11,175,14,190
11,175,9,165
11,175,12,180
11,176,13,186
11,176,14,191
11,176,9,166
11,176,12,181
11,177,13,187
11,177,14,192
11,177,9,167
11,177,12,182
11,178,13,188
11,178,14,193
11,178,9,168
11,178,12,183
11,179,13,189
11,179,14,194
11,179,9,169
11,179,12,184
12,180,9,165
12,181,9,166
12,182,9,167
12,183,9,168
12,184,9,169
13,185,12,180
13,186,12,181
13,187,12,182
13,188,12,183
13,189,12,184
14,190,12,180
14,190,9,165
14,191,12,181
14,191,9,166
14,192,12,182
14,192,9,167
14,193,12,183
14,193,9,168
14,194,12,184
14,194,9,169
15,195,17,203
15,195,18,207
15,195,19,211
15,195,21,219
15,195,22,223
15,195,24,231
15,195,25,235
15,196,17,204
15,196,18,208
15,196,19,212
15,196,21,220
15,196,22,224
15,196,24,232
15,196,25,236
15,197,17,205
15,197,18,209
15,197,19,213
15,197,21,221
15,197,22,225
15,197,24,233
15,197,25,237
15,198,17,206
15,198,18,210
15,198,19,214
15,198,21,222
15,198,22,226
15,198,24,234
15,198,25,238
17,203,16,199
17,203,19,211
17,203,20,215
17,203,21,219
17,203,22,223
17,203,24,231
17,203,25,235
17,204,16,200
17,204,19,212
17,204,20,216
17,204,21,220
17,204,22,224
17,204,24,232
17,204,25,236
17,205,16,201
17,205,19,213
17,205,20,217
17,205,21,221
17,205,22,225
17,205,24,233
17,205,25,237
17,206,16,202
17,206,19,214
17,206,20,218
17,206,21,222
17,206,22,226
17,206,24,234
17,206,25,238
18,207,20,215
18,207,24,231
18,207,25,235
18,207,19,211
18,207,21,219
18,208,20,216
18,208,24,232
18,208,25,236
18,208,19,212
18,208,21,220
18,209,20,217
18,209,24,233
18,209,25,237
18,209,19,213
18,209,21,221
18,210,20,218
18,210,24,234
18,210,25,238
18,210,19,214
18,210,21,222
19,211,16,199
19,212,16,200
19,213,16,201
19,214,16,202
20,215,22,223
20,215,23,227
20,216,22,224
20,216,23,228
20,217,22,225
20,217,23,229
20,218,22,226
20,218,23,230
21,219,19,211
21,219,16,199
21,220,19,212
21,220,16,200
21,221,19,213
21,221,16,201
21,222,19,214
21,222,16,202
22,223,21,219
22,224,21,220
22,225,21,221
22,226,21,222
23,227,21,219
23,228,21,220
23,229,21,221
23,230,21,222
24,231,19,211
24,231,16,199
24,231,21,219
24,232,19,212
24,232,16,200
24,232,21,220
24,233,19,213
24,233,16,201
24,233,21,221
24,234,19,214
24,234,16,202
24,234,21,222
25,235,19,211
25,235,23,227
25,236,19,212
25,236,23,228
25,237,19,213
25,237,23,229
25,238,19,214
25,238,23,230
26,239,28,243
26,239,29,245
26,239,30,247
26,239,27,241
26,240,28,244
26,240,29,246
26,240,30,248
26,240,27,242
28,243,27,241
28,244,27,242
29,245,27,241
29,246,27,242
30,247,27,241
30,248,27,242
