From TID,From JID,To TID,To JID
0,0,2,12
0,0,10,60
0,0,11,66
0,0,3,18
0,0,4,24
0,0,6,36
0,1,2,13
0,1,10,61
0,1,11,67
0,1,3,19
0,1,4,25
0,1,6,37
0,2,2,14
0,2,10,62
0,2,11,68
0,2,3,20
0,2,4,26
0,2,6,38
0,3,2,15
0,3,10,63
0,3,11,69
0,3,3,21
0,3,4,27
0,3,6,39
0,4,2,16
0,4,10,64
0,4,11,70
0,4,3,22
0,4,4,28
0,4,6,40
0,5,2,17
0,5,10,65
0,5,11,71
0,5,3,23
0,5,4,29
0,5,6,41
2,12,4,24
2,12,9,54
2,12,1,6
2,12,3,18
2,12,5,30
2,12,8,48
2,13,4,25
2,13,9,55
2,13,1,7
2,13,3,19
2,13,5,31
2,13,8,49
2,14,4,26
2,14,9,56
2,14,1,8
2,14,3,20
2,14,5,32
2,14,8,50
2,15,4,27
2,15,9,57
2,15,1,9
2,15,3,21
2,15,5,33
2,15,8,51
2,16,4,28
2,16,9,58
2,16,1,10
2,16,3,22
2,16,5,34
2,16,8,52
2,17,4,29
2,17,9,59
2,17,1,11
2,17,3,23
2,17,5,35
2,17,8,53
3,18,1,6
3,19,1,7
3,20,1,8
3,21,1,9
3,22,1,10
3,23,1,11
4,24,6,36
4,24,7,42
4,24,8,48
4,24,3,18
4,24,5,30
4,25,6,37
4,25,7,43
4,25,8,49
4,25,3,19
4,25,5,31
4,26,6,38
4,26,7,44
4,26,8,50
4,26,3,20
4,26,5,32
4,27,6,39
4,27,7,45
4,27,8,51
4,27,3,21
4,27,5,33
4,28,6,40
4,28,7,46
4,28,8,52
4,28,3,22
4,28,5,34
4,29,6,41
4,29,7,47
4,29,8,53
4,29,3,23
4,29,5,35
5,30,3,18
5,31,3,19
5,32,3,20
5,33,3,21
5,34,3,22
5,35,3,23
6,36,5,30
6,37,5,31
6,38,5,32
6,39,5,33
6,40,5,34
6,41,5,35
7,42,5,30
7,43,5,31
7,44,5,32
7,45,5,33
7,46,5,34
7,47,5,35
8,48,5,30
8,48,1,6
8,49,5,31
8,49,1,7
8,50,5,32
8,50,1,8
8,51,5,33
8,51,1,9
8,52,5,34
8,52,1,10
8,53,5,35
8,53,1,11
9,54,3,18
9,54,6,36
9,55,3,19
9,55,6,37
9,56,3,20
9,56,6,38
9,57,3,21
9,57,6,39
9,58,3,22
9,58,6,40
9,59,3,23
9,59,6,41
10,60,1,6
10,60,3,18
10,60,4,24
10,60,7,42
10,60,9,54
10,61,1,7
10,61,3,19
10,61,4,25
10,61,7,43
10,61,9,55
10,62,1,8
10,62,3,20
10,62,4,26
10,62,7,44
10,62,9,56
10,63,1,9
10,63,3,21
10,63,4,27
10,63,7,45
10,63,9,57
10,64,1,10
10,64,3,22
10,64,4,28
10,64,7,46
10,64,9,58
10,65,1,11
