From TID,From JID,To TID,To JID
0,0,2,18
0,0,11,99
0,0,12,108
0,0,3,27
0,0,6,54
0,0,8,72
0,0,9,81
0,0,10,90
0,1,2,19
0,1,11,100
0,1,12,109
0,1,3,28
0,1,6,55
0,1,8,73
0,1,9,82
0,1,10,91
0,2,2,20
0,2,11,101
0,2,12,110
0,2,3,29
0,2,6,56
0,2,8,74
0,2,9,83
0,2,10,92
0,3,2,21
0,3,11,102
0,3,12,111
0,3,3,30
0,3,6,57
0,3,8,75
0,3,9,84
0,3,10,93
0,4,2,22
0,4,11,103
0,4,12,112
0,4,3,31
0,4,6,58
0,4,8,76
0,4,9,85
0,4,10,94
0,5,2,23
0,5,11,104
0,5,12,113
0,5,3,32
0,5,6,59
0,5,8,77
0,5,9,86
0,5,10,95
0,6,2,24
0,6,11,105
0,6,12,114
0,6,3,33
0,6,6,60
0,6,8,78
0,6,9,87
0,6,10,96
0,7,2,25
0,7,11,106
0,7,12,115
0,7,3,34
0,7,6,61
0,7,8,79
0,7,9,88
0,7,10,97
0,8,2,26
0,8,11,107
0,8,12,116
0,8,3,35
0,8,6,62
0,8,8,80
0,8,9,89
0,8,10,98
2,18,4,36
2,18,5,45
2,18,6,54
2,18,1,9
2,18,7,63
2,18,9,81
2,18,10,90
2,19,4,37
2,19,5,46
2,19,6,55
2,19,1,10
2,19,7,64
2,19,9,82
2,19,10,91
2,20,4,38
2,20,5,47
2,20,6,56
2,20,1,11
2,20,7,65
2,20,9,83
2,20,10,92
2,21,4,39
2,21,5,48
2,21,6,57
2,21,1,12
2,21,7,66
2,21,9,84
2,21,10,93
2,22,4,40
2,22,5,49
2,22,6,58
2,22,1,13
2,22,7,67
2,22,9,85
2,22,10,94
2,23,4,41
2,23,5,50
2,23,6,59
2,23,1,14
2,23,7,68
2,23,9,86
2,23,10,95
2,24,4,42
2,24,5,51
2,24,6,60
2,24,1,15
2,24,7,69
2,24,9,87
2,24,10,96
2,25,4,43
2,25,5,52
2,25,6,61
2,25,1,16
2,25,7,70
2,25,9,88
2,25,10,97
2,26,4,44
2,26,5,53
2,26,6,62
2,26,1,17
2,26,7,71
2,26,9,89
2,26,10,98
3,27,1,9
3,28,1,10
3,29,1,11
3,30,1,12
3,31,1,13
3,32,1,14
3,33,1,15
3,34,1,16
3,35,1,17
4,36,3,27
4,36,7,63
4,36,10,90
4,37,3,28
4,37,7,64
4,37,10,91
4,38,3,29
4,38,7,65
4,38,10,92
4,39,3,30
4,39,7,66
4,39,10,93
4,40,3,31
4,40,7,67
4,40,10,94
4,41,3,32
4,41,7,68
4,41,10,95
4,42,3,33
4,42,7,69
4,42,10,96
4,43,3,34
4,43,7,70
4,43,10,97
4,44,3,35
4,44,7,71
4,44,10,98
5,45,3,27
5,45,1,9
5,45,7,63
5,45,8,72
5,45,10,90
5,46,3,28
5,46,1,10
5,46,7,64
5,46,8,73
5,46,10,91
5,47,3,29
5,47,1,11
5,47,7,65
5,47,8,74
5,47,10,92
5,48,3,30
5,48,1,12
5,48,7,66
5,48,8,75
5,48,10,93
5,49,3,31
5,49,1,13
5,49,7,67
5,49,8,76
5,49,10,94
5,50,3,32
