From TID,From JID,To TID,To JID
0,0,2,24
0,0,3,36
0,0,1,12
0,1,2,25
0,1,3,37
0,1,1,13
0,2,2,26
0,2,3,38
0,2,1,14
0,3,2,27
0,3,3,39
0,3,1,15
0,4,2,28
0,4,3,40
0,4,1,16
0,5,2,29
0,5,3,41
0,5,1,17
0,6,2,30
0,6,3,42
0,6,1,18
0,7,2,31
0,7,3,43
0,7,1,19
0,8,2,32
0,8,3,44
0,8,1,20
0,9,2,33
0,9,3,45
0,9,1,21
0,10,2,34
0,10,3,46
0,10,1,22
0,11,2,35
0,11,3,47
0,11,1,23
2,24,1,12
2,24,5,60
2,24,6,72
2,25,1,13
2,25,5,61
2,25,6,73
2,26,1,14
2,26,5,62
2,26,6,74
2,27,1,15
2,27,5,63
2,27,6,75
2,28,1,16
2,28,5,64
2,28,6,76
2,29,1,17
2,29,5,65
2,29,6,77
2,30,1,18
2,30,5,66
2,30,6,78
2,31,1,19
2,31,5,67
2,31,6,79
2,32,1,20
2,32,5,68
2,32,6,80
2,33,1,21
2,33,5,69
2,33,6,81
2,34,1,22
2,34,5,70
2,34,6,82
2,35,1,23
2,35,5,71
2,35,6,83
3,36,5,60
3,36,6,72
3,36,1,12
3,37,5,61
3,37,6,73
3,37,1,13
3,38,5,62
3,38,6,74
3,38,1,14
3,39,5,63
3,39,6,75
3,39,1,15
3,40,5,64
3,40,6,76
3,40,1,16
3,41,5,65
3,41,6,77
3,41,1,17
3,42,5,66
3,42,6,78
3,42,1,18
3,43,5,67
3,43,6,79
3,43,1,19
3,44,5,68
3,44,6,80
3,44,1,20
3,45,5,69
3,45,6,81
3,45,1,21
3,46,5,70
3,46,6,82
3,46,1,22
3,47,5,71
3,47,6,83
3,47,1,23
4,48,1,12
4,49,1,13
4,50,1,14
4,51,1,15
4,52,1,16
4,53,1,17
4,54,1,18
4,55,1,19
4,56,1,20
4,57,1,21
4,58,1,22
4,59,1,23
5,60,4,48
5,61,4,49
5,62,4,50
5,63,4,51
5,64,4,52
5,65,4,53
5,66,4,54
5,67,4,55
5,68,4,56
5,69,4,57
5,70,4,58
5,71,4,59
6,72,4,48
6,73,4,49
6,74,4,50
6,75,4,51
6,76,4,52
6,77,4,53
6,78,4,54
6,79,4,55
6,80,4,56
6,81,4,57
6,82,4,58
6,83,4,59
7,84,9,100
7,84,17,164
7,84,8,92
7,84,11,116
7,84,12,124
7,84,14,140
7,84,16,156
7,85,9,101
7,85,17,165
7,85,8,93
7,85,11,117
7,85,12,125
7,85,14,141
7,85,16,157
7,86,9,102
7,86,17,166
7,86,8,94
7,86,11,118
7,86,12,126
7,86,14,142
7,86,16,158
7,87,9,103
7,87,17,167
7,87,8,95
7,87,11,119
7,87,12,127
7,87,14,143
7,87,16,159
7,88,9,104
7,88,17,168
7,88,8,96
7,88,11,120
7,88,12,128
7,88,14,144
7,88,16,160
7,89,9,105
7,89,17,169
7,89,8,97
7,89,11,121
7,89,12,129
7,89,14,145
7,89,16,161
7,90,9,106
7,90,17,170
7,90,8,98
7,90,11,122
7,90,12,130
7,90,14,146
7,90,16,162
7,91,9,107
7,91,17,171
7,91,8,99
7,91,11,123
7,91,12,131
7,91,14,147
7,91,16,163
9,100,11,116
9,100,12,124
9,100,16,156
9,100,8,92
9,100,10,108
9,100,13,132
9,100,15,148
9,101,11,117
9,101,12,125
9,101,16,157
9,101,8,93
9,101,10,109
9,101,13,133
9,101,15,149
9,102,11,118
9,102,12,126
9,102,16,158
9,102,8,94
9,102,10,110
9,102,13,134
9,102,15,150
9,103,11,119
9,103,12,127
9,103,16,159
9,103,8,95
9,103,10,111
9,103,13,135
9,103,15,151
9,104,11,120
9,104,12,128
9,104,16,160
9,104,8,96
9,104,10,112
9,104,13,136
9,104,15,152
9,105,11,121
9,105,12,129
9,105,16,161
9,105,8,97
9,105,10,113
9,105,13,137
9,105,15,153
9,106,11,122
9,106,12,130
9,106,16,162
9,106,8,98
9,106,10,114
9,106,13,138
9,106,15,154
9,107,11,123
9,107,12,131
9,107,16,163
9,107,8,99
9,107,10,115
9,107,13,139
9,107,15,155
10,108,8,92
10,109,8,93
10,110,8,94
10,111,8,95
10,112,8,96
10,113,8,97
10,114,8,98
10,115,8,99
11,116,10,108
11,116,13,132
11,117,10,109
11,117,13,133
11,118,10,110
11,118,13,134
11,119,10,111
11,119,13,135
11,120,10,112
11,120,13,136
11,121,10,113
11,121,13,137
11,122,10,114
11,122,13,138
11,123,10,115
11,123,13,139
12,124,14,140
12,124,15,148
12,124,10,108
12,124,13,132
12,125,14,141
12,125,15,149
12,125,10,109
12,125,13,133
12,126,14,142
12,126,15,150
12,126,10,110
12,126,13,134
12,127,14,143
12,127,15,151
12,127,10,111
12,127,13,135
12,128,14,144
12,128,15,152
12,128,10,112
12,128,13,136
12,129,14,145
12,129,15,153
12,129,10,113
12,129,13,137
12,130,14,146
12,130,15,154
12,130,10,114
12,130,13,138
12,131,14,147
12,131,15,155
12,131,10,115
12,131,13,139
13,132,10,108
13,132,8,92
13,133,10,109
13,133,8,93
13,134,10,110
13,134,8,94
13,135,10,111
13,135,8,95
13,136,10,112
13,136,8,96
