From TID,From JID,To TID,To JID
0,0,2,288
0,0,3,432
0,0,1,144
0,1,2,289
0,1,3,433
0,1,1,145
0,2,2,290
0,2,3,434
0,2,1,146
0,3,2,291
0,3,3,435
0,3,1,147
0,4,2,292
0,4,3,436
0,4,1,148
0,5,2,293
0,5,3,437
0,5,1,149
0,6,2,294
0,6,3,438
0,6,1,150
0,7,2,295
0,7,3,439
0,7,1,151
0,8,2,296
0,8,3,440
0,8,1,152
0,9,2,297
0,9,3,441
0,9,1,153
0,10,2,298
0,10,3,442
0,10,1,154
0,11,2,299
0,11,3,443
0,11,1,155
0,12,2,300
0,12,3,444
0,12,1,156
0,13,2,301
0,13,3,445
0,13,1,157
0,14,2,302
0,14,3,446
0,14,1,158
0,15,2,303
0,15,3,447
0,15,1,159
0,16,2,304
0,16,3,448
0,16,1,160
0,17,2,305
0,17,3,449
0,17,1,161
0,18,2,306
0,18,3,450
0,18,1,162
0,19,2,307
0,19,3,451
0,19,1,163
0,20,2,308
0,20,3,452
0,20,1,164
0,21,2,309
0,21,3,453
0,21,1,165
0,22,2,310
0,22,3,454
0,22,1,166
0,23,2,311
0,23,3,455
0,23,1,167
0,24,2,312
0,24,3,456
0,24,1,168
0,25,2,313
0,25,3,457
0,25,1,169
0,26,2,314
0,26,3,458
0,26,1,170
0,27,2,315
0,27,3,459
0,27,1,171
0,28,2,316
0,28,3,460
0,28,1,172
0,29,2,317
0,29,3,461
0,29,1,173
0,30,2,318
0,30,3,462
0,30,1,174
0,31,2,319
0,31,3,463
0,31,1,175
0,32,2,320
0,32,3,464
0,32,1,176
0,33,2,321
0,33,3,465
0,33,1,177
0,34,2,322
0,34,3,466
0,34,1,178
0,35,2,323
0,35,3,467
0,35,1,179
0,36,2,324
0,36,3,468
0,36,1,180
0,37,2,325
0,37,3,469
0,37,1,181
0,38,2,326
0,38,3,470
0,38,1,182
0,39,2,327
0,39,3,471
0,39,1,183
0,40,2,328
0,40,3,472
0,40,1,184
0,41,2,329
0,41,3,473
0,41,1,185
0,42,2,330
0,42,3,474
0,42,1,186
0,43,2,331
0,43,3,475
0,43,1,187
0,44,2,332
0,44,3,476
0,44,1,188
0,45,2,333
0,45,3,477
0,45,1,189
0,46,2,334
0,46,3,478
0,46,1,190
0,47,2,335
0,47,3,479
0,47,1,191
0,48,2,336
0,48,3,480
0,48,1,192
0,49,2,337
0,49,3,481
0,49,1,193
0,50,2,338
0,50,3,482
0,50,1,194
0,51,2,339
0,51,3,483
0,51,1,195
0,52,2,340
0,52,3,484
0,52,1,196
0,53,2,341
0,53,3,485
0,53,1,197
0,54,2,342
0,54,3,486
0,54,1,198
0,55,2,343
0,55,3,487
0,55,1,199
0,56,2,344
0,56,3,488
0,56,1,200
0,57,2,345
0,57,3,489
0,57,1,201
0,58,2,346
0,58,3,490
0,58,1,202
0,59,2,347
0,59,3,491
0,59,1,203
0,60,2,348
0,60,3,492
0,60,1,204
0,61,2,349
0,61,3,493
0,61,1,205
0,62,2,350
0,62,3,494
0,62,1,206
0,63,2,351
0,63,3,495
0,63,1,207
0,64,2,352
0,64,3,496
0,64,1,208
0,65,2,353
0,65,3,497
0,65,1,209
0,66,2,354
0,66,3,498
0,66,1,210
0,67,2,355
0,67,3,499
0,67,1,211
0,68,2,356
0,68,3,500
0,68,1,212
0,69,2,357
0,69,3,501
0,69,1,213
0,70,2,358
0,70,3,502
0,70,1,214
0,71,2,359
0,71,3,503
0,71,1,215
0,72,2,360
0,72,3,504
0,72,1,216
0,73,2,361
0,73,3,505
