Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,210,2100,30000,30000
0,1,30000,33000,210,2100,60000,30000
0,2,60000,63000,210,2100,90000,30000
0,3,90000,93000,210,2100,120000,30000
0,4,120000,123000,210,2100,150000,30000
0,5,150000,153000,210,2100,180000,30000
0,6,180000,183000,210,2100,210000,30000
0,7,210000,213000,210,2100,240000,30000
0,8,240000,243000,210,2100,270000,30000
0,9,270000,273000,210,2100,300000,30000
0,10,300000,303000,210,2100,330000,30000
0,11,330000,333000,210,2100,360000,30000
0,12,360000,363000,210,2100,390000,30000
0,13,390000,393000,210,2100,420000,30000
0,14,420000,423000,210,2100,450000,30000
0,15,450000,453000,210,2100,480000,30000
0,16,480000,483000,210,2100,510000,30000
0,17,510000,513000,210,2100,540000,30000
0,18,540000,543000,210,2100,570000,30000
0,19,570000,573000,210,2100,600000,30000
0,20,600000,603000,210,2100,630000,30000
0,21,630000,633000,210,2100,660000,30000
0,22,660000,663000,210,2100,690000,30000
0,23,690000,693000,210,2100,720000,30000
0,24,720000,723000,210,2100,750000,30000
0,25,750000,753000,210,2100,780000,30000
0,26,780000,783000,210,2100,810000,30000
0,27,810000,813000,210,2100,840000,30000
1,28,0,3000,355,3549,30000,30000
1,29,30000,33000,355,3549,60000,30000
1,30,60000,63000,355,3549,90000,30000
1,31,90000,93000,355,3549,120000,30000
1,32,120000,123000,355,3549,150000,30000
1,33,150000,153000,355,3549,180000,30000
1,34,180000,183000,355,3549,210000,30000
1,35,210000,213000,355,3549,240000,30000
1,36,240000,243000,355,3549,270000,30000
1,37,270000,273000,355,3549,300000,30000
1,38,300000,303000,355,3549,330000,30000
1,39,330000,333000,355,3549,360000,30000
1,40,360000,363000,355,3549,390000,30000
1,41,390000,393000,355,3549,420000,30000
1,42,420000,423000,355,3549,450000,30000
1,43,450000,453000,355,3549,480000,30000
1,44,480000,483000,355,3549,510000,30000
1,45,510000,513000,355,3549,540000,30000
1,46,540000,543000,355,3549,570000,30000
1,47,570000,573000,355,3549,600000,30000
1,48,600000,603000,355,3549,630000,30000
1,49,630000,633000,355,3549,660000,30000
1,50,660000,663000,355,3549,690000,30000
1,51,690000,693000,355,3549,720000,30000
1,52,720000,723000,355,3549,750000,30000
1,53,750000,753000,355,3549,780000,30000
1,54,780000,783000,355,3549,810000,30000
1,55,810000,813000,355,3549,840000,30000
2,56,0,3000,100,999,30000,30000
2,57,30000,33000,100,999,60000,30000
2,58,60000,63000,100,999,90000,30000
2,59,90000,93000,100,999,120000,30000
2,60,120000,123000,100,999,150000,30000
2,61,150000,153000,100,999,180000,30000
2,62,180000,183000,100,999,210000,30000
2,63,210000,213000,100,999,240000,30000
2,64,240000,243000,100,999,270000,30000
2,65,270000,273000,100,999,300000,30000
2,66,300000,303000,100,999,330000,30000
2,67,330000,333000,100,999,360000,30000
2,68,360000,363000,100,999,390000,30000
2,69,390000,393000,100,999,420000,30000
2,70,420000,423000,100,999,450000,30000
2,71,450000,453000,100,999,480000,30000
2,72,480000,483000,100,999,510000,30000
2,73,510000,513000,100,999,540000,30000
2,74,540000,543000,100,999,570000,30000
2,75,570000,573000,100,999,600000,30000
2,76,600000,603000,100,999,630000,30000
2,77,630000,633000,100,999,660000,30000
2,78,660000,663000,100,999,690000,30000
2,79,690000,693000,100,999,720000,30000
2,80,720000,723000,100,999,750000,30000
2,81,750000,753000,100,999,780000,30000
2,82,780000,783000,100,999,810000,30000
2,83,810000,813000,100,999,840000,30000
3,84,0,3000,291,2915,30000,30000
3,85,30000,33000,291,2915,60000,30000
3,86,60000,63000,291,2915,90000,30000
3,87,90000,93000,291,2915,120000,30000
3,88,120000,123000,291,2915,150000,30000
3,89,150000,153000,291,2915,180000,30000
3,90,180000,183000,291,2915,210000,30000
3,91,210000,213000,291,2915,240000,30000
3,92,240000,243000,291,2915,270000,30000
3,93,270000,273000,291,2915,300000,30000
3,94,300000,303000,291,2915,330000,30000
3,95,330000,333000,291,2915,360000,30000
3,96,360000,363000,291,2915,390000,30000
3,97,390000,393000,291,2915,420000,30000
3,98,420000,423000,291,2915,450000,30000
3,99,450000,453000,291,2915,480000,30000
3,100,480000,483000,291,2915,510000,30000
3,101,510000,513000,291,2915,540000,30000
3,102,540000,543000,291,2915,570000,30000
3,103,570000,573000,291,2915,600000,30000
3,104,600000,603000,291,2915,630000,30000
3,105,630000,633000,291,2915,660000,30000
3,106,660000,663000,291,2915,690000,30000
3,107,690000,693000,291,2915,720000,30000
3,108,720000,723000,291,2915,750000,30000
3,109,750000,753000,291,2915,780000,30000
3,110,780000,783000,291,2915,810000,30000
3,111,810000,813000,291,2915,840000,30000
4,112,0,3000,161,1608,30000,30000
4,113,30000,33000,161,1608,60000,30000
4,114,60000,63000,161,1608,90000,30000
4,115,90000,93000,161,1608,120000,30000
4,116,120000,123000,161,1608,150000,30000
4,117,150000,153000,161,1608,180000,30000
4,118,180000,183000,161,1608,210000,30000
4,119,210000,213000,161,1608,240000,30000
4,120,240000,243000,161,1608,270000,30000
4,121,270000,273000,161,1608,300000,30000
4,122,300000,303000,161,1608,330000,30000
4,123,330000,333000,161,1608,360000,30000
4,124,360000,363000,161,1608,390000,30000
4,125,390000,393000,161,1608,420000,30000
4,126,420000,423000,161,1608,450000,30000
4,127,450000,453000,161,1608,480000,30000
4,128,480000,483000,161,1608,510000,30000
4,129,510000,513000,161,1608,540000,30000
4,130,540000,543000,161,1608,570000,30000
4,131,570000,573000,161,1608,600000,30000
4,132,600000,603000,161,1608,630000,30000
4,133,630000,633000,161,1608,660000,30000
4,134,660000,663000,161,1608,690000,30000
4,135,690000,693000,161,1608,720000,30000
4,136,720000,723000,161,1608,750000,30000
4,137,750000,753000,161,1608,780000,30000
4,138,780000,783000,161,1608,810000,30000
4,139,810000,813000,161,1608,840000,30000
5,140,0,3000,270,2700,30000,30000
5,141,30000,33000,270,2700,60000,30000
5,142,60000,63000,270,2700,90000,30000
5,143,90000,93000,270,2700,120000,30000
5,144,120000,123000,270,2700,150000,30000
5,145,150000,153000,270,2700,180000,30000
5,146,180000,183000,270,2700,210000,30000
5,147,210000,213000,270,2700,240000,30000
5,148,240000,243000,270,2700,270000,30000
5,149,270000,273000,270,2700,300000,30000
5,150,300000,303000,270,2700,330000,30000
