The given problem seems to be unschedulable using our scheduler, and the rating of the root node is 0.
The problem passed the necessary load-based feasibility test.
The problem passed the necessary interval-based feasibility test.
Since the rating of the root node is 0, I will need to create a safe job ordering from scratch, which may take seconds or centuries...
You should press Control + C if you run out of patience!
I found a safe job ordering!
Time to make cuts...
 increased #extra constraints to 57
 increased #extra constraints to 156
 increased #extra constraints to 245
 increased #extra constraints to 283
 increased #extra constraints to 327
 increased #extra constraints to 365
 increased #extra constraints to 405
 increased #extra constraints to 464
 increased #extra constraints to 525
 increased #extra constraints to 567
567 dispatch ordering constraints were added, let's try to minimize that...
567 remain after transitivity analysis; let's minimize further using tail trial-and-error...
 reduced #extra constraints to 566
 reduced #extra constraints to 565
 reduced #extra constraints to 564
 reduced #extra constraints to 563
 reduced #extra constraints to 562
 reduced #extra constraints to 561
 reduced #extra constraints to 560
 reduced #extra constraints to 559
 reduced #extra constraints to 558
 reduced #extra constraints to 557
 reduced #extra constraints to 556
 reduced #extra constraints to 555
 reduced #extra constraints to 554
 reduced #extra constraints to 553
 reduced #extra constraints to 552
 reduced #extra constraints to 551
 reduced #extra constraints to 550
 reduced #extra constraints to 549
 reduced #extra constraints to 548
 reduced #extra constraints to 547
 reduced #extra constraints to 546
 reduced #extra constraints to 545
 reduced #extra constraints to 544
 reduced #extra constraints to 543
 reduced #extra constraints to 542
 reduced #extra constraints to 541
 reduced #extra constraints to 540
 reduced #extra constraints to 539
 reduced #extra constraints to 538
 reduced #extra constraints to 537
 reduced #extra constraints to 536
 reduced #extra constraints to 535
 reduced #extra constraints to 534
 reduced #extra constraints to 533
 reduced #extra constraints to 532
 reduced #extra constraints to 531
 reduced #extra constraints to 530
 reduced #extra constraints to 529
 reduced #extra constraints to 528
 reduced #extra constraints to 527
 reduced #extra constraints to 526
 reduced #extra constraints to 525
 reduced #extra constraints to 524
 reduced #extra constraints to 523
 reduced #extra constraints to 522
 reduced #extra constraints to 521
 reduced #extra constraints to 520
 reduced #extra constraints to 519
 reduced #extra constraints to 518
 reduced #extra constraints to 517
 reduced #extra constraints to 516
 reduced #extra constraints to 515
 reduced #extra constraints to 514
 reduced #extra constraints to 513
 reduced #extra constraints to 512
 reduced #extra constraints to 511
 reduced #extra constraints to 510
 reduced #extra constraints to 509
 reduced #extra constraints to 508
 reduced #extra constraints to 507
 reduced #extra constraints to 506
 reduced #extra constraints to 505
 reduced #extra constraints to 504
 reduced #extra constraints to 503
 reduced #extra constraints to 502
 reduced #extra constraints to 501
 reduced #extra constraints to 500
 reduced #extra constraints to 499
 reduced #extra constraints to 498
 reduced #extra constraints to 497
 reduced #extra constraints to 496
 reduced #extra constraints to 495
 reduced #extra constraints to 494
 reduced #extra constraints to 493
 reduced #extra constraints to 492
 reduced #extra constraints to 491
 reduced #extra constraints to 490
 reduced #extra constraints to 489
 reduced #extra constraints to 488
 reduced #extra constraints to 487
 reduced #extra constraints to 486
 reduced #extra constraints to 485
 reduced #extra constraints to 484
 reduced #extra constraints to 483
 reduced #extra constraints to 482
 reduced #extra constraints to 481
 reduced #extra constraints to 480
 reduced #extra constraints to 479
 reduced #extra constraints to 478
 reduced #extra constraints to 477
 reduced #extra constraints to 476
 reduced #extra constraints to 475
 reduced #extra constraints to 474
 reduced #extra constraints to 473
 reduced #extra constraints to 472
 reduced #extra constraints to 471
 reduced #extra constraints to 470
 reduced #extra constraints to 469
 reduced #extra constraints to 468
 reduced #extra constraints to 467
 reduced #extra constraints to 466
 reduced #extra constraints to 465
 reduced #extra constraints to 464
 reduced #extra constraints to 463
 reduced #extra constraints to 462
 reduced #extra constraints to 461
 reduced #extra constraints to 460
 reduced #extra constraints to 459
 reduced #extra constraints to 458
 reduced #extra constraints to 457
 reduced #extra constraints to 456
 reduced #extra constraints to 455
 reduced #extra constraints to 454
 reduced #extra constraints to 453
 reduced #extra constraints to 452
 reduced #extra constraints to 451
 reduced #extra constraints to 450
 reduced #extra constraints to 449
 reduced #extra constraints to 448
 reduced #extra constraints to 447
 reduced #extra constraints to 446
 reduced #extra constraints to 445
 reduced #extra constraints to 444
 reduced #extra constraints to 443
 reduced #extra constraints to 442
 reduced #extra constraints to 441
 reduced #extra constraints to 440
 reduced #extra constraints to 439
 reduced #extra constraints to 438
 reduced #extra constraints to 437
 reduced #extra constraints to 436
 reduced #extra constraints to 435
 reduced #extra constraints to 434
 reduced #extra constraints to 433
 reduced #extra constraints to 432
 reduced #extra constraints to 431
 reduced #extra constraints to 430
 reduced #extra constraints to 429
 reduced #extra constraints to 428
 reduced #extra constraints to 427
 reduced #extra constraints to 426
 reduced #extra constraints to 425
 reduced #extra constraints to 424
 reduced #extra constraints to 423
 reduced #extra constraints to 422
 reduced #extra constraints to 421
 reduced #extra constraints to 420
 reduced #extra constraints to 419
 reduced #extra constraints to 418
 reduced #extra constraints to 417
 reduced #extra constraints to 416
 reduced #extra constraints to 415
 reduced #extra constraints to 414
 reduced #extra constraints to 413
 reduced #extra constraints to 412
 reduced #extra constraints to 411
 reduced #extra constraints to 410
 reduced #extra constraints to 409
 reduced #extra constraints to 408
 reduced #extra constraints to 407
 reduced #extra constraints to 406
 reduced #extra constraints to 405
 reduced #extra constraints to 404
 reduced #extra constraints to 403
 reduced #extra constraints to 402
 reduced #extra constraints to 401
 reduced #extra constraints to 400
 reduced #extra constraints to 399
 reduced #extra constraints to 398
 reduced #extra constraints to 397
 reduced #extra constraints to 396
 reduced #extra constraints to 395
 reduced #extra constraints to 394
 reduced #extra constraints to 393
 reduced #extra constraints to 392
 reduced #extra constraints to 391
 reduced #extra constraints to 390
 reduced #extra constraints to 389
 reduced #extra constraints to 388
 reduced #extra constraints to 387
 reduced #extra constraints to 386
 reduced #extra constraints to 385
 reduced #extra constraints to 384
 reduced #extra constraints to 383
 reduced #extra constraints to 382
 reduced #extra constraints to 381
 reduced #extra constraints to 380
 reduced #extra constraints to 379
 reduced #extra constraints to 378
 reduced #extra constraints to 377
 reduced #extra constraints to 376
 reduced #extra constraints to 375
