From TID,From JID,To TID,To JID
0,0,2,24
0,0,6,72
0,0,7,84
0,0,4,48
0,0,5,60
0,0,10,120
0,1,2,25
0,1,6,73
0,1,7,85
0,1,4,49
0,1,5,61
0,1,10,121
0,2,2,26
0,2,6,74
0,2,7,86
0,2,4,50
0,2,5,62
0,2,10,122
0,3,2,27
0,3,6,75
0,3,7,87
0,3,4,51
0,3,5,63
0,3,10,123
0,4,2,28
0,4,6,76
0,4,7,88
0,4,4,52
0,4,5,64
0,4,10,124
0,5,2,29
0,5,6,77
0,5,7,89
0,5,4,53
0,5,5,65
0,5,10,125
0,6,2,30
0,6,6,78
0,6,7,90
0,6,4,54
0,6,5,66
0,6,10,126
0,7,2,31
0,7,6,79
0,7,7,91
0,7,4,55
0,7,5,67
0,7,10,127
0,8,2,32
0,8,6,80
0,8,7,92
0,8,4,56
0,8,5,68
0,8,10,128
0,9,2,33
0,9,6,81
0,9,7,93
0,9,4,57
0,9,5,69
0,9,10,129
0,10,2,34
0,10,6,82
0,10,7,94
0,10,4,58
0,10,5,70
0,10,10,130
0,11,2,35
0,11,6,83
0,11,7,95
0,11,4,59
0,11,5,71
0,11,10,131
2,24,4,48
2,24,5,60
2,24,8,96
2,24,10,120
2,25,4,49
2,25,5,61
2,25,8,97
2,25,10,121
2,26,4,50
2,26,5,62
2,26,8,98
2,26,10,122
2,27,4,51
2,27,5,63
2,27,8,99
2,27,10,123
2,28,4,52
2,28,5,64
2,28,8,100
2,28,10,124
2,29,4,53
2,29,5,65
2,29,8,101
2,29,10,125
2,30,4,54
2,30,5,66
2,30,8,102
2,30,10,126
2,31,4,55
2,31,5,67
2,31,8,103
2,31,10,127
2,32,4,56
2,32,5,68
2,32,8,104
2,32,10,128
2,33,4,57
2,33,5,69
2,33,8,105
2,33,10,129
2,34,4,58
2,34,5,70
2,34,8,106
2,34,10,130
2,35,4,59
2,35,5,71
2,35,8,107
2,35,10,131
3,36,1,12
3,37,1,13
3,38,1,14
3,39,1,15
3,40,1,16
3,41,1,17
3,42,1,18
3,43,1,19
3,44,1,20
3,45,1,21
3,46,1,22
3,47,1,23
4,48,3,36
4,48,1,12
4,48,8,96
4,49,3,37
4,49,1,13
4,49,8,97
4,50,3,38
4,50,1,14
4,50,8,98
4,51,3,39
4,51,1,15
4,51,8,99
4,52,3,40
4,52,1,16
4,52,8,100
4,53,3,41
4,53,1,17
4,53,8,101
4,54,3,42
4,54,1,18
4,54,8,102
4,55,3,43
4,55,1,19
4,55,8,103
4,56,3,44
4,56,1,20
4,56,8,104
4,57,3,45
4,57,1,21
4,57,8,105
4,58,3,46
4,58,1,22
4,58,8,106
4,59,3,47
4,59,1,23
4,59,8,107
5,60,3,36
5,60,1,12
5,60,8,96
5,61,3,37
5,61,1,13
5,61,8,97
5,62,3,38
5,62,1,14
5,62,8,98
5,63,3,39
5,63,1,15
5,63,8,99
5,64,3,40
5,64,1,16
5,64,8,100
5,65,3,41
5,65,1,17
5,65,8,101
5,66,3,42
5,66,1,18
5,66,8,102
5,67,3,43
5,67,1,19
5,67,8,103
5,68,3,44
5,68,1,20
5,68,8,104
5,69,3,45
5,69,1,21
5,69,8,105
5,70,3,46
5,70,1,22
5,70,8,106
5,71,3,47
5,71,1,23
5,71,8,107
6,72,1,12
6,72,3,36
6,72,4,48
6,72,5,60
6,73,1,13
6,73,3,37
6,73,4,49
6,73,5,61
6,74,1,14
6,74,3,38
6,74,4,50
6,74,5,62
6,75,1,15
6,75,3,39
6,75,4,51
6,75,5,63
6,76,1,16
6,76,3,40
6,76,4,52
6,76,5,64
6,77,1,17
6,77,3,41
6,77,4,53
6,77,5,65
6,78,1,18
6,78,3,42
6,78,4,54
6,78,5,66
6,79,1,19
6,79,3,43
6,79,4,55
6,79,5,67
6,80,1,20
6,80,3,44
6,80,4,56
6,80,5,68
6,81,1,21
6,81,3,45
6,81,4,57
6,81,5,69
6,82,1,22
6,82,3,46
6,82,4,58
6,82,5,70
6,83,1,23
6,83,3,47
6,83,4,59
6,83,5,71
7,84,9,108
7,84,10,120
7,84,1,12
7,84,4,48
7,84,8,96
7,85,9,109
7,85,10,121
7,85,1,13
7,85,4,49
7,85,8,97
7,86,9,110
7,86,10,122
7,86,1,14
7,86,4,50
7,86,8,98
7,87,9,111
7,87,10,123
7,87,1,15
7,87,4,51
7,87,8,99
7,88,9,112
7,88,10,124
7,88,1,16
7,88,4,52
7,88,8,100
7,89,9,113
7,89,10,125
7,89,1,17
7,89,4,53
7,89,8,101
7,90,9,114
7,90,10,126
7,90,1,18
7,90,4,54
7,90,8,102
7,91,9,115
7,91,10,127
7,91,1,19
7,91,4,55
7,91,8,103
7,92,9,116
7,92,10,128
7,92,1,20
7,92,4,56
7,92,8,104
7,93,9,117
7,93,10,129
7,93,1,21
7,93,4,57
7,93,8,105
7,94,9,118
7,94,10,130
7,94,1,22
7,94,4,58
7,94,8,106
7,95,9,119
7,95,10,131
7,95,1,23
7,95,4,59
7,95,8,107
8,96,1,12
8,97,1,13
8,98,1,14
8,99,1,15
8,100,1,16
8,101,1,17
8,102,1,18
8,103,1,19
8,104,1,20
8,105,1,21
8,106,1,22
8,107,1,23
9,108,8,96
9,108,1,12
9,109,8,97
9,109,1,13
9,110,8,98
9,110,1,14
9,111,8,99
9,111,1,15
9,112,8,100
9,112,1,16
9,113,8,101
9,113,1,17
9,114,8,102
9,114,1,18
9,115,8,103
9,115,1,19
9,116,8,104
9,116,1,20
9,117,8,105
9,117,1,21
9,118,8,106
9,118,1,22
9,119,8,107
9,119,1,23
10,120,8,96
10,120,1,12
10,120,3,36
10,121,8,97
10,121,1,13
10,121,3,37
10,122,8,98
10,122,1,14
10,122,3,38
10,123,8,99
10,123,1,15
10,123,3,39
10,124,8,100
10,124,1,16
10,124,3,40
10,125,8,101
10,125,1,17
10,125,3,41
10,126,8,102
10,126,1,18
10,126,3,42
10,127,8,103
10,127,1,19
10,127,3,43
10,128,8,104
10,128,1,20
10,128,3,44
10,129,8,105
10,129,1,21
10,129,3,45
10,130,8,106
10,130,1,22
10,130,3,46
10,131,8,107
10,131,1,23
10,131,3,47
11,132,13,144
11,132,14,150
11,132,15,156
11,133,13,145
11,133,14,151
11,133,15,157
11,134,13,146
11,134,14,152
11,134,15,158
11,135,13,147
11,135,14,153
11,135,15,159
11,136,13,148
11,136,14,154
11,136,15,160
11,137,13,149
11,137,14,155
11,137,15,161
13,144,12,138
13,145,12,139
13,146,12,140
13,147,12,141
13,148,12,142
13,149,12,143
14,150,12,138
14,151,12,139
14,152,12,140
14,153,12,141
14,154,12,142
14,155,12,143
15,156,12,138
15,157,12,139
15,158,12,140
15,159,12,141
15,160,12,142
15,161,12,143
16,162,18,170
16,162,19,174
16,163,18,171
16,163,19,175
16,164,18,172
16,164,19,176
16,165,18,173
16,165,19,177
18,170,17,166
18,171,17,167
18,172,17,168
18,173,17,169
19,174,17,166
19,175,17,167
19,176,17,168
19,177,17,169
20,178,22,184
20,178,33,217
20,178,34,220
20,178,21,181
20,178,23,187
20,178,24,190
20,178,25,193
20,178,26,196
20,178,27,199
20,178,28,202
20,178,30,208
20,178,31,211
20,179,22,185
20,179,33,218
20,179,34,221
20,179,21,182
20,179,23,188
20,179,24,191
20,179,25,194
20,179,26,197
20,179,27,200
20,179,28,203
20,179,30,209
20,179,31,212
20,180,22,186
20,180,33,219
20,180,34,222
20,180,21,183
20,180,23,189
20,180,24,192
20,180,25,195
20,180,26,198
20,180,27,201
20,180,28,204
20,180,30,210
20,180,31,213
22,184,24,190
22,184,28,202
22,184,32,214
22,184,25,193
22,184,30,208
22,184,31,211
22,185,24,191
22,185,28,203
22,185,32,215
22,185,25,194
22,185,30,209
22,185,31,212
22,186,24,192
22,186,28,204
22,186,32,216
22,186,25,195
22,186,30,210
22,186,31,213
23,187,21,181
23,188,21,182
23,189,21,183
24,190,26,196
24,190,27,199
24,190,30,208
24,190,31,211
24,191,26,197
24,191,27,200
24,191,30,209
24,191,31,212
24,192,26,198
24,192,27,201
24,192,30,210
24,192,31,213
25,193,23,187
25,193,21,181
25,194,23,188
25,194,21,182
25,195,23,189
25,195,21,183
26,196,25,193
26,196,23,187
26,197,25,194
26,197,23,188
26,198,25,195
26,198,23,189
27,199,25,193
27,199,23,187
27,199,29,205
27,200,25,194
27,200,23,188
27,200,29,206
27,201,25,195
27,201,23,189
27,201,29,207
28,202,30,208
28,202,31,211
28,202,21,181
28,202,23,187
