Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,118,1182,10000,10000
0,1,10000,11000,118,1182,20000,10000
0,2,20000,21000,118,1182,30000,10000
0,3,30000,31000,118,1182,40000,10000
0,4,40000,41000,118,1182,50000,10000
0,5,50000,51000,118,1182,60000,10000
0,6,60000,61000,118,1182,70000,10000
0,7,70000,71000,118,1182,80000,10000
0,8,80000,81000,118,1182,90000,10000
0,9,90000,91000,118,1182,100000,10000
0,10,100000,101000,118,1182,110000,10000
0,11,110000,111000,118,1182,120000,10000
0,12,120000,121000,118,1182,130000,10000
0,13,130000,131000,118,1182,140000,10000
0,14,140000,141000,118,1182,150000,10000
0,15,150000,151000,118,1182,160000,10000
0,16,160000,161000,118,1182,170000,10000
0,17,170000,171000,118,1182,180000,10000
0,18,180000,181000,118,1182,190000,10000
0,19,190000,191000,118,1182,200000,10000
0,20,200000,201000,118,1182,210000,10000
0,21,210000,211000,118,1182,220000,10000
0,22,220000,221000,118,1182,230000,10000
0,23,230000,231000,118,1182,240000,10000
0,24,240000,241000,118,1182,250000,10000
0,25,250000,251000,118,1182,260000,10000
0,26,260000,261000,118,1182,270000,10000
0,27,270000,271000,118,1182,280000,10000
0,28,280000,281000,118,1182,290000,10000
0,29,290000,291000,118,1182,300000,10000
0,30,300000,301000,118,1182,310000,10000
0,31,310000,311000,118,1182,320000,10000
0,32,320000,321000,118,1182,330000,10000
0,33,330000,331000,118,1182,340000,10000
0,34,340000,341000,118,1182,350000,10000
0,35,350000,351000,118,1182,360000,10000
1,36,0,1000,58,577,10000,10000
1,37,10000,11000,58,577,20000,10000
1,38,20000,21000,58,577,30000,10000
1,39,30000,31000,58,577,40000,10000
1,40,40000,41000,58,577,50000,10000
1,41,50000,51000,58,577,60000,10000
1,42,60000,61000,58,577,70000,10000
1,43,70000,71000,58,577,80000,10000
1,44,80000,81000,58,577,90000,10000
1,45,90000,91000,58,577,100000,10000
1,46,100000,101000,58,577,110000,10000
1,47,110000,111000,58,577,120000,10000
1,48,120000,121000,58,577,130000,10000
1,49,130000,131000,58,577,140000,10000
1,50,140000,141000,58,577,150000,10000
1,51,150000,151000,58,577,160000,10000
1,52,160000,161000,58,577,170000,10000
1,53,170000,171000,58,577,180000,10000
1,54,180000,181000,58,577,190000,10000
1,55,190000,191000,58,577,200000,10000
1,56,200000,201000,58,577,210000,10000
1,57,210000,211000,58,577,220000,10000
1,58,220000,221000,58,577,230000,10000
1,59,230000,231000,58,577,240000,10000
1,60,240000,241000,58,577,250000,10000
1,61,250000,251000,58,577,260000,10000
1,62,260000,261000,58,577,270000,10000
1,63,270000,271000,58,577,280000,10000
1,64,280000,281000,58,577,290000,10000
1,65,290000,291000,58,577,300000,10000
1,66,300000,301000,58,577,310000,10000
1,67,310000,311000,58,577,320000,10000
1,68,320000,321000,58,577,330000,10000
