From TID,From JID,To TID,To JID
0,0,2,72
0,0,3,108
0,0,4,144
0,0,5,180
0,0,10,360
0,1,2,73
0,1,3,109
0,1,4,145
0,1,5,181
0,1,10,361
0,2,2,74
0,2,3,110
0,2,4,146
0,2,5,182
0,2,10,362
0,3,2,75
0,3,3,111
0,3,4,147
0,3,5,183
0,3,10,363
0,4,2,76
0,4,3,112
0,4,4,148
0,4,5,184
0,4,10,364
0,5,2,77
0,5,3,113
0,5,4,149
0,5,5,185
0,5,10,365
0,6,2,78
0,6,3,114
0,6,4,150
0,6,5,186
0,6,10,366
0,7,2,79
0,7,3,115
0,7,4,151
0,7,5,187
0,7,10,367
0,8,2,80
0,8,3,116
0,8,4,152
0,8,5,188
0,8,10,368
0,9,2,81
0,9,3,117
0,9,4,153
0,9,5,189
0,9,10,369
0,10,2,82
0,10,3,118
0,10,4,154
0,10,5,190
0,10,10,370
0,11,2,83
0,11,3,119
0,11,4,155
0,11,5,191
0,11,10,371
0,12,2,84
0,12,3,120
0,12,4,156
0,12,5,192
0,12,10,372
0,13,2,85
0,13,3,121
0,13,4,157
0,13,5,193
0,13,10,373
0,14,2,86
0,14,3,122
0,14,4,158
0,14,5,194
0,14,10,374
0,15,2,87
0,15,3,123
0,15,4,159
0,15,5,195
0,15,10,375
0,16,2,88
0,16,3,124
0,16,4,160
0,16,5,196
0,16,10,376
0,17,2,89
0,17,3,125
0,17,4,161
0,17,5,197
0,17,10,377
0,18,2,90
0,18,3,126
0,18,4,162
0,18,5,198
0,18,10,378
0,19,2,91
0,19,3,127
0,19,4,163
0,19,5,199
0,19,10,379
0,20,2,92
0,20,3,128
0,20,4,164
0,20,5,200
0,20,10,380
0,21,2,93
0,21,3,129
0,21,4,165
0,21,5,201
0,21,10,381
0,22,2,94
0,22,3,130
0,22,4,166
0,22,5,202
0,22,10,382
0,23,2,95
0,23,3,131
0,23,4,167
0,23,5,203
0,23,10,383
0,24,2,96
0,24,3,132
0,24,4,168
0,24,5,204
0,24,10,384
0,25,2,97
0,25,3,133
0,25,4,169
0,25,5,205
0,25,10,385
0,26,2,98
0,26,3,134
0,26,4,170
0,26,5,206
0,26,10,386
0,27,2,99
0,27,3,135
0,27,4,171
0,27,5,207
0,27,10,387
0,28,2,100
0,28,3,136
0,28,4,172
0,28,5,208
0,28,10,388
0,29,2,101
0,29,3,137
0,29,4,173
0,29,5,209
0,29,10,389
0,30,2,102
0,30,3,138
0,30,4,174
0,30,5,210
0,30,10,390
0,31,2,103
0,31,3,139
0,31,4,175
0,31,5,211
0,31,10,391
0,32,2,104
0,32,3,140
0,32,4,176
0,32,5,212
0,32,10,392
0,33,2,105
0,33,3,141
0,33,4,177
0,33,5,213
0,33,10,393
0,34,2,106
0,34,3,142
0,34,4,178
0,34,5,214
0,34,10,394
0,35,2,107
0,35,3,143
0,35,4,179
0,35,5,215
0,35,10,395
