From TID,From JID,To TID,To JID
0,0,2,560
0,0,11,3080
0,0,1,280
0,0,4,1120
0,0,6,1680
0,0,9,2520
0,1,2,561
0,1,11,3081
0,1,1,281
0,1,4,1121
0,1,6,1681
0,1,9,2521
0,2,2,562
0,2,11,3082
0,2,1,282
0,2,4,1122
0,2,6,1682
0,2,9,2522
0,3,2,563
0,3,11,3083
0,3,1,283
0,3,4,1123
0,3,6,1683
0,3,9,2523
0,4,2,564
0,4,11,3084
0,4,1,284
0,4,4,1124
0,4,6,1684
0,4,9,2524
0,5,2,565
0,5,11,3085
0,5,1,285
0,5,4,1125
0,5,6,1685
0,5,9,2525
0,6,2,566
0,6,11,3086
0,6,1,286
0,6,4,1126
0,6,6,1686
0,6,9,2526
0,7,2,567
0,7,11,3087
0,7,1,287
0,7,4,1127
0,7,6,1687
0,7,9,2527
0,8,2,568
0,8,11,3088
0,8,1,288
0,8,4,1128
0,8,6,1688
0,8,9,2528
0,9,2,569
0,9,11,3089
0,9,1,289
0,9,4,1129
0,9,6,1689
0,9,9,2529
0,10,2,570
0,10,11,3090
0,10,1,290
0,10,4,1130
0,10,6,1690
0,10,9,2530
0,11,2,571
0,11,11,3091
0,11,1,291
0,11,4,1131
0,11,6,1691
0,11,9,2531
0,12,2,572
0,12,11,3092
0,12,1,292
0,12,4,1132
0,12,6,1692
0,12,9,2532
0,13,2,573
0,13,11,3093
0,13,1,293
0,13,4,1133
0,13,6,1693
0,13,9,2533
0,14,2,574
0,14,11,3094
0,14,1,294
0,14,4,1134
0,14,6,1694
0,14,9,2534
0,15,2,575
0,15,11,3095
0,15,1,295
0,15,4,1135
0,15,6,1695
0,15,9,2535
0,16,2,576
0,16,11,3096
0,16,1,296
0,16,4,1136
0,16,6,1696
0,16,9,2536
0,17,2,577
0,17,11,3097
0,17,1,297
0,17,4,1137
0,17,6,1697
0,17,9,2537
0,18,2,578
0,18,11,3098
0,18,1,298
0,18,4,1138
0,18,6,1698
0,18,9,2538
0,19,2,579
0,19,11,3099
0,19,1,299
0,19,4,1139
0,19,6,1699
0,19,9,2539
0,20,2,580
0,20,11,3100
0,20,1,300
0,20,4,1140
0,20,6,1700
0,20,9,2540
0,21,2,581
0,21,11,3101
0,21,1,301
0,21,4,1141
0,21,6,1701
0,21,9,2541
0,22,2,582
0,22,11,3102
0,22,1,302
0,22,4,1142
0,22,6,1702
0,22,9,2542
0,23,2,583
0,23,11,3103
0,23,1,303
0,23,4,1143
0,23,6,1703
0,23,9,2543
0,24,2,584
0,24,11,3104
0,24,1,304
0,24,4,1144
0,24,6,1704
0,24,9,2544
0,25,2,585
0,25,11,3105
0,25,1,305
0,25,4,1145
0,25,6,1705
0,25,9,2545
0,26,2,586
0,26,11,3106
0,26,1,306
0,26,4,1146
0,26,6,1706
0,26,9,2546
0,27,2,587
0,27,11,3107
0,27,1,307
0,27,4,1147
0,27,6,1707
0,27,9,2547
0,28,2,588
0,28,11,3108
0,28,1,308
0,28,4,1148
0,28,6,1708
0,28,9,2548
0,29,2,589
0,29,11,3109
0,29,1,309
0,29,4,1149
0,29,6,1709
0,29,9,2549
0,30,2,590
0,30,11,3110
0,30,1,310
0,30,4,1150
0,30,6,1710
0,30,9,2550
0,31,2,591
0,31,11,3111
0,31,1,311
0,31,4,1151
0,31,6,1711
0,31,9,2551
0,32,2,592
0,32,11,3112
0,32,1,312
0,32,4,1152
0,32,6,1712
0,32,9,2552
0,33,2,593
0,33,11,3113
0,33,1,313
0,33,4,1153
0,33,6,1713
0,33,9,2553
0,34,2,594
0,34,11,3114
0,34,1,314
0,34,4,1154
0,34,6,1714
0,34,9,2554
0,35,2,595
0,35,11,3115
0,35,1,315
0,35,4,1155
0,35,6,1715
0,35,9,2555
0,36,2,596
0,36,11,3116
0,36,1,316
0,36,4,1156
0,36,6,1716
0,36,9,2556
0,37,2,597
0,37,11,3117
0,37,1,317
0,37,4,1157
0,37,6,1717
0,37,9,2557
0,38,2,598
0,38,11,3118
0,38,1,318
0,38,4,1158
0,38,6,1718
0,38,9,2558
0,39,2,599
0,39,11,3119
0,39,1,319
0,39,4,1159
0,39,6,1719
0,39,9,2559
0,40,2,600
0,40,11,3120
0,40,1,320
0,40,4,1160
0,40,6,1720
0,40,9,2560
0,41,2,601
0,41,11,3121
0,41,1,321
0,41,4,1161
0,41,6,1721
0,41,9,2561
0,42,2,602
0,42,11,3122
0,42,1,322
0,42,4,1162
0,42,6,1722
0,42,9,2562
0,43,2,603
0,43,11,3123
0,43,1,323
0,43,4,1163
0,43,6,1723
0,43,9,2563
0,44,2,604
0,44,11,3124
0,44,1,324
0,44,4,1164
0,44,6,1724
0,44,9,2564
0,45,2,605
0,45,11,3125
0,45,1,325
0,45,4,1165
0,45,6,1725
0,45,9,2565
0,46,2,606
0,46,11,3126
0,46,1,326
0,46,4,1166
0,46,6,1726
0,46,9,2566
0,47,2,607
0,47,11,3127
0,47,1,327
0,47,4,1167
0,47,6,1727
0,47,9,2567
0,48,2,608
0,48,11,3128
0,48,1,328
0,48,4,1168
0,48,6,1728
0,48,9,2568
0,49,2,609
0,49,11,3129
0,49,1,329
0,49,4,1169
0,49,6,1729
0,49,9,2569
0,50,2,610
0,50,11,3130
0,50,1,330
0,50,4,1170
0,50,6,1730
0,50,9,2570
0,51,2,611
0,51,11,3131
0,51,1,331
0,51,4,1171
0,51,6,1731
0,51,9,2571
0,52,2,612
0,52,11,3132
0,52,1,332
0,52,4,1172
0,52,6,1732
0,52,9,2572
0,53,2,613
0,53,11,3133
0,53,1,333
0,53,4,1173
0,53,6,1733
0,53,9,2573
0,54,2,614
0,54,11,3134
0,54,1,334
0,54,4,1174
0,54,6,1734
0,54,9,2574
0,55,2,615
0,55,11,3135
0,55,1,335
0,55,4,1175
0,55,6,1735
0,55,9,2575
0,56,2,616
0,56,11,3136
0,56,1,336
0,56,4,1176
0,56,6,1736
0,56,9,2576
0,57,2,617
0,57,11,3137
0,57,1,337
0,57,4,1177
0,57,6,1737
0,57,9,2577
0,58,2,618
0,58,11,3138
0,58,1,338
0,58,4,1178
0,58,6,1738
0,58,9,2578
0,59,2,619
0,59,11,3139
0,59,1,339
0,59,4,1179
0,59,6,1739
0,59,9,2579
0,60,2,620
0,60,11,3140
0,60,1,340
0,60,4,1180
0,60,6,1740
0,60,9,2580
0,61,2,621
0,61,11,3141
0,61,1,341
0,61,4,1181
0,61,6,1741
0,61,9,2581
0,62,2,622
0,62,11,3142
0,62,1,342
0,62,4,1182
0,62,6,1742
0,62,9,2582
0,63,2,623
0,63,11,3143
0,63,1,343
0,63,4,1183
0,63,6,1743
0,63,9,2583
0,64,2,624
0,64,11,3144
0,64,1,344
0,64,4,1184
0,64,6,1744
0,64,9,2584
0,65,2,625
0,65,11,3145
0,65,1,345
0,65,4,1185
0,65,6,1745
0,65,9,2585
0,66,2,626
0,66,11,3146
0,66,1,346
0,66,4,1186
0,66,6,1746
0,66,9,2586
0,67,2,627
0,67,11,3147
