From TID,From JID,To TID,To JID
0,0,2,630
0,0,11,3465
0,0,4,1260
0,0,7,2205
0,0,8,2520
0,1,2,631
0,1,11,3466
0,1,4,1261
0,1,7,2206
0,1,8,2521
0,2,2,632
0,2,11,3467
0,2,4,1262
0,2,7,2207
0,2,8,2522
0,3,2,633
0,3,11,3468
0,3,4,1263
0,3,7,2208
0,3,8,2523
0,4,2,634
0,4,11,3469
0,4,4,1264
0,4,7,2209
0,4,8,2524
0,5,2,635
0,5,11,3470
0,5,4,1265
0,5,7,2210
0,5,8,2525
0,6,2,636
0,6,11,3471
0,6,4,1266
0,6,7,2211
0,6,8,2526
0,7,2,637
0,7,11,3472
0,7,4,1267
0,7,7,2212
0,7,8,2527
0,8,2,638
0,8,11,3473
0,8,4,1268
0,8,7,2213
0,8,8,2528
0,9,2,639
0,9,11,3474
0,9,4,1269
0,9,7,2214
0,9,8,2529
0,10,2,640
0,10,11,3475
0,10,4,1270
0,10,7,2215
0,10,8,2530
0,11,2,641
0,11,11,3476
0,11,4,1271
0,11,7,2216
0,11,8,2531
0,12,2,642
0,12,11,3477
0,12,4,1272
0,12,7,2217
0,12,8,2532
0,13,2,643
0,13,11,3478
0,13,4,1273
0,13,7,2218
0,13,8,2533
0,14,2,644
0,14,11,3479
0,14,4,1274
0,14,7,2219
0,14,8,2534
0,15,2,645
0,15,11,3480
0,15,4,1275
0,15,7,2220
0,15,8,2535
0,16,2,646
0,16,11,3481
0,16,4,1276
0,16,7,2221
0,16,8,2536
0,17,2,647
0,17,11,3482
0,17,4,1277
0,17,7,2222
0,17,8,2537
0,18,2,648
0,18,11,3483
0,18,4,1278
0,18,7,2223
0,18,8,2538
0,19,2,649
0,19,11,3484
0,19,4,1279
0,19,7,2224
0,19,8,2539
0,20,2,650
0,20,11,3485
0,20,4,1280
0,20,7,2225
0,20,8,2540
0,21,2,651
0,21,11,3486
0,21,4,1281
0,21,7,2226
0,21,8,2541
0,22,2,652
0,22,11,3487
0,22,4,1282
0,22,7,2227
0,22,8,2542
0,23,2,653
0,23,11,3488
0,23,4,1283
0,23,7,2228
0,23,8,2543
0,24,2,654
0,24,11,3489
0,24,4,1284
0,24,7,2229
0,24,8,2544
0,25,2,655
0,25,11,3490
0,25,4,1285
0,25,7,2230
0,25,8,2545
0,26,2,656
0,26,11,3491
0,26,4,1286
0,26,7,2231
0,26,8,2546
0,27,2,657
0,27,11,3492
0,27,4,1287
0,27,7,2232
0,27,8,2547
0,28,2,658
0,28,11,3493
0,28,4,1288
0,28,7,2233
0,28,8,2548
