From TID,From JID,To TID,To JID
0,0,2,240
0,0,3,360
0,0,4,480
0,0,1,120
0,0,5,600
0,0,6,720
0,0,7,840
0,0,9,1080
0,1,2,241
0,1,3,361
0,1,4,481
0,1,1,121
0,1,5,601
0,1,6,721
0,1,7,841
0,1,9,1081
0,2,2,242
0,2,3,362
0,2,4,482
0,2,1,122
0,2,5,602
0,2,6,722
0,2,7,842
0,2,9,1082
0,3,2,243
0,3,3,363
0,3,4,483
0,3,1,123
0,3,5,603
0,3,6,723
0,3,7,843
0,3,9,1083
0,4,2,244
0,4,3,364
0,4,4,484
0,4,1,124
0,4,5,604
0,4,6,724
0,4,7,844
0,4,9,1084
0,5,2,245
0,5,3,365
0,5,4,485
0,5,1,125
0,5,5,605
0,5,6,725
0,5,7,845
0,5,9,1085
0,6,2,246
0,6,3,366
0,6,4,486
0,6,1,126
0,6,5,606
0,6,6,726
0,6,7,846
0,6,9,1086
0,7,2,247
0,7,3,367
0,7,4,487
0,7,1,127
0,7,5,607
0,7,6,727
0,7,7,847
0,7,9,1087
0,8,2,248
0,8,3,368
0,8,4,488
0,8,1,128
0,8,5,608
0,8,6,728
0,8,7,848
0,8,9,1088
0,9,2,249
0,9,3,369
0,9,4,489
0,9,1,129
0,9,5,609
0,9,6,729
0,9,7,849
0,9,9,1089
0,10,2,250
0,10,3,370
0,10,4,490
0,10,1,130
0,10,5,610
0,10,6,730
0,10,7,850
0,10,9,1090
0,11,2,251
0,11,3,371
0,11,4,491
0,11,1,131
0,11,5,611
0,11,6,731
0,11,7,851
0,11,9,1091
0,12,2,252
0,12,3,372
0,12,4,492
0,12,1,132
0,12,5,612
0,12,6,732
0,12,7,852
0,12,9,1092
0,13,2,253
0,13,3,373
0,13,4,493
0,13,1,133
0,13,5,613
0,13,6,733
0,13,7,853
0,13,9,1093
0,14,2,254
0,14,3,374
0,14,4,494
0,14,1,134
0,14,5,614
0,14,6,734
0,14,7,854
0,14,9,1094
0,15,2,255
0,15,3,375
0,15,4,495
0,15,1,135
0,15,5,615
0,15,6,735
0,15,7,855
0,15,9,1095
0,16,2,256
0,16,3,376
0,16,4,496
0,16,1,136
0,16,5,616
0,16,6,736
0,16,7,856
0,16,9,1096
0,17,2,257
0,17,3,377
0,17,4,497
0,17,1,137
0,17,5,617
0,17,6,737
0,17,7,857
0,17,9,1097
0,18,2,258
0,18,3,378
0,18,4,498
0,18,1,138
0,18,5,618
0,18,6,738
0,18,7,858
0,18,9,1098
0,19,2,259
0,19,3,379
0,19,4,499
0,19,1,139
0,19,5,619
0,19,6,739
0,19,7,859
0,19,9,1099
0,20,2,260
0,20,3,380
0,20,4,500
0,20,1,140
0,20,5,620
0,20,6,740
0,20,7,860
0,20,9,1100
0,21,2,261
0,21,3,381
0,21,4,501
0,21,1,141
0,21,5,621
0,21,6,741
0,21,7,861
0,21,9,1101
0,22,2,262
0,22,3,382
0,22,4,502
0,22,1,142
0,22,5,622
0,22,6,742
0,22,7,862
0,22,9,1102
0,23,2,263
0,23,3,383
0,23,4,503
0,23,1,143
0,23,5,623
0,23,6,743
0,23,7,863
0,23,9,1103
0,24,2,264
0,24,3,384
0,24,4,504
0,24,1,144
0,24,5,624
0,24,6,744
0,24,7,864
0,24,9,1104
0,25,2,265
0,25,3,385
0,25,4,505
0,25,1,145
0,25,5,625
0,25,6,745
0,25,7,865
0,25,9,1105
0,26,2,266
0,26,3,386
0,26,4,506
0,26,1,146
0,26,5,626
0,26,6,746
0,26,7,866
0,26,9,1106
0,27,2,267
0,27,3,387
0,27,4,507
0,27,1,147
0,27,5,627
0,27,6,747
0,27,7,867
0,27,9,1107
0,28,2,268
0,28,3,388
0,28,4,508
0,28,1,148
0,28,5,628
0,28,6,748
0,28,7,868
0,28,9,1108
0,29,2,269
0,29,3,389
0,29,4,509
0,29,1,149
0,29,5,629
0,29,6,749
0,29,7,869
0,29,9,1109
0,30,2,270
0,30,3,390
0,30,4,510
0,30,1,150
0,30,5,630
0,30,6,750
0,30,7,870
0,30,9,1110
0,31,2,271
0,31,3,391
0,31,4,511
0,31,1,151
0,31,5,631
0,31,6,751
0,31,7,871
0,31,9,1111
0,32,2,272
0,32,3,392
0,32,4,512
0,32,1,152
0,32,5,632
0,32,6,752
0,32,7,872
0,32,9,1112
0,33,2,273
0,33,3,393
0,33,4,513
0,33,1,153
0,33,5,633
0,33,6,753
0,33,7,873
0,33,9,1113
0,34,2,274
0,34,3,394
0,34,4,514
0,34,1,154
0,34,5,634
0,34,6,754
0,34,7,874
0,34,9,1114
0,35,2,275
0,35,3,395
0,35,4,515
0,35,1,155
0,35,5,635
0,35,6,755
