Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,119,1186,10000,10000
0,1,10000,11000,119,1186,20000,10000
0,2,20000,21000,119,1186,30000,10000
0,3,30000,31000,119,1186,40000,10000
0,4,40000,41000,119,1186,50000,10000
0,5,50000,51000,119,1186,60000,10000
0,6,60000,61000,119,1186,70000,10000
0,7,70000,71000,119,1186,80000,10000
0,8,80000,81000,119,1186,90000,10000
0,9,90000,91000,119,1186,100000,10000
0,10,100000,101000,119,1186,110000,10000
0,11,110000,111000,119,1186,120000,10000
0,12,120000,121000,119,1186,130000,10000
0,13,130000,131000,119,1186,140000,10000
0,14,140000,141000,119,1186,150000,10000
0,15,150000,151000,119,1186,160000,10000
0,16,160000,161000,119,1186,170000,10000
0,17,170000,171000,119,1186,180000,10000
0,18,180000,181000,119,1186,190000,10000
0,19,190000,191000,119,1186,200000,10000
0,20,200000,201000,119,1186,210000,10000
0,21,210000,211000,119,1186,220000,10000
0,22,220000,221000,119,1186,230000,10000
0,23,230000,231000,119,1186,240000,10000
1,24,0,1000,73,729,10000,10000
1,25,10000,11000,73,729,20000,10000
1,26,20000,21000,73,729,30000,10000
1,27,30000,31000,73,729,40000,10000
1,28,40000,41000,73,729,50000,10000
1,29,50000,51000,73,729,60000,10000
1,30,60000,61000,73,729,70000,10000
1,31,70000,71000,73,729,80000,10000
1,32,80000,81000,73,729,90000,10000
1,33,90000,91000,73,729,100000,10000
1,34,100000,101000,73,729,110000,10000
1,35,110000,111000,73,729,120000,10000
1,36,120000,121000,73,729,130000,10000
1,37,130000,131000,73,729,140000,10000
1,38,140000,141000,73,729,150000,10000
1,39,150000,151000,73,729,160000,10000
1,40,160000,161000,73,729,170000,10000
1,41,170000,171000,73,729,180000,10000
1,42,180000,181000,73,729,190000,10000
1,43,190000,191000,73,729,200000,10000
1,44,200000,201000,73,729,210000,10000
1,45,210000,211000,73,729,220000,10000
1,46,220000,221000,73,729,230000,10000
1,47,230000,231000,73,729,240000,10000
2,48,0,1000,32,317,10000,10000
2,49,10000,11000,32,317,20000,10000
2,50,20000,21000,32,317,30000,10000
2,51,30000,31000,32,317,40000,10000
2,52,40000,41000,32,317,50000,10000
2,53,50000,51000,32,317,60000,10000
2,54,60000,61000,32,317,70000,10000
2,55,70000,71000,32,317,80000,10000
2,56,80000,81000,32,317,90000,10000
2,57,90000,91000,32,317,100000,10000
2,58,100000,101000,32,317,110000,10000
2,59,110000,111000,32,317,120000,10000
2,60,120000,121000,32,317,130000,10000
2,61,130000,131000,32,317,140000,10000
2,62,140000,141000,32,317,150000,10000
2,63,150000,151000,32,317,160000,10000
2,64,160000,161000,32,317,170000,10000
2,65,170000,171000,32,317,180000,10000
2,66,180000,181000,32,317,190000,10000
2,67,190000,191000,32,317,200000,10000
2,68,200000,201000,32,317,210000,10000
2,69,210000,211000,32,317,220000,10000
2,70,220000,221000,32,317,230000,10000
2,71,230000,231000,32,317,240000,10000
3,72,0,1000,37,372,10000,10000
3,73,10000,11000,37,372,20000,10000
3,74,20000,21000,37,372,30000,10000
3,75,30000,31000,37,372,40000,10000
3,76,40000,41000,37,372,50000,10000
3,77,50000,51000,37,372,60000,10000
3,78,60000,61000,37,372,70000,10000
3,79,70000,71000,37,372,80000,10000
3,80,80000,81000,37,372,90000,10000
3,81,90000,91000,37,372,100000,10000
3,82,100000,101000,37,372,110000,10000
3,83,110000,111000,37,372,120000,10000
3,84,120000,121000,37,372,130000,10000
3,85,130000,131000,37,372,140000,10000
3,86,140000,141000,37,372,150000,10000
3,87,150000,151000,37,372,160000,10000
3,88,160000,161000,37,372,170000,10000
3,89,170000,171000,37,372,180000,10000
3,90,180000,181000,37,372,190000,10000
3,91,190000,191000,37,372,200000,10000
3,92,200000,201000,37,372,210000,10000
3,93,210000,211000,37,372,220000,10000
3,94,220000,221000,37,372,230000,10000
3,95,230000,231000,37,372,240000,10000
4,96,0,1000,31,306,10000,10000
4,97,10000,11000,31,306,20000,10000
4,98,20000,21000,31,306,30000,10000
4,99,30000,31000,31,306,40000,10000
4,100,40000,41000,31,306,50000,10000
4,101,50000,51000,31,306,60000,10000
4,102,60000,61000,31,306,70000,10000
4,103,70000,71000,31,306,80000,10000
4,104,80000,81000,31,306,90000,10000
4,105,90000,91000,31,306,100000,10000
4,106,100000,101000,31,306,110000,10000
4,107,110000,111000,31,306,120000,10000
4,108,120000,121000,31,306,130000,10000
4,109,130000,131000,31,306,140000,10000
4,110,140000,141000,31,306,150000,10000
4,111,150000,151000,31,306,160000,10000
4,112,160000,161000,31,306,170000,10000
4,113,170000,171000,31,306,180000,10000
4,114,180000,181000,31,306,190000,10000
4,115,190000,191000,31,306,200000,10000
4,116,200000,201000,31,306,210000,10000
4,117,210000,211000,31,306,220000,10000
4,118,220000,221000,31,306,230000,10000
4,119,230000,231000,31,306,240000,10000
5,120,0,1000,37,369,10000,10000
5,121,10000,11000,37,369,20000,10000
5,122,20000,21000,37,369,30000,10000
5,123,30000,31000,37,369,40000,10000
5,124,40000,41000,37,369,50000,10000
5,125,50000,51000,37,369,60000,10000
5,126,60000,61000,37,369,70000,10000
5,127,70000,71000,37,369,80000,10000
5,128,80000,81000,37,369,90000,10000
5,129,90000,91000,37,369,100000,10000
5,130,100000,101000,37,369,110000,10000
5,131,110000,111000,37,369,120000,10000
5,132,120000,121000,37,369,130000,10000
5,133,130000,131000,37,369,140000,10000
5,134,140000,141000,37,369,150000,10000
5,135,150000,151000,37,369,160000,10000
5,136,160000,161000,37,369,170000,10000
5,137,170000,171000,37,369,180000,10000
5,138,180000,181000,37,369,190000,10000
5,139,190000,191000,37,369,200000,10000
5,140,200000,201000,37,369,210000,10000
5,141,210000,211000,37,369,220000,10000
5,142,220000,221000,37,369,230000,10000
5,143,230000,231000,37,369,240000,10000
6,144,0,1000,121,1207,10000,10000
6,145,10000,11000,121,1207,20000,10000
6,146,20000,21000,121,1207,30000,10000
6,147,30000,31000,121,1207,40000,10000
6,148,40000,41000,121,1207,50000,10000
6,149,50000,51000,121,1207,60000,10000
6,150,60000,61000,121,1207,70000,10000
6,151,70000,71000,121,1207,80000,10000
6,152,80000,81000,121,1207,90000,10000
6,153,90000,91000,121,1207,100000,10000
6,154,100000,101000,121,1207,110000,10000
6,155,110000,111000,121,1207,120000,10000
6,156,120000,121000,121,1207,130000,10000
6,157,130000,131000,121,1207,140000,10000
6,158,140000,141000,121,1207,150000,10000
6,159,150000,151000,121,1207,160000,10000
6,160,160000,161000,121,1207,170000,10000
6,161,170000,171000,121,1207,180000,10000
6,162,180000,181000,121,1207,190000,10000
6,163,190000,191000,121,1207,200000,10000
6,164,200000,201000,121,1207,210000,10000
6,165,210000,211000,121,1207,220000,10000
6,166,220000,221000,121,1207,230000,10000
6,167,230000,231000,121,1207,240000,10000
7,168,0,1000,24,242,10000,10000
7,169,10000,11000,24,242,20000,10000
7,170,20000,21000,24,242,30000,10000
7,171,30000,31000,24,242,40000,10000
7,172,40000,41000,24,242,50000,10000
7,173,50000,51000,24,242,60000,10000
7,174,60000,61000,24,242,70000,10000
7,175,70000,71000,24,242,80000,10000
7,176,80000,81000,24,242,90000,10000
7,177,90000,91000,24,242,100000,10000
7,178,100000,101000,24,242,110000,10000
7,179,110000,111000,24,242,120000,10000
7,180,120000,121000,24,242,130000,10000
7,181,130000,131000,24,242,140000,10000
7,182,140000,141000,24,242,150000,10000
7,183,150000,151000,24,242,160000,10000
7,184,160000,161000,24,242,170000,10000
7,185,170000,171000,24,242,180000,10000
7,186,180000,181000,24,242,190000,10000
7,187,190000,191000,24,242,200000,10000
7,188,200000,201000,24,242,210000,10000
7,189,210000,211000,24,242,220000,10000
7,190,220000,221000,24,242,230000,10000
7,191,230000,231000,24,242,240000,10000
8,192,0,1000,90,900,10000,10000
8,193,10000,11000,90,900,20000,10000
8,194,20000,21000,90,900,30000,10000
8,195,30000,31000,90,900,40000,10000
8,196,40000,41000,90,900,50000,10000
8,197,50000,51000,90,900,60000,10000
8,198,60000,61000,90,900,70000,10000
8,199,70000,71000,90,900,80000,10000
8,200,80000,81000,90,900,90000,10000
8,201,90000,91000,90,900,100000,10000
8,202,100000,101000,90,900,110000,10000
8,203,110000,111000,90,900,120000,10000
8,204,120000,121000,90,900,130000,10000
8,205,130000,131000,90,900,140000,10000
8,206,140000,141000,90,900,150000,10000
8,207,150000,151000,90,900,160000,10000
8,208,160000,161000,90,900,170000,10000
8,209,170000,171000,90,900,180000,10000
8,210,180000,181000,90,900,190000,10000
8,211,190000,191000,90,900,200000,10000
8,212,200000,201000,90,900,210000,10000
8,213,210000,211000,90,900,220000,10000
8,214,220000,221000,90,900,230000,10000
8,215,230000,231000,90,900,240000,10000
9,216,0,1000,52,521,10000,10000
9,217,10000,11000,52,521,20000,10000
9,218,20000,21000,52,521,30000,10000
9,219,30000,31000,52,521,40000,10000
9,220,40000,41000,52,521,50000,10000
9,221,50000,51000,52,521,60000,10000
9,222,60000,61000,52,521,70000,10000
9,223,70000,71000,52,521,80000,10000
9,224,80000,81000,52,521,90000,10000
9,225,90000,91000,52,521,100000,10000
9,226,100000,101000,52,521,110000,10000
9,227,110000,111000,52,521,120000,10000
9,228,120000,121000,52,521,130000,10000
9,229,130000,131000,52,521,140000,10000
9,230,140000,141000,52,521,150000,10000
9,231,150000,151000,52,521,160000,10000
9,232,160000,161000,52,521,170000,10000
9,233,170000,171000,52,521,180000,10000
9,234,180000,181000,52,521,190000,10000
9,235,190000,191000,52,521,200000,10000
9,236,200000,201000,52,521,210000,10000
9,237,210000,211000,52,521,220000,10000
9,238,220000,221000,52,521,230000,10000
9,239,230000,231000,52,521,240000,10000
10,240,0,1000,62,619,10000,10000
10,241,10000,11000,62,619,20000,10000
10,242,20000,21000,62,619,30000,10000
10,243,30000,31000,62,619,40000,10000
10,244,40000,41000,62,619,50000,10000
10,245,50000,51000,62,619,60000,10000
10,246,60000,61000,62,619,70000,10000
10,247,70000,71000,62,619,80000,10000
10,248,80000,81000,62,619,90000,10000
10,249,90000,91000,62,619,100000,10000
10,250,100000,101000,62,619,110000,10000
10,251,110000,111000,62,619,120000,10000
10,252,120000,121000,62,619,130000,10000
10,253,130000,131000,62,619,140000,10000
10,254,140000,141000,62,619,150000,10000
10,255,150000,151000,62,619,160000,10000
10,256,160000,161000,62,619,170000,10000
10,257,170000,171000,62,619,180000,10000
10,258,180000,181000,62,619,190000,10000
10,259,190000,191000,62,619,200000,10000
