From TID,From JID,To TID,To JID
0,0,2,48
0,0,3,72
0,0,8,192
0,0,9,216
0,0,11,264
0,1,2,49
0,1,3,73
0,1,8,193
0,1,9,217
0,1,11,265
0,2,2,50
0,2,3,74
0,2,8,194
0,2,9,218
0,2,11,266
0,3,2,51
0,3,3,75
0,3,8,195
0,3,9,219
0,3,11,267
0,4,2,52
0,4,3,76
0,4,8,196
0,4,9,220
0,4,11,268
0,5,2,53
0,5,3,77
0,5,8,197
0,5,9,221
0,5,11,269
0,6,2,54
0,6,3,78
0,6,8,198
0,6,9,222
0,6,11,270
0,7,2,55
0,7,3,79
0,7,8,199
0,7,9,223
0,7,11,271
0,8,2,56
0,8,3,80
0,8,8,200
0,8,9,224
0,8,11,272
0,9,2,57
0,9,3,81
0,9,8,201
0,9,9,225
0,9,11,273
0,10,2,58
0,10,3,82
0,10,8,202
0,10,9,226
0,10,11,274
0,11,2,59
0,11,3,83
0,11,8,203
0,11,9,227
0,11,11,275
0,12,2,60
0,12,3,84
0,12,8,204
0,12,9,228
0,12,11,276
0,13,2,61
0,13,3,85
0,13,8,205
0,13,9,229
0,13,11,277
0,14,2,62
0,14,3,86
0,14,8,206
0,14,9,230
0,14,11,278
0,15,2,63
0,15,3,87
0,15,8,207
0,15,9,231
0,15,11,279
0,16,2,64
0,16,3,88
0,16,8,208
0,16,9,232
0,16,11,280
0,17,2,65
0,17,3,89
0,17,8,209
0,17,9,233
0,17,11,281
0,18,2,66
0,18,3,90
0,18,8,210
0,18,9,234
0,18,11,282
0,19,2,67
0,19,3,91
0,19,8,211
0,19,9,235
0,19,11,283
0,20,2,68
0,20,3,92
0,20,8,212
0,20,9,236
0,20,11,284
0,21,2,69
0,21,3,93
0,21,8,213
0,21,9,237
0,21,11,285
0,22,2,70
0,22,3,94
0,22,8,214
0,22,9,238
0,22,11,286
0,23,2,71
0,23,3,95
0,23,8,215
0,23,9,239
0,23,11,287
2,48,1,24
2,48,4,96
2,48,5,120
2,48,7,168
2,48,8,192
2,48,9,216
2,48,10,240
2,48,11,264
2,49,1,25
2,49,4,97
2,49,5,121
2,49,7,169
2,49,8,193
2,49,9,217
2,49,10,241
2,49,11,265
2,50,1,26
2,50,4,98
2,50,5,122
2,50,7,170
2,50,8,194
2,50,9,218
2,50,10,242
2,50,11,266
2,51,1,27
