From TID,From JID,To TID,To JID
0,0,2,462
0,0,3,693
0,0,4,924
0,0,1,231
0,1,2,463
0,1,3,694
0,1,4,925
0,1,1,232
0,2,2,464
0,2,3,695
0,2,4,926
0,2,1,233
0,3,2,465
0,3,3,696
0,3,4,927
0,3,1,234
0,4,2,466
0,4,3,697
0,4,4,928
0,4,1,235
0,5,2,467
0,5,3,698
0,5,4,929
0,5,1,236
0,6,2,468
0,6,3,699
0,6,4,930
0,6,1,237
0,7,2,469
0,7,3,700
0,7,4,931
0,7,1,238
0,8,2,470
0,8,3,701
0,8,4,932
0,8,1,239
0,9,2,471
0,9,3,702
0,9,4,933
0,9,1,240
0,10,2,472
0,10,3,703
0,10,4,934
0,10,1,241
0,11,2,473
0,11,3,704
0,11,4,935
0,11,1,242
0,12,2,474
0,12,3,705
0,12,4,936
0,12,1,243
0,13,2,475
0,13,3,706
0,13,4,937
0,13,1,244
0,14,2,476
0,14,3,707
0,14,4,938
0,14,1,245
0,15,2,477
0,15,3,708
0,15,4,939
0,15,1,246
0,16,2,478
0,16,3,709
0,16,4,940
0,16,1,247
0,17,2,479
0,17,3,710
0,17,4,941
0,17,1,248
0,18,2,480
0,18,3,711
0,18,4,942
0,18,1,249
0,19,2,481
0,19,3,712
0,19,4,943
0,19,1,250
0,20,2,482
0,20,3,713
0,20,4,944
0,20,1,251
0,21,2,483
0,21,3,714
0,21,4,945
0,21,1,252
0,22,2,484
0,22,3,715
0,22,4,946
0,22,1,253
0,23,2,485
0,23,3,716
0,23,4,947
0,23,1,254
0,24,2,486
0,24,3,717
0,24,4,948
0,24,1,255
0,25,2,487
0,25,3,718
0,25,4,949
0,25,1,256
0,26,2,488
0,26,3,719
0,26,4,950
0,26,1,257
0,27,2,489
0,27,3,720
0,27,4,951
0,27,1,258
0,28,2,490
0,28,3,721
0,28,4,952
0,28,1,259
0,29,2,491
0,29,3,722
0,29,4,953
0,29,1,260
0,30,2,492
0,30,3,723
0,30,4,954
0,30,1,261
0,31,2,493
0,31,3,724
0,31,4,955
0,31,1,262
0,32,2,494
0,32,3,725
0,32,4,956
0,32,1,263
0,33,2,495
0,33,3,726
0,33,4,957
0,33,1,264
0,34,2,496
0,34,3,727
0,34,4,958
0,34,1,265
0,35,2,497
0,35,3,728
0,35,4,959
0,35,1,266
0,36,2,498
0,36,3,729
0,36,4,960
0,36,1,267
0,37,2,499
0,37,3,730
0,37,4,961
0,37,1,268
0,38,2,500
0,38,3,731
0,38,4,962
0,38,1,269
0,39,2,501
0,39,3,732
0,39,4,963
0,39,1,270
0,40,2,502
0,40,3,733
0,40,4,964
0,40,1,271
0,41,2,503
0,41,3,734
0,41,4,965
0,41,1,272
0,42,2,504
0,42,3,735
0,42,4,966
0,42,1,273
0,43,2,505
0,43,3,736
0,43,4,967
0,43,1,274
0,44,2,506
0,44,3,737
0,44,4,968
0,44,1,275
0,45,2,507
0,45,3,738
0,45,4,969
0,45,1,276
0,46,2,508
0,46,3,739
0,46,4,970
0,46,1,277
0,47,2,509
0,47,3,740
0,47,4,971
0,47,1,278
0,48,2,510
0,48,3,741
0,48,4,972
0,48,1,279
0,49,2,511
0,49,3,742
0,49,4,973
0,49,1,280
0,50,2,512
0,50,3,743
0,50,4,974
0,50,1,281
0,51,2,513
0,51,3,744
0,51,4,975
0,51,1,282
0,52,2,514
0,52,3,745
0,52,4,976
0,52,1,283
0,53,2,515
0,53,3,746
0,53,4,977
0,53,1,284
0,54,2,516
0,54,3,747
0,54,4,978
0,54,1,285
0,55,2,517
0,55,3,748
0,55,4,979
0,55,1,286
0,56,2,518
0,56,3,749
0,56,4,980
0,56,1,287
0,57,2,519
0,57,3,750
0,57,4,981
0,57,1,288
0,58,2,520
0,58,3,751
0,58,4,982
0,58,1,289
0,59,2,521
0,59,3,752
0,59,4,983
0,59,1,290
0,60,2,522
0,60,3,753
0,60,4,984
0,60,1,291
0,61,2,523
0,61,3,754
0,61,4,985
0,61,1,292
0,62,2,524
0,62,3,755
0,62,4,986
0,62,1,293
0,63,2,525
0,63,3,756
0,63,4,987
0,63,1,294
0,64,2,526
0,64,3,757
0,64,4,988
0,64,1,295
0,65,2,527
0,65,3,758
0,65,4,989
0,65,1,296
0,66,2,528
0,66,3,759
0,66,4,990
0,66,1,297
0,67,2,529
0,67,3,760
0,67,4,991
0,67,1,298
0,68,2,530
0,68,3,761
0,68,4,992
0,68,1,299
0,69,2,531
0,69,3,762
0,69,4,993
0,69,1,300
0,70,2,532
0,70,3,763
0,70,4,994
0,70,1,301
0,71,2,533
0,71,3,764
0,71,4,995
0,71,1,302
0,72,2,534
0,72,3,765
0,72,4,996
0,72,1,303
0,73,2,535
0,73,3,766
0,73,4,997
0,73,1,304
0,74,2,536
0,74,3,767
0,74,4,998
0,74,1,305
0,75,2,537
0,75,3,768
0,75,4,999
0,75,1,306
0,76,2,538
0,76,3,769
0,76,4,1000
0,76,1,307
0,77,2,539
0,77,3,770
0,77,4,1001
0,77,1,308
0,78,2,540
0,78,3,771
0,78,4,1002
0,78,1,309
0,79,2,541
0,79,3,772
0,79,4,1003
0,79,1,310
0,80,2,542
0,80,3,773
0,80,4,1004
0,80,1,311
0,81,2,543
0,81,3,774
0,81,4,1005
0,81,1,312
0,82,2,544
0,82,3,775
0,82,4,1006
0,82,1,313
0,83,2,545
0,83,3,776
0,83,4,1007
0,83,1,314
0,84,2,546
0,84,3,777
0,84,4,1008
0,84,1,315
0,85,2,547
0,85,3,778
0,85,4,1009
0,85,1,316
0,86,2,548
0,86,3,779
0,86,4,1010
0,86,1,317
0,87,2,549
0,87,3,780
0,87,4,1011
