Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,613,6134,30000,30000
0,1,30000,33000,613,6134,60000,30000
0,2,60000,63000,613,6134,90000,30000
0,3,90000,93000,613,6134,120000,30000
0,4,120000,123000,613,6134,150000,30000
0,5,150000,153000,613,6134,180000,30000
0,6,180000,183000,613,6134,210000,30000
0,7,210000,213000,613,6134,240000,30000
0,8,240000,243000,613,6134,270000,30000
0,9,270000,273000,613,6134,300000,30000
0,10,300000,303000,613,6134,330000,30000
0,11,330000,333000,613,6134,360000,30000
0,12,360000,363000,613,6134,390000,30000
0,13,390000,393000,613,6134,420000,30000
0,14,420000,423000,613,6134,450000,30000
0,15,450000,453000,613,6134,480000,30000
0,16,480000,483000,613,6134,510000,30000
0,17,510000,513000,613,6134,540000,30000
0,18,540000,543000,613,6134,570000,30000
0,19,570000,573000,613,6134,600000,30000
0,20,600000,603000,613,6134,630000,30000
0,21,630000,633000,613,6134,660000,30000
0,22,660000,663000,613,6134,690000,30000
0,23,690000,693000,613,6134,720000,30000
0,24,720000,723000,613,6134,750000,30000
0,25,750000,753000,613,6134,780000,30000
0,26,780000,783000,613,6134,810000,30000
0,27,810000,813000,613,6134,840000,30000
0,28,840000,843000,613,6134,870000,30000
0,29,870000,873000,613,6134,900000,30000
0,30,900000,903000,613,6134,930000,30000
0,31,930000,933000,613,6134,960000,30000
0,32,960000,963000,613,6134,990000,30000
0,33,990000,993000,613,6134,1020000,30000
0,34,1020000,1023000,613,6134,1050000,30000
0,35,1050000,1053000,613,6134,1080000,30000
0,36,1080000,1083000,613,6134,1110000,30000
0,37,1110000,1113000,613,6134,1140000,30000
0,38,1140000,1143000,613,6134,1170000,30000
0,39,1170000,1173000,613,6134,1200000,30000
0,40,1200000,1203000,613,6134,1230000,30000
0,41,1230000,1233000,613,6134,1260000,30000
0,42,1260000,1263000,613,6134,1290000,30000
0,43,1290000,1293000,613,6134,1320000,30000
0,44,1320000,1323000,613,6134,1350000,30000
0,45,1350000,1353000,613,6134,1380000,30000
0,46,1380000,1383000,613,6134,1410000,30000
0,47,1410000,1413000,613,6134,1440000,30000
0,48,1440000,1443000,613,6134,1470000,30000
0,49,1470000,1473000,613,6134,1500000,30000
0,50,1500000,1503000,613,6134,1530000,30000
0,51,1530000,1533000,613,6134,1560000,30000
0,52,1560000,1563000,613,6134,1590000,30000
0,53,1590000,1593000,613,6134,1620000,30000
0,54,1620000,1623000,613,6134,1650000,30000
0,55,1650000,1653000,613,6134,1680000,30000
0,56,1680000,1683000,613,6134,1710000,30000
0,57,1710000,1713000,613,6134,1740000,30000
0,58,1740000,1743000,613,6134,1770000,30000
0,59,1770000,1773000,613,6134,1800000,30000
0,60,1800000,1803000,613,6134,1830000,30000
0,61,1830000,1833000,613,6134,1860000,30000
0,62,1860000,1863000,613,6134,1890000,30000
0,63,1890000,1893000,613,6134,1920000,30000
0,64,1920000,1923000,613,6134,1950000,30000
0,65,1950000,1953000,613,6134,1980000,30000
0,66,1980000,1983000,613,6134,2010000,30000
0,67,2010000,2013000,613,6134,2040000,30000
0,68,2040000,2043000,613,6134,2070000,30000
0,69,2070000,2073000,613,6134,2100000,30000
0,70,2100000,2103000,613,6134,2130000,30000
0,71,2130000,2133000,613,6134,2160000,30000
0,72,2160000,2163000,613,6134,2190000,30000
0,73,2190000,2193000,613,6134,2220000,30000
0,74,2220000,2223000,613,6134,2250000,30000
0,75,2250000,2253000,613,6134,2280000,30000
0,76,2280000,2283000,613,6134,2310000,30000
0,77,2310000,2313000,613,6134,2340000,30000
0,78,2340000,2343000,613,6134,2370000,30000
0,79,2370000,2373000,613,6134,2400000,30000
1,80,0,3000,618,6179,30000,30000
1,81,30000,33000,618,6179,60000,30000
1,82,60000,63000,618,6179,90000,30000
1,83,90000,93000,618,6179,120000,30000
1,84,120000,123000,618,6179,150000,30000
1,85,150000,153000,618,6179,180000,30000
1,86,180000,183000,618,6179,210000,30000
1,87,210000,213000,618,6179,240000,30000
1,88,240000,243000,618,6179,270000,30000
1,89,270000,273000,618,6179,300000,30000
1,90,300000,303000,618,6179,330000,30000
1,91,330000,333000,618,6179,360000,30000
1,92,360000,363000,618,6179,390000,30000
1,93,390000,393000,618,6179,420000,30000
1,94,420000,423000,618,6179,450000,30000
1,95,450000,453000,618,6179,480000,30000
1,96,480000,483000,618,6179,510000,30000
1,97,510000,513000,618,6179,540000,30000
1,98,540000,543000,618,6179,570000,30000
1,99,570000,573000,618,6179,600000,30000
1,100,600000,603000,618,6179,630000,30000
1,101,630000,633000,618,6179,660000,30000
1,102,660000,663000,618,6179,690000,30000
1,103,690000,693000,618,6179,720000,30000
1,104,720000,723000,618,6179,750000,30000
1,105,750000,753000,618,6179,780000,30000
1,106,780000,783000,618,6179,810000,30000
1,107,810000,813000,618,6179,840000,30000
1,108,840000,843000,618,6179,870000,30000
1,109,870000,873000,618,6179,900000,30000
1,110,900000,903000,618,6179,930000,30000
1,111,930000,933000,618,6179,960000,30000
1,112,960000,963000,618,6179,990000,30000
1,113,990000,993000,618,6179,1020000,30000
1,114,1020000,1023000,618,6179,1050000,30000
1,115,1050000,1053000,618,6179,1080000,30000
1,116,1080000,1083000,618,6179,1110000,30000
1,117,1110000,1113000,618,6179,1140000,30000
1,118,1140000,1143000,618,6179,1170000,30000
1,119,1170000,1173000,618,6179,1200000,30000
1,120,1200000,1203000,618,6179,1230000,30000
1,121,1230000,1233000,618,6179,1260000,30000
1,122,1260000,1263000,618,6179,1290000,30000
1,123,1290000,1293000,618,6179,1320000,30000
1,124,1320000,1323000,618,6179,1350000,30000
1,125,1350000,1353000,618,6179,1380000,30000
1,126,1380000,1383000,618,6179,1410000,30000
1,127,1410000,1413000,618,6179,1440000,30000
1,128,1440000,1443000,618,6179,1470000,30000
1,129,1470000,1473000,618,6179,1500000,30000
1,130,1500000,1503000,618,6179,1530000,30000
1,131,1530000,1533000,618,6179,1560000,30000
1,132,1560000,1563000,618,6179,1590000,30000
1,133,1590000,1593000,618,6179,1620000,30000
1,134,1620000,1623000,618,6179,1650000,30000
1,135,1650000,1653000,618,6179,1680000,30000
1,136,1680000,1683000,618,6179,1710000,30000
1,137,1710000,1713000,618,6179,1740000,30000
1,138,1740000,1743000,618,6179,1770000,30000
1,139,1770000,1773000,618,6179,1800000,30000
1,140,1800000,1803000,618,6179,1830000,30000
1,141,1830000,1833000,618,6179,1860000,30000
1,142,1860000,1863000,618,6179,1890000,30000
1,143,1890000,1893000,618,6179,1920000,30000
1,144,1920000,1923000,618,6179,1950000,30000
1,145,1950000,1953000,618,6179,1980000,30000
