From TID,From JID,To TID,To JID
0,0,2,160
0,0,3,240
0,0,1,80
0,1,2,161
0,1,3,241
0,1,1,81
0,2,2,162
0,2,3,242
0,2,1,82
0,3,2,163
0,3,3,243
0,3,1,83
0,4,2,164
0,4,3,244
0,4,1,84
0,5,2,165
0,5,3,245
0,5,1,85
0,6,2,166
0,6,3,246
0,6,1,86
0,7,2,167
0,7,3,247
0,7,1,87
0,8,2,168
0,8,3,248
0,8,1,88
0,9,2,169
0,9,3,249
0,9,1,89
0,10,2,170
0,10,3,250
0,10,1,90
0,11,2,171
0,11,3,251
0,11,1,91
0,12,2,172
0,12,3,252
0,12,1,92
0,13,2,173
0,13,3,253
0,13,1,93
0,14,2,174
0,14,3,254
0,14,1,94
0,15,2,175
0,15,3,255
0,15,1,95
0,16,2,176
0,16,3,256
0,16,1,96
0,17,2,177
0,17,3,257
0,17,1,97
0,18,2,178
0,18,3,258
0,18,1,98
0,19,2,179
0,19,3,259
0,19,1,99
0,20,2,180
0,20,3,260
0,20,1,100
0,21,2,181
0,21,3,261
0,21,1,101
0,22,2,182
0,22,3,262
0,22,1,102
0,23,2,183
0,23,3,263
0,23,1,103
0,24,2,184
0,24,3,264
0,24,1,104
0,25,2,185
0,25,3,265
0,25,1,105
0,26,2,186
0,26,3,266
0,26,1,106
0,27,2,187
0,27,3,267
0,27,1,107
0,28,2,188
0,28,3,268
0,28,1,108
0,29,2,189
0,29,3,269
0,29,1,109
0,30,2,190
0,30,3,270
0,30,1,110
0,31,2,191
0,31,3,271
0,31,1,111
0,32,2,192
0,32,3,272
0,32,1,112
0,33,2,193
0,33,3,273
0,33,1,113
0,34,2,194
0,34,3,274
0,34,1,114
0,35,2,195
0,35,3,275
0,35,1,115
0,36,2,196
0,36,3,276
0,36,1,116
0,37,2,197
0,37,3,277
0,37,1,117
0,38,2,198
0,38,3,278
0,38,1,118
0,39,2,199
0,39,3,279
0,39,1,119
0,40,2,200
0,40,3,280
0,40,1,120
0,41,2,201
0,41,3,281
0,41,1,121
0,42,2,202
0,42,3,282
0,42,1,122
0,43,2,203
0,43,3,283
0,43,1,123
0,44,2,204
0,44,3,284
0,44,1,124
0,45,2,205
0,45,3,285
0,45,1,125
0,46,2,206
0,46,3,286
0,46,1,126
0,47,2,207
0,47,3,287
0,47,1,127
0,48,2,208
0,48,3,288
0,48,1,128
0,49,2,209
0,49,3,289
0,49,1,129
0,50,2,210
0,50,3,290
0,50,1,130
0,51,2,211
0,51,3,291
0,51,1,131
0,52,2,212
0,52,3,292
0,52,1,132
0,53,2,213
0,53,3,293
0,53,1,133
0,54,2,214
0,54,3,294
0,54,1,134
0,55,2,215
0,55,3,295
0,55,1,135
0,56,2,216
0,56,3,296
0,56,1,136
0,57,2,217
0,57,3,297
0,57,1,137
0,58,2,218
0,58,3,298
0,58,1,138
0,59,2,219
0,59,3,299
0,59,1,139
0,60,2,220
0,60,3,300
0,60,1,140
0,61,2,221
0,61,3,301
0,61,1,141
0,62,2,222
0,62,3,302
0,62,1,142
0,63,2,223
0,63,3,303
0,63,1,143
0,64,2,224
0,64,3,304
0,64,1,144
0,65,2,225
0,65,3,305
0,65,1,145
0,66,2,226
0,66,3,306
0,66,1,146
0,67,2,227
0,67,3,307
0,67,1,147
0,68,2,228
0,68,3,308
0,68,1,148
0,69,2,229
0,69,3,309
0,69,1,149
0,70,2,230
0,70,3,310
0,70,1,150
0,71,2,231
0,71,3,311
0,71,1,151
0,72,2,232
0,72,3,312
0,72,1,152
0,73,2,233
0,73,3,313
0,73,1,153
0,74,2,234
0,74,3,314
0,74,1,154
0,75,2,235
0,75,3,315
0,75,1,155
0,76,2,236
0,76,3,316
0,76,1,156
0,77,2,237
0,77,3,317
0,77,1,157
0,78,2,238
0,78,3,318
0,78,1,158
0,79,2,239
0,79,3,319
0,79,1,159
2,160,1,80
2,161,1,81
2,162,1,82
2,163,1,83
2,164,1,84
2,165,1,85
2,166,1,86
2,167,1,87
2,168,1,88
2,169,1,89
2,170,1,90
2,171,1,91
2,172,1,92
2,173,1,93
2,174,1,94
2,175,1,95
2,176,1,96
2,177,1,97
2,178,1,98
2,179,1,99
2,180,1,100
2,181,1,101
2,182,1,102
2,183,1,103
2,184,1,104
2,185,1,105
2,186,1,106
2,187,1,107
2,188,1,108
2,189,1,109
2,190,1,110
2,191,1,111
2,192,1,112
2,193,1,113
2,194,1,114
2,195,1,115
2,196,1,116
2,197,1,117
2,198,1,118
2,199,1,119
2,200,1,120
2,201,1,121
2,202,1,122
2,203,1,123
2,204,1,124
2,205,1,125
2,206,1,126
2,207,1,127
2,208,1,128
2,209,1,129
2,210,1,130
2,211,1,131
2,212,1,132
2,213,1,133
2,214,1,134
2,215,1,135
2,216,1,136
2,217,1,137
2,218,1,138
2,219,1,139
2,220,1,140
2,221,1,141
2,222,1,142
2,223,1,143
2,224,1,144
2,225,1,145
2,226,1,146
2,227,1,147
2,228,1,148
2,229,1,149
2,230,1,150
2,231,1,151
2,232,1,152
2,233,1,153
2,234,1,154
2,235,1,155
2,236,1,156
2,237,1,157
2,238,1,158
2,239,1,159
3,240,1,80
3,241,1,81
3,242,1,82
3,243,1,83
3,244,1,84
3,245,1,85
3,246,1,86
3,247,1,87
3,248,1,88
3,249,1,89
3,250,1,90
3,251,1,91
3,252,1,92
3,253,1,93
3,254,1,94
3,255,1,95
3,256,1,96
3,257,1,97
3,258,1,98
3,259,1,99
3,260,1,100
3,261,1,101
3,262,1,102
3,263,1,103
3,264,1,104
3,265,1,105
3,266,1,106
3,267,1,107
3,268,1,108
3,269,1,109
3,270,1,110
3,271,1,111
3,272,1,112
3,273,1,113
3,274,1,114
3,275,1,115
3,276,1,116
3,277,1,117
3,278,1,118
3,279,1,119
3,280,1,120
3,281,1,121
3,282,1,122
3,283,1,123
3,284,1,124
3,285,1,125
3,286,1,126
3,287,1,127
3,288,1,128
3,289,1,129
3,290,1,130
3,291,1,131
3,292,1,132
3,293,1,133
3,294,1,134
3,295,1,135
3,296,1,136
3,297,1,137
3,298,1,138
3,299,1,139
3,300,1,140
3,301,1,141
3,302,1,142
3,303,1,143
3,304,1,144
3,305,1,145
3,306,1,146
3,307,1,147
3,308,1,148
3,309,1,149
3,310,1,150
3,311,1,151
3,312,1,152
3,313,1,153
3,314,1,154
3,315,1,155
3,316,1,156
3,317,1,157
3,318,1,158
3,319,1,159
4,320,6,416
4,320,7,464
4,320,8,512
4,320,5,368
4,320,9,560
4,320,10,608
4,320,11,656
4,320,12,704
4,320,13,752
