Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,156,1553,30000,30000
0,1,30000,33000,156,1553,60000,30000
0,2,60000,63000,156,1553,90000,30000
0,3,90000,93000,156,1553,120000,30000
0,4,120000,123000,156,1553,150000,30000
0,5,150000,153000,156,1553,180000,30000
0,6,180000,183000,156,1553,210000,30000
0,7,210000,213000,156,1553,240000,30000
0,8,240000,243000,156,1553,270000,30000
0,9,270000,273000,156,1553,300000,30000
0,10,300000,303000,156,1553,330000,30000
0,11,330000,333000,156,1553,360000,30000
0,12,360000,363000,156,1553,390000,30000
0,13,390000,393000,156,1553,420000,30000
0,14,420000,423000,156,1553,450000,30000
0,15,450000,453000,156,1553,480000,30000
0,16,480000,483000,156,1553,510000,30000
0,17,510000,513000,156,1553,540000,30000
0,18,540000,543000,156,1553,570000,30000
0,19,570000,573000,156,1553,600000,30000
0,20,600000,603000,156,1553,630000,30000
0,21,630000,633000,156,1553,660000,30000
0,22,660000,663000,156,1553,690000,30000
0,23,690000,693000,156,1553,720000,30000
0,24,720000,723000,156,1553,750000,30000
0,25,750000,753000,156,1553,780000,30000
0,26,780000,783000,156,1553,810000,30000
0,27,810000,813000,156,1553,840000,30000
0,28,840000,843000,156,1553,870000,30000
0,29,870000,873000,156,1553,900000,30000
0,30,900000,903000,156,1553,930000,30000
0,31,930000,933000,156,1553,960000,30000
0,32,960000,963000,156,1553,990000,30000
0,33,990000,993000,156,1553,1020000,30000
0,34,1020000,1023000,156,1553,1050000,30000
0,35,1050000,1053000,156,1553,1080000,30000
0,36,1080000,1083000,156,1553,1110000,30000
0,37,1110000,1113000,156,1553,1140000,30000
0,38,1140000,1143000,156,1553,1170000,30000
0,39,1170000,1173000,156,1553,1200000,30000
0,40,1200000,1203000,156,1553,1230000,30000
0,41,1230000,1233000,156,1553,1260000,30000
0,42,1260000,1263000,156,1553,1290000,30000
0,43,1290000,1293000,156,1553,1320000,30000
0,44,1320000,1323000,156,1553,1350000,30000
0,45,1350000,1353000,156,1553,1380000,30000
0,46,1380000,1383000,156,1553,1410000,30000
0,47,1410000,1413000,156,1553,1440000,30000
0,48,1440000,1443000,156,1553,1470000,30000
0,49,1470000,1473000,156,1553,1500000,30000
0,50,1500000,1503000,156,1553,1530000,30000
0,51,1530000,1533000,156,1553,1560000,30000
0,52,1560000,1563000,156,1553,1590000,30000
0,53,1590000,1593000,156,1553,1620000,30000
0,54,1620000,1623000,156,1553,1650000,30000
0,55,1650000,1653000,156,1553,1680000,30000
0,56,1680000,1683000,156,1553,1710000,30000
0,57,1710000,1713000,156,1553,1740000,30000
0,58,1740000,1743000,156,1553,1770000,30000
0,59,1770000,1773000,156,1553,1800000,30000
0,60,1800000,1803000,156,1553,1830000,30000
0,61,1830000,1833000,156,1553,1860000,30000
0,62,1860000,1863000,156,1553,1890000,30000
0,63,1890000,1893000,156,1553,1920000,30000
0,64,1920000,1923000,156,1553,1950000,30000
0,65,1950000,1953000,156,1553,1980000,30000
0,66,1980000,1983000,156,1553,2010000,30000
0,67,2010000,2013000,156,1553,2040000,30000
0,68,2040000,2043000,156,1553,2070000,30000
0,69,2070000,2073000,156,1553,2100000,30000
1,70,0,3000,139,1390,30000,30000
1,71,30000,33000,139,1390,60000,30000
1,72,60000,63000,139,1390,90000,30000
1,73,90000,93000,139,1390,120000,30000
1,74,120000,123000,139,1390,150000,30000
1,75,150000,153000,139,1390,180000,30000
1,76,180000,183000,139,1390,210000,30000
1,77,210000,213000,139,1390,240000,30000
1,78,240000,243000,139,1390,270000,30000
1,79,270000,273000,139,1390,300000,30000
1,80,300000,303000,139,1390,330000,30000
1,81,330000,333000,139,1390,360000,30000
1,82,360000,363000,139,1390,390000,30000
1,83,390000,393000,139,1390,420000,30000
1,84,420000,423000,139,1390,450000,30000
1,85,450000,453000,139,1390,480000,30000
1,86,480000,483000,139,1390,510000,30000
1,87,510000,513000,139,1390,540000,30000
1,88,540000,543000,139,1390,570000,30000
1,89,570000,573000,139,1390,600000,30000
1,90,600000,603000,139,1390,630000,30000
1,91,630000,633000,139,1390,660000,30000
1,92,660000,663000,139,1390,690000,30000
1,93,690000,693000,139,1390,720000,30000
1,94,720000,723000,139,1390,750000,30000
1,95,750000,753000,139,1390,780000,30000
1,96,780000,783000,139,1390,810000,30000
1,97,810000,813000,139,1390,840000,30000
1,98,840000,843000,139,1390,870000,30000
1,99,870000,873000,139,1390,900000,30000
1,100,900000,903000,139,1390,930000,30000
1,101,930000,933000,139,1390,960000,30000
1,102,960000,963000,139,1390,990000,30000
1,103,990000,993000,139,1390,1020000,30000
1,104,1020000,1023000,139,1390,1050000,30000
1,105,1050000,1053000,139,1390,1080000,30000
1,106,1080000,1083000,139,1390,1110000,30000
1,107,1110000,1113000,139,1390,1140000,30000
1,108,1140000,1143000,139,1390,1170000,30000
1,109,1170000,1173000,139,1390,1200000,30000
1,110,1200000,1203000,139,1390,1230000,30000
1,111,1230000,1233000,139,1390,1260000,30000
1,112,1260000,1263000,139,1390,1290000,30000
1,113,1290000,1293000,139,1390,1320000,30000
1,114,1320000,1323000,139,1390,1350000,30000
1,115,1350000,1353000,139,1390,1380000,30000
1,116,1380000,1383000,139,1390,1410000,30000
1,117,1410000,1413000,139,1390,1440000,30000
1,118,1440000,1443000,139,1390,1470000,30000
1,119,1470000,1473000,139,1390,1500000,30000
1,120,1500000,1503000,139,1390,1530000,30000
1,121,1530000,1533000,139,1390,1560000,30000
1,122,1560000,1563000,139,1390,1590000,30000
1,123,1590000,1593000,139,1390,1620000,30000
1,124,1620000,1623000,139,1390,1650000,30000
1,125,1650000,1653000,139,1390,1680000,30000
1,126,1680000,1683000,139,1390,1710000,30000
