From TID,From JID,To TID,To JID
0,0,2,12
0,0,3,18
0,0,10,60
0,0,5,30
0,0,6,36
0,0,7,42
0,0,8,48
0,1,2,13
0,1,3,19
0,1,10,61
0,1,5,31
0,1,6,37
0,1,7,43
0,1,8,49
0,2,2,14
0,2,3,20
0,2,10,62
0,2,5,32
0,2,6,38
0,2,7,44
0,2,8,50
0,3,2,15
0,3,3,21
0,3,10,63
0,3,5,33
0,3,6,39
0,3,7,45
0,3,8,51
0,4,2,16
0,4,3,22
0,4,10,64
0,4,5,34
0,4,6,40
0,4,7,46
0,4,8,52
0,5,2,17
0,5,3,23
0,5,10,65
0,5,5,35
0,5,6,41
0,5,7,47
0,5,8,53
2,12,1,6
2,12,6,36
2,12,7,42
2,12,8,48
2,13,1,7
2,13,6,37
2,13,7,43
2,13,8,49
2,14,1,8
2,14,6,38
2,14,7,44
2,14,8,50
2,15,1,9
2,15,6,39
2,15,7,45
2,15,8,51
2,16,1,10
2,16,6,40
2,16,7,46
2,16,8,52
2,17,1,11
2,17,6,41
2,17,7,47
2,17,8,53
3,18,5,30
3,18,6,36
3,18,1,6
3,18,4,24
3,18,8,48
3,19,5,31
3,19,6,37
3,19,1,7
3,19,4,25
3,19,8,49
3,20,5,32
3,20,6,38
3,20,1,8
3,20,4,26
3,20,8,50
3,21,5,33
3,21,6,39
3,21,1,9
3,21,4,27
3,21,8,51
3,22,5,34
3,22,6,40
3,22,1,10
3,22,4,28
3,22,8,52
3,23,5,35
3,23,6,41
3,23,1,11
3,23,4,29
3,23,8,53
4,24,1,6
4,25,1,7
4,26,1,8
4,27,1,9
4,28,1,10
4,29,1,11
5,30,4,24
5,30,1,6
5,31,4,25
5,31,1,7
5,32,4,26
5,32,1,8
5,33,4,27
5,33,1,9
5,34,4,28
5,34,1,10
5,35,4,29
5,35,1,11
6,36,8,48
6,36,9,54
6,36,1,6
6,36,7,42
6,37,8,49
6,37,9,55
6,37,1,7
6,37,7,43
6,38,8,50
6,38,9,56
6,38,1,8
6,38,7,44
6,39,8,51
6,39,9,57
6,39,1,9
6,39,7,45
6,40,8,52
6,40,9,58
6,40,1,10
6,40,7,46
6,41,8,53
6,41,9,59
6,41,1,11
6,41,7,47
7,42,4,24
7,42,1,6
7,43,4,25
7,43,1,7
7,44,4,26
7,44,1,8
7,45,4,27
7,45,1,9
7,46,4,28
7,46,1,10
7,47,4,29
7,47,1,11
8,48,7,42
8,48,4,24
8,49,7,43
8,49,4,25
8,50,7,44
8,50,4,26
8,51,7,45
8,51,4,27
8,52,7,46
8,52,4,28
8,53,7,47
8,53,4,29
9,54,7,42
9,54,1,6
9,55,7,43
9,55,1,7
9,56,7,44
9,56,1,8
9,57,7,45
9,57,1,9
9,58,7,46
9,58,1,10
9,59,7,47
9,59,1,11
10,60,1,6
10,60,6,36
10,60,7,42
10,60,8,48
10,61,1,7
10,61,6,37
10,61,7,43
10,61,8,49
10,62,1,8
10,62,6,38
10,62,7,44
10,62,8,50
10,63,1,9
10,63,6,39
10,63,7,45
10,63,8,51
10,64,1,10
10,64,6,40
10,64,7,46
10,64,8,52
10,65,1,11
10,65,6,41
10,65,7,47
10,65,8,53
11,66,13,72
11,66,14,75
11,66,12,69
11,67,13,73
11,67,14,76
11,67,12,70
11,68,13,74
11,68,14,77
11,68,12,71
13,72,12,69
13,73,12,70
13,74,12,71
14,75,12,69
14,76,12,70
14,77,12,71
15,78,17,82
15,78,25,98
15,78,18,84
15,78,19,86
15,78,21,90
15,78,22,92
15,78,23,94
15,79,17,83
15,79,25,99
15,79,18,85
15,79,19,87
15,79,21,91
15,79,22,93
15,79,23,95
17,82,19,86
17,82,20,88
17,82,24,96
17,82,16,80
17,82,21,90
17,82,23,94
17,83,19,87
17,83,20,89
17,83,24,97
17,83,16,81
17,83,21,91
17,83,23,95
18,84,16,80
18,85,16,81
19,86,18,84
19,87,18,85
20,88,22,92
20,88,23,94
20,89,22,93
20,89,23,95
21,90,18,84
21,90,16,80
21,91,18,85
21,91,16,81
22,92,21,90
22,92,16,80
22,92,18,84
22,93,21,91
22,93,16,81
22,93,18,85
23,94,21,90
23,95,21,91
24,96,18,84
24,96,16,80
24,96,21,90
24,96,23,94
24,97,18,85
24,97,16,81
24,97,21,91
24,97,23,95
25,98,16,80
25,99,16,81
26,100,28,102
26,100,36,110
26,100,27,101
26,100,30,104
26,100,32,106
26,100,33,107
26,100,34,108
26,100,35,109
28,102,30,104
28,102,35,109
28,102,29,103
28,102,32,106
29,103,27,101
30,104,32,106
30,104,33,107
30,104,34,108
30,104,29,103
31,105,29,103
31,105,27,101
32,106,31,105
32,106,27,101
32,106,29,103
33,107,31,105
34,108,31,105
35,109,29,103
35,109,27,101
35,109,32,106
35,109,33,107
36,110,27,101
