Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,58,577,20000,20000
0,1,20000,22000,58,577,40000,20000
0,2,40000,42000,58,577,60000,20000
0,3,60000,62000,58,577,80000,20000
0,4,80000,82000,58,577,100000,20000
0,5,100000,102000,58,577,120000,20000
0,6,120000,122000,58,577,140000,20000
0,7,140000,142000,58,577,160000,20000
0,8,160000,162000,58,577,180000,20000
0,9,180000,182000,58,577,200000,20000
0,10,200000,202000,58,577,220000,20000
0,11,220000,222000,58,577,240000,20000
0,12,240000,242000,58,577,260000,20000
0,13,260000,262000,58,577,280000,20000
0,14,280000,282000,58,577,300000,20000
1,15,0,2000,208,2080,20000,20000
1,16,20000,22000,208,2080,40000,20000
1,17,40000,42000,208,2080,60000,20000
1,18,60000,62000,208,2080,80000,20000
1,19,80000,82000,208,2080,100000,20000
1,20,100000,102000,208,2080,120000,20000
1,21,120000,122000,208,2080,140000,20000
1,22,140000,142000,208,2080,160000,20000
1,23,160000,162000,208,2080,180000,20000
1,24,180000,182000,208,2080,200000,20000
1,25,200000,202000,208,2080,220000,20000
1,26,220000,222000,208,2080,240000,20000
1,27,240000,242000,208,2080,260000,20000
1,28,260000,262000,208,2080,280000,20000
1,29,280000,282000,208,2080,300000,20000
2,30,0,2000,127,1270,20000,20000
2,31,20000,22000,127,1270,40000,20000
2,32,40000,42000,127,1270,60000,20000
2,33,60000,62000,127,1270,80000,20000
2,34,80000,82000,127,1270,100000,20000
2,35,100000,102000,127,1270,120000,20000
2,36,120000,122000,127,1270,140000,20000
2,37,140000,142000,127,1270,160000,20000
2,38,160000,162000,127,1270,180000,20000
2,39,180000,182000,127,1270,200000,20000
2,40,200000,202000,127,1270,220000,20000
2,41,220000,222000,127,1270,240000,20000
2,42,240000,242000,127,1270,260000,20000
2,43,260000,262000,127,1270,280000,20000
2,44,280000,282000,127,1270,300000,20000
3,45,0,2000,227,2270,20000,20000
3,46,20000,22000,227,2270,40000,20000
3,47,40000,42000,227,2270,60000,20000
3,48,60000,62000,227,2270,80000,20000
3,49,80000,82000,227,2270,100000,20000
3,50,100000,102000,227,2270,120000,20000
3,51,120000,122000,227,2270,140000,20000
3,52,140000,142000,227,2270,160000,20000
3,53,160000,162000,227,2270,180000,20000
3,54,180000,182000,227,2270,200000,20000
3,55,200000,202000,227,2270,220000,20000
3,56,220000,222000,227,2270,240000,20000
3,57,240000,242000,227,2270,260000,20000
3,58,260000,262000,227,2270,280000,20000
3,59,280000,282000,227,2270,300000,20000
4,60,0,2000,72,722,20000,20000
4,61,20000,22000,72,722,40000,20000
4,62,40000,42000,72,722,60000,20000
4,63,60000,62000,72,722,80000,20000
4,64,80000,82000,72,722,100000,20000
4,65,100000,102000,72,722,120000,20000
4,66,120000,122000,72,722,140000,20000
4,67,140000,142000,72,722,160000,20000
4,68,160000,162000,72,722,180000,20000
4,69,180000,182000,72,722,200000,20000
4,70,200000,202000,72,722,220000,20000
4,71,220000,222000,72,722,240000,20000
4,72,240000,242000,72,722,260000,20000
4,73,260000,262000,72,722,280000,20000
4,74,280000,282000,72,722,300000,20000
5,75,0,2000,459,4586,20000,20000
5,76,20000,22000,459,4586,40000,20000
5,77,40000,42000,459,4586,60000,20000
5,78,60000,62000,459,4586,80000,20000
5,79,80000,82000,459,4586,100000,20000
5,80,100000,102000,459,4586,120000,20000
5,81,120000,122000,459,4586,140000,20000
5,82,140000,142000,459,4586,160000,20000
5,83,160000,162000,459,4586,180000,20000
5,84,180000,182000,459,4586,200000,20000
5,85,200000,202000,459,4586,220000,20000
5,86,220000,222000,459,4586,240000,20000
5,87,240000,242000,459,4586,260000,20000
5,88,260000,262000,459,4586,280000,20000
5,89,280000,282000,459,4586,300000,20000
6,90,0,2000,450,4503,20000,20000
6,91,20000,22000,450,4503,40000,20000
6,92,40000,42000,450,4503,60000,20000
6,93,60000,62000,450,4503,80000,20000
6,94,80000,82000,450,4503,100000,20000
6,95,100000,102000,450,4503,120000,20000
6,96,120000,122000,450,4503,140000,20000
6,97,140000,142000,450,4503,160000,20000
6,98,160000,162000,450,4503,180000,20000
6,99,180000,182000,450,4503,200000,20000
6,100,200000,202000,450,4503,220000,20000
6,101,220000,222000,450,4503,240000,20000
6,102,240000,242000,450,4503,260000,20000
6,103,260000,262000,450,4503,280000,20000
6,104,280000,282000,450,4503,300000,20000
7,105,0,5000,137,1371,50000,50000
7,106,50000,55000,137,1371,100000,50000
7,107,100000,105000,137,1371,150000,50000
7,108,150000,155000,137,1371,200000,50000
7,109,200000,205000,137,1371,250000,50000
7,110,250000,255000,137,1371,300000,50000
8,111,0,5000,190,1897,50000,50000
8,112,50000,55000,190,1897,100000,50000
8,113,100000,105000,190,1897,150000,50000
8,114,150000,155000,190,1897,200000,50000
8,115,200000,205000,190,1897,250000,50000
8,116,250000,255000,190,1897,300000,50000
9,117,0,5000,24,236,50000,50000
9,118,50000,55000,24,236,100000,50000
9,119,100000,105000,24,236,150000,50000
9,120,150000,155000,24,236,200000,50000
9,121,200000,205000,24,236,250000,50000
9,122,250000,255000,24,236,300000,50000
10,123,0,5000,212,2118,50000,50000
10,124,50000,55000,212,2118,100000,50000
10,125,100000,105000,212,2118,150000,50000
10,126,150000,155000,212,2118,200000,50000
10,127,200000,205000,212,2118,250000,50000
10,128,250000,255000,212,2118,300000,50000
11,129,0,5000,118,1184,50000,50000
11,130,50000,55000,118,1184,100000,50000
11,131,100000,105000,118,1184,150000,50000
11,132,150000,155000,118,1184,200000,50000
11,133,200000,205000,118,1184,250000,50000
11,134,250000,255000,118,1184,300000,50000
12,135,0,5000,121,1209,50000,50000
12,136,50000,55000,121,1209,100000,50000
12,137,100000,105000,121,1209,150000,50000
12,138,150000,155000,121,1209,200000,50000
12,139,200000,205000,121,1209,250000,50000
12,140,250000,255000,121,1209,300000,50000
13,141,0,5000,1051,10509,50000,50000
13,142,50000,55000,1051,10509,100000,50000
13,143,100000,105000,1051,10509,150000,50000
13,144,150000,155000,1051,10509,200000,50000
13,145,200000,205000,1051,10509,250000,50000
13,146,250000,255000,1051,10509,300000,50000
14,147,0,5000,437,4373,50000,50000
14,148,50000,55000,437,4373,100000,50000
14,149,100000,105000,437,4373,150000,50000
14,150,150000,155000,437,4373,200000,50000
14,151,200000,205000,437,4373,250000,50000
14,152,250000,255000,437,4373,300000,50000
15,153,0,5000,968,9677,50000,50000
15,154,50000,55000,968,9677,100000,50000
