Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,48,477,20000,20000
0,1,20000,22000,48,477,40000,20000
0,2,40000,42000,48,477,60000,20000
0,3,60000,62000,48,477,80000,20000
0,4,80000,82000,48,477,100000,20000
0,5,100000,102000,48,477,120000,20000
0,6,120000,122000,48,477,140000,20000
0,7,140000,142000,48,477,160000,20000
0,8,160000,162000,48,477,180000,20000
0,9,180000,182000,48,477,200000,20000
0,10,200000,202000,48,477,220000,20000
0,11,220000,222000,48,477,240000,20000
0,12,240000,242000,48,477,260000,20000
0,13,260000,262000,48,477,280000,20000
1,14,0,2000,21,205,20000,20000
1,15,20000,22000,21,205,40000,20000
1,16,40000,42000,21,205,60000,20000
1,17,60000,62000,21,205,80000,20000
1,18,80000,82000,21,205,100000,20000
1,19,100000,102000,21,205,120000,20000
1,20,120000,122000,21,205,140000,20000
1,21,140000,142000,21,205,160000,20000
1,22,160000,162000,21,205,180000,20000
1,23,180000,182000,21,205,200000,20000
1,24,200000,202000,21,205,220000,20000
1,25,220000,222000,21,205,240000,20000
1,26,240000,242000,21,205,260000,20000
1,27,260000,262000,21,205,280000,20000
2,28,0,2000,184,1844,20000,20000
2,29,20000,22000,184,1844,40000,20000
2,30,40000,42000,184,1844,60000,20000
2,31,60000,62000,184,1844,80000,20000
2,32,80000,82000,184,1844,100000,20000
2,33,100000,102000,184,1844,120000,20000
2,34,120000,122000,184,1844,140000,20000
2,35,140000,142000,184,1844,160000,20000
2,36,160000,162000,184,1844,180000,20000
2,37,180000,182000,184,1844,200000,20000
2,38,200000,202000,184,1844,220000,20000
2,39,220000,222000,184,1844,240000,20000
2,40,240000,242000,184,1844,260000,20000
2,41,260000,262000,184,1844,280000,20000
3,42,0,2000,129,1288,20000,20000
3,43,20000,22000,129,1288,40000,20000
3,44,40000,42000,129,1288,60000,20000
3,45,60000,62000,129,1288,80000,20000
3,46,80000,82000,129,1288,100000,20000
3,47,100000,102000,129,1288,120000,20000
3,48,120000,122000,129,1288,140000,20000
3,49,140000,142000,129,1288,160000,20000
3,50,160000,162000,129,1288,180000,20000
3,51,180000,182000,129,1288,200000,20000
3,52,200000,202000,129,1288,220000,20000
3,53,220000,222000,129,1288,240000,20000
3,54,240000,242000,129,1288,260000,20000
3,55,260000,262000,129,1288,280000,20000
4,56,0,2000,150,1504,20000,20000
4,57,20000,22000,150,1504,40000,20000
4,58,40000,42000,150,1504,60000,20000
4,59,60000,62000,150,1504,80000,20000
4,60,80000,82000,150,1504,100000,20000
4,61,100000,102000,150,1504,120000,20000
4,62,120000,122000,150,1504,140000,20000
4,63,140000,142000,150,1504,160000,20000
4,64,160000,162000,150,1504,180000,20000
4,65,180000,182000,150,1504,200000,20000
4,66,200000,202000,150,1504,220000,20000
4,67,220000,222000,150,1504,240000,20000
4,68,240000,242000,150,1504,260000,20000
4,69,260000,262000,150,1504,280000,20000
5,70,0,2000,55,549,20000,20000
5,71,20000,22000,55,549,40000,20000
5,72,40000,42000,55,549,60000,20000
5,73,60000,62000,55,549,80000,20000
5,74,80000,82000,55,549,100000,20000
5,75,100000,102000,55,549,120000,20000
5,76,120000,122000,55,549,140000,20000
5,77,140000,142000,55,549,160000,20000
5,78,160000,162000,55,549,180000,20000
5,79,180000,182000,55,549,200000,20000
5,80,200000,202000,55,549,220000,20000
5,81,220000,222000,55,549,240000,20000
5,82,240000,242000,55,549,260000,20000
