From TID,From JID,To TID,To JID
0,0,2,28
0,0,13,182
0,0,14,196
0,0,1,14
0,0,6,84
0,0,9,126
0,0,12,168
0,1,2,29
0,1,13,183
0,1,14,197
0,1,1,15
0,1,6,85
0,1,9,127
0,1,12,169
0,2,2,30
0,2,13,184
0,2,14,198
0,2,1,16
0,2,6,86
0,2,9,128
0,2,12,170
0,3,2,31
0,3,13,185
0,3,14,199
0,3,1,17
0,3,6,87
0,3,9,129
0,3,12,171
0,4,2,32
0,4,13,186
0,4,14,200
0,4,1,18
0,4,6,88
0,4,9,130
0,4,12,172
0,5,2,33
0,5,13,187
0,5,14,201
0,5,1,19
0,5,6,89
0,5,9,131
0,5,12,173
0,6,2,34
0,6,13,188
0,6,14,202
0,6,1,20
0,6,6,90
0,6,9,132
0,6,12,174
0,7,2,35
0,7,13,189
0,7,14,203
0,7,1,21
0,7,6,91
0,7,9,133
0,7,12,175
0,8,2,36
0,8,13,190
0,8,14,204
0,8,1,22
0,8,6,92
0,8,9,134
0,8,12,176
0,9,2,37
0,9,13,191
0,9,14,205
0,9,1,23
0,9,6,93
0,9,9,135
0,9,12,177
0,10,2,38
0,10,13,192
0,10,14,206
0,10,1,24
0,10,6,94
0,10,9,136
0,10,12,178
0,11,2,39
0,11,13,193
0,11,14,207
0,11,1,25
0,11,6,95
0,11,9,137
0,11,12,179
0,12,2,40
0,12,13,194
0,12,14,208
0,12,1,26
0,12,6,96
0,12,9,138
0,12,12,180
0,13,2,41
0,13,13,195
0,13,14,209
0,13,1,27
0,13,6,97
0,13,9,139
0,13,12,181
2,28,4,56
2,28,8,112
2,28,12,168
2,28,1,14
2,28,5,70
2,28,6,84
2,28,7,98
2,28,11,154
2,29,4,57
2,29,8,113
2,29,12,169
2,29,1,15
2,29,5,71
2,29,6,85
2,29,7,99
2,29,11,155
2,30,4,58
2,30,8,114
2,30,12,170
2,30,1,16
2,30,5,72
2,30,6,86
2,30,7,100
2,30,11,156
2,31,4,59
2,31,8,115
2,31,12,171
2,31,1,17
2,31,5,73
2,31,6,87
2,31,7,101
2,31,11,157
2,32,4,60
2,32,8,116
2,32,12,172
2,32,1,18
2,32,5,74
2,32,6,88
2,32,7,102
2,32,11,158
2,33,4,61
2,33,8,117
2,33,12,173
2,33,1,19
2,33,5,75
2,33,6,89
2,33,7,103
2,33,11,159
2,34,4,62
2,34,8,118
2,34,12,174
2,34,1,20
2,34,5,76
2,34,6,90
2,34,7,104
2,34,11,160
2,35,4,63
2,35,8,119
2,35,12,175
2,35,1,21
2,35,5,77
2,35,6,91
2,35,7,105
2,35,11,161
2,36,4,64
2,36,8,120
2,36,12,176
2,36,1,22
2,36,5,78
2,36,6,92
2,36,7,106
2,36,11,162
2,37,4,65
2,37,8,121
2,37,12,177
2,37,1,23
2,37,5,79
2,37,6,93
2,37,7,107
2,37,11,163
2,38,4,66
2,38,8,122
2,38,12,178
2,38,1,24
2,38,5,80
2,38,6,94
2,38,7,108
2,38,11,164
2,39,4,67
2,39,8,123
2,39,12,179
2,39,1,25
2,39,5,81
2,39,6,95
2,39,7,109
2,39,11,165
2,40,4,68
2,40,8,124
2,40,12,180
2,40,1,26
2,40,5,82
2,40,6,96
2,40,7,110
2,40,11,166
2,41,4,69
2,41,8,125
2,41,12,181
2,41,1,27
2,41,5,83
2,41,6,97
2,41,7,111
2,41,11,167
3,42,1,14
3,43,1,15
3,44,1,16
3,45,1,17
3,46,1,18
3,47,1,19
3,48,1,20
3,49,1,21
3,50,1,22
3,51,1,23
3,52,1,24
3,53,1,25
3,54,1,26
3,55,1,27
4,56,6,84
4,56,7,98
4,56,5,70
4,56,10,140
4,56,11,154
4,57,6,85
4,57,7,99
4,57,5,71
4,57,10,141
4,57,11,155
4,58,6,86
4,58,7,100
4,58,5,72
4,58,10,142
4,58,11,156
4,59,6,87
4,59,7,101
4,59,5,73
4,59,10,143
4,59,11,157
4,60,6,88
4,60,7,102
4,60,5,74
4,60,10,144
4,60,11,158
4,61,6,89
4,61,7,103
4,61,5,75
4,61,10,145
4,61,11,159
4,62,6,90
4,62,7,104
4,62,5,76
4,62,10,146
4,62,11,160
4,63,6,91
4,63,7,105
4,63,5,77
4,63,10,147
4,63,11,161
4,64,6,92
4,64,7,106
4,64,5,78
4,64,10,148
4,64,11,162
4,65,6,93
4,65,7,107
4,65,5,79
4,65,10,149
4,65,11,163
4,66,6,94
4,66,7,108
4,66,5,80
4,66,10,150
4,66,11,164
4,67,6,95
4,67,7,109
4,67,5,81
4,67,10,151
4,67,11,165
4,68,6,96
4,68,7,110
4,68,5,82
4,68,10,152
4,68,11,166
4,69,6,97
4,69,7,111
4,69,5,83
4,69,10,153
4,69,11,167
5,70,3,42
5,71,3,43
5,72,3,44
5,73,3,45
5,74,3,46
5,75,3,47
5,76,3,48
5,77,3,49
5,78,3,50
5,79,3,51
5,80,3,52
5,81,3,53
5,82,3,54
5,83,3,55
6,84,5,70
6,84,3,42
6,84,9,126
6,85,5,71
6,85,3,43
6,85,9,127
6,86,5,72
6,86,3,44
6,86,9,128
6,87,5,73
6,87,3,45
6,87,9,129
6,88,5,74
6,88,3,46
6,88,9,130
6,89,5,75
6,89,3,47
6,89,9,131
6,90,5,76
6,90,3,48
6,90,9,132
6,91,5,77
6,91,3,49
6,91,9,133
6,92,5,78
6,92,3,50
6,92,9,134
6,93,5,79
6,93,3,51
6,93,9,135
6,94,5,80
6,94,3,52
6,94,9,136
6,95,5,81
6,95,3,53
6,95,9,137
6,96,5,82
6,96,3,54
6,96,9,138
6,97,5,83
6,97,3,55
6,97,9,139
7,98,5,70
7,98,1,14
7,98,9,126
7,99,5,71
7,99,1,15
7,99,9,127
7,100,5,72
7,100,1,16
7,100,9,128
7,101,5,73
7,101,1,17
7,101,9,129
7,102,5,74
7,102,1,18
7,102,9,130
7,103,5,75
7,103,1,19
7,103,9,131
7,104,5,76
7,104,1,20
7,104,9,132
7,105,5,77
7,105,1,21
7,105,9,133
7,106,5,78
7,106,1,22
7,106,9,134
7,107,5,79
7,107,1,23
7,107,9,135
7,108,5,80
7,108,1,24
7,108,9,136
7,109,5,81
7,109,1,25
7,109,9,137
7,110,5,82
7,110,1,26
7,110,9,138
7,111,5,83
7,111,1,27
7,111,9,139
8,112,10,140
8,112,11,154
8,112,3,42
8,112,5,70
8,112,6,84
8,112,7,98
8,112,9,126
8,113,10,141
8,113,11,155
8,113,3,43
8,113,5,71
8,113,6,85
8,113,7,99
8,113,9,127
8,114,10,142
8,114,11,156
8,114,3,44
8,114,5,72
8,114,6,86
8,114,7,100
8,114,9,128
8,115,10,143
8,115,11,157
8,115,3,45
8,115,5,73
8,115,6,87
8,115,7,101
8,115,9,129
8,116,10,144
8,116,11,158
8,116,3,46
8,116,5,74
8,116,6,88
8,116,7,102
8,116,9,130
8,117,10,145
8,117,11,159
8,117,3,47
8,117,5,75
8,117,6,89
8,117,7,103
8,117,9,131
8,118,10,146
8,118,11,160
8,118,3,48
8,118,5,76
8,118,6,90
8,118,7,104
8,118,9,132
8,119,10,147
8,119,11,161
8,119,3,49
8,119,5,77
8,119,6,91
8,119,7,105
8,119,9,133
8,120,10,148
8,120,11,162
8,120,3,50
8,120,5,78
8,120,6,92
8,120,7,106
8,120,9,134
8,121,10,149
8,121,11,163
8,121,3,51
8,121,5,79
8,121,6,93
8,121,7,107
8,121,9,135
8,122,10,150
8,122,11,164
8,122,3,52
8,122,5,80
8,122,6,94
8,122,7,108
8,122,9,136
8,123,10,151
8,123,11,165
8,123,3,53
8,123,5,81
8,123,6,95
8,123,7,109
8,123,9,137
8,124,10,152
8,124,11,166
8,124,3,54
8,124,5,82
8,124,6,96
8,124,7,110
8,124,9,138
8,125,10,153
8,125,11,167
8,125,3,55
8,125,5,83
8,125,6,97
8,125,7,111
8,125,9,139
9,126,3,42
9,127,3,43
9,128,3,44
9,129,3,45
9,130,3,46
9,131,3,47
9,132,3,48
9,133,3,49
9,134,3,50
9,135,3,51
9,136,3,52
9,137,3,53
9,138,3,54
9,139,3,55
10,140,9,126
10,140,1,14
10,140,5,70
10,141,9,127
10,141,1,15
10,141,5,71
10,142,9,128
10,142,1,16
10,142,5,72
10,143,9,129
10,143,1,17
10,143,5,73
10,144,9,130
10,144,1,18
10,144,5,74
