Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,269,2690,20000,20000
0,1,20000,22000,269,2690,40000,20000
0,2,40000,42000,269,2690,60000,20000
0,3,60000,62000,269,2690,80000,20000
0,4,80000,82000,269,2690,100000,20000
0,5,100000,102000,269,2690,120000,20000
0,6,120000,122000,269,2690,140000,20000
0,7,140000,142000,269,2690,160000,20000
0,8,160000,162000,269,2690,180000,20000
0,9,180000,182000,269,2690,200000,20000
0,10,200000,202000,269,2690,220000,20000
0,11,220000,222000,269,2690,240000,20000
0,12,240000,242000,269,2690,260000,20000
0,13,260000,262000,269,2690,280000,20000
1,14,0,2000,107,1074,20000,20000
1,15,20000,22000,107,1074,40000,20000
1,16,40000,42000,107,1074,60000,20000
1,17,60000,62000,107,1074,80000,20000
1,18,80000,82000,107,1074,100000,20000
1,19,100000,102000,107,1074,120000,20000
1,20,120000,122000,107,1074,140000,20000
1,21,140000,142000,107,1074,160000,20000
1,22,160000,162000,107,1074,180000,20000
1,23,180000,182000,107,1074,200000,20000
1,24,200000,202000,107,1074,220000,20000
1,25,220000,222000,107,1074,240000,20000
1,26,240000,242000,107,1074,260000,20000
1,27,260000,262000,107,1074,280000,20000
2,28,0,2000,4,36,20000,20000
2,29,20000,22000,4,36,40000,20000
2,30,40000,42000,4,36,60000,20000
2,31,60000,62000,4,36,80000,20000
2,32,80000,82000,4,36,100000,20000
2,33,100000,102000,4,36,120000,20000
2,34,120000,122000,4,36,140000,20000
2,35,140000,142000,4,36,160000,20000
2,36,160000,162000,4,36,180000,20000
2,37,180000,182000,4,36,200000,20000
2,38,200000,202000,4,36,220000,20000
2,39,220000,222000,4,36,240000,20000
2,40,240000,242000,4,36,260000,20000
2,41,260000,262000,4,36,280000,20000
3,42,0,2000,282,2824,20000,20000
3,43,20000,22000,282,2824,40000,20000
3,44,40000,42000,282,2824,60000,20000
3,45,60000,62000,282,2824,80000,20000
3,46,80000,82000,282,2824,100000,20000
3,47,100000,102000,282,2824,120000,20000
3,48,120000,122000,282,2824,140000,20000
3,49,140000,142000,282,2824,160000,20000
3,50,160000,162000,282,2824,180000,20000
3,51,180000,182000,282,2824,200000,20000
3,52,200000,202000,282,2824,220000,20000
3,53,220000,222000,282,2824,240000,20000
3,54,240000,242000,282,2824,260000,20000
3,55,260000,262000,282,2824,280000,20000
4,56,0,2000,10,101,20000,20000
4,57,20000,22000,10,101,40000,20000
4,58,40000,42000,10,101,60000,20000
4,59,60000,62000,10,101,80000,20000
4,60,80000,82000,10,101,100000,20000
4,61,100000,102000,10,101,120000,20000
4,62,120000,122000,10,101,140000,20000
4,63,140000,142000,10,101,160000,20000
4,64,160000,162000,10,101,180000,20000
4,65,180000,182000,10,101,200000,20000
4,66,200000,202000,10,101,220000,20000
4,67,220000,222000,10,101,240000,20000
4,68,240000,242000,10,101,260000,20000
4,69,260000,262000,10,101,280000,20000
5,70,0,2000,235,2348,20000,20000
5,71,20000,22000,235,2348,40000,20000
5,72,40000,42000,235,2348,60000,20000
5,73,60000,62000,235,2348,80000,20000
5,74,80000,82000,235,2348,100000,20000
5,75,100000,102000,235,2348,120000,20000
5,76,120000,122000,235,2348,140000,20000
5,77,140000,142000,235,2348,160000,20000
5,78,160000,162000,235,2348,180000,20000
5,79,180000,182000,235,2348,200000,20000
5,80,200000,202000,235,2348,220000,20000
5,81,220000,222000,235,2348,240000,20000
5,82,240000,242000,235,2348,260000,20000
5,83,260000,262000,235,2348,280000,20000
6,84,0,2000,13,129,20000,20000
6,85,20000,22000,13,129,40000,20000
6,86,40000,42000,13,129,60000,20000
6,87,60000,62000,13,129,80000,20000
6,88,80000,82000,13,129,100000,20000
6,89,100000,102000,13,129,120000,20000
6,90,120000,122000,13,129,140000,20000
6,91,140000,142000,13,129,160000,20000
6,92,160000,162000,13,129,180000,20000
