From TID,From JID,To TID,To JID
0,0,2,28
0,0,3,42
0,0,7,98
0,0,5,70
0,0,8,112
0,1,2,29
0,1,3,43
0,1,7,99
0,1,5,71
0,1,8,113
0,2,2,30
0,2,3,44
0,2,7,100
0,2,5,72
0,2,8,114
0,3,2,31
0,3,3,45
0,3,7,101
0,3,5,73
0,3,8,115
0,4,2,32
0,4,3,46
0,4,7,102
0,4,5,74
0,4,8,116
0,5,2,33
0,5,3,47
0,5,7,103
0,5,5,75
0,5,8,117
0,6,2,34
0,6,3,48
0,6,7,104
0,6,5,76
0,6,8,118
0,7,2,35
0,7,3,49
0,7,7,105
0,7,5,77
0,7,8,119
0,8,2,36
0,8,3,50
0,8,7,106
0,8,5,78
0,8,8,120
0,9,2,37
0,9,3,51
0,9,7,107
0,9,5,79
0,9,8,121
0,10,2,38
0,10,3,52
0,10,7,108
0,10,5,80
0,10,8,122
0,11,2,39
0,11,3,53
0,11,7,109
0,11,5,81
0,11,8,123
0,12,2,40
0,12,3,54
0,12,7,110
0,12,5,82
0,12,8,124
0,13,2,41
0,13,3,55
0,13,7,111
0,13,5,83
0,13,8,125
2,28,1,14
2,28,4,56
2,28,5,70
2,28,6,84
2,28,8,112
2,29,1,15
2,29,4,57
2,29,5,71
2,29,6,85
2,29,8,113
2,30,1,16
2,30,4,58
2,30,5,72
2,30,6,86
2,30,8,114
2,31,1,17
2,31,4,59
2,31,5,73
2,31,6,87
2,31,8,115
2,32,1,18
2,32,4,60
2,32,5,74
2,32,6,88
2,32,8,116
2,33,1,19
2,33,4,61
2,33,5,75
2,33,6,89
2,33,8,117
2,34,1,20
2,34,4,62
2,34,5,76
2,34,6,90
2,34,8,118
2,35,1,21
2,35,4,63
2,35,5,77
2,35,6,91
2,35,8,119
2,36,1,22
2,36,4,64
2,36,5,78
2,36,6,92
2,36,8,120
2,37,1,23
2,37,4,65
2,37,5,79
2,37,6,93
2,37,8,121
2,38,1,24
2,38,4,66
2,38,5,80
2,38,6,94
2,38,8,122
2,39,1,25
2,39,4,67
2,39,5,81
2,39,6,95
2,39,8,123
2,40,1,26
2,40,4,68
2,40,5,82
2,40,6,96
2,40,8,124
2,41,1,27
2,41,4,69
2,41,5,83
2,41,6,97
2,41,8,125
3,42,5,70
3,42,6,84
3,42,1,14
3,42,4,56
3,42,9,126
3,42,10,140
3,43,5,71
3,43,6,85
3,43,1,15
3,43,4,57
3,43,9,127
3,43,10,141
3,44,5,72
3,44,6,86
3,44,1,16
3,44,4,58
3,44,9,128
3,44,10,142
3,45,5,73
3,45,6,87
3,45,1,17
3,45,4,59
3,45,9,129
3,45,10,143
3,46,5,74
3,46,6,88
3,46,1,18
3,46,4,60
3,46,9,130
3,46,10,144
3,47,5,75
3,47,6,89
3,47,1,19
3,47,4,61
3,47,9,131
3,47,10,145
3,48,5,76
3,48,6,90
3,48,1,20
3,48,4,62
3,48,9,132
3,48,10,146
3,49,5,77
3,49,6,91
3,49,1,21
3,49,4,63
3,49,9,133
3,49,10,147
3,50,5,78
3,50,6,92
3,50,1,22
3,50,4,64
3,50,9,134
3,50,10,148
3,51,5,79
3,51,6,93
3,51,1,23
3,51,4,65
3,51,9,135
3,51,10,149
3,52,5,80
3,52,6,94
3,52,1,24
3,52,4,66
3,52,9,136
3,52,10,150
3,53,5,81
3,53,6,95
3,53,1,25
3,53,4,67
3,53,9,137
3,53,10,151
3,54,5,82
3,54,6,96
3,54,1,26
3,54,4,68
3,54,9,138
3,54,10,152
3,55,5,83
3,55,6,97
3,55,1,27
3,55,4,69
3,55,9,139
3,55,10,153
4,56,1,14
4,57,1,15
4,58,1,16
4,59,1,17
4,60,1,18
4,61,1,19
4,62,1,20
4,63,1,21
4,64,1,22
4,65,1,23
4,66,1,24
4,67,1,25
4,68,1,26
4,69,1,27
5,70,4,56
5,70,1,14
5,71,4,57
5,71,1,15
5,72,4,58
5,72,1,16
5,73,4,59
5,73,1,17
5,74,4,60
5,74,1,18
5,75,4,61
5,75,1,19
5,76,4,62
5,76,1,20
5,77,4,63
5,77,1,21
5,78,4,64
5,78,1,22
5,79,4,65
5,79,1,23
5,80,4,66
5,80,1,24
5,81,4,67
5,81,1,25
