From TID,From JID,To TID,To JID
0,0,2,60
0,0,10,300
0,0,11,330
0,0,1,30
0,0,3,90
0,0,8,240
0,0,9,270
0,1,2,61
0,1,10,301
0,1,11,331
0,1,1,31
0,1,3,91
0,1,8,241
0,1,9,271
0,2,2,62
0,2,10,302
0,2,11,332
0,2,1,32
0,2,3,92
0,2,8,242
0,2,9,272
0,3,2,63
0,3,10,303
0,3,11,333
0,3,1,33
0,3,3,93
0,3,8,243
0,3,9,273
0,4,2,64
0,4,10,304
0,4,11,334
0,4,1,34
0,4,3,94
0,4,8,244
0,4,9,274
0,5,2,65
0,5,10,305
0,5,11,335
0,5,1,35
0,5,3,95
0,5,8,245
0,5,9,275
0,6,2,66
0,6,10,306
0,6,11,336
0,6,1,36
0,6,3,96
0,6,8,246
0,6,9,276
0,7,2,67
0,7,10,307
0,7,11,337
0,7,1,37
0,7,3,97
0,7,8,247
0,7,9,277
0,8,2,68
0,8,10,308
0,8,11,338
0,8,1,38
0,8,3,98
0,8,8,248
0,8,9,278
0,9,2,69
0,9,10,309
0,9,11,339
0,9,1,39
0,9,3,99
0,9,8,249
0,9,9,279
0,10,2,70
0,10,10,310
0,10,11,340
0,10,1,40
0,10,3,100
0,10,8,250
0,10,9,280
0,11,2,71
0,11,10,311
0,11,11,341
0,11,1,41
0,11,3,101
0,11,8,251
0,11,9,281
0,12,2,72
0,12,10,312
0,12,11,342
0,12,1,42
0,12,3,102
0,12,8,252
0,12,9,282
0,13,2,73
0,13,10,313
0,13,11,343
0,13,1,43
0,13,3,103
0,13,8,253
0,13,9,283
0,14,2,74
0,14,10,314
0,14,11,344
0,14,1,44
0,14,3,104
0,14,8,254
0,14,9,284
0,15,2,75
0,15,10,315
0,15,11,345
0,15,1,45
0,15,3,105
0,15,8,255
0,15,9,285
0,16,2,76
0,16,10,316
0,16,11,346
0,16,1,46
0,16,3,106
0,16,8,256
0,16,9,286
0,17,2,77
0,17,10,317
0,17,11,347
0,17,1,47
0,17,3,107
0,17,8,257
0,17,9,287
0,18,2,78
0,18,10,318
0,18,11,348
0,18,1,48
0,18,3,108
0,18,8,258
0,18,9,288
0,19,2,79
0,19,10,319
0,19,11,349
0,19,1,49
0,19,3,109
0,19,8,259
0,19,9,289
0,20,2,80
0,20,10,320
0,20,11,350
0,20,1,50
0,20,3,110
0,20,8,260
0,20,9,290
0,21,2,81
0,21,10,321
0,21,11,351
0,21,1,51
0,21,3,111
0,21,8,261
0,21,9,291
0,22,2,82
0,22,10,322
0,22,11,352
0,22,1,52
0,22,3,112
0,22,8,262
0,22,9,292
0,23,2,83
0,23,10,323
0,23,11,353
0,23,1,53
0,23,3,113
0,23,8,263
0,23,9,293
0,24,2,84
0,24,10,324
0,24,11,354
0,24,1,54
0,24,3,114
0,24,8,264
0,24,9,294
0,25,2,85
0,25,10,325
0,25,11,355
0,25,1,55
0,25,3,115
0,25,8,265
0,25,9,295
0,26,2,86
0,26,10,326
0,26,11,356
0,26,1,56
0,26,3,116
0,26,8,266
0,26,9,296
0,27,2,87
0,27,10,327
0,27,11,357
0,27,1,57
0,27,3,117
0,27,8,267
0,27,9,297
0,28,2,88
0,28,10,328
0,28,11,358
0,28,1,58
0,28,3,118
0,28,8,268
0,28,9,298
0,29,2,89
0,29,10,329
0,29,11,359
0,29,1,59
0,29,3,119
0,29,8,269
0,29,9,299
2,60,4,120
2,60,5,150
2,60,3,90
2,61,4,121
2,61,5,151
2,61,3,91
2,62,4,122
2,62,5,152
2,62,3,92
2,63,4,123
2,63,5,153
2,63,3,93
2,64,4,124
2,64,5,154
2,64,3,94
2,65,4,125
2,65,5,155
2,65,3,95
2,66,4,126
2,66,5,156
2,66,3,96
2,67,4,127
2,67,5,157
2,67,3,97
2,68,4,128
2,68,5,158
2,68,3,98
2,69,4,129
2,69,5,159
2,69,3,99
2,70,4,130
2,70,5,160
2,70,3,100
2,71,4,131
2,71,5,161
2,71,3,101
2,72,4,132
2,72,5,162
2,72,3,102
2,73,4,133
2,73,5,163
2,73,3,103
2,74,4,134
2,74,5,164
2,74,3,104
2,75,4,135
2,75,5,165
2,75,3,105
2,76,4,136
2,76,5,166
2,76,3,106
2,77,4,137
2,77,5,167
2,77,3,107
2,78,4,138
2,78,5,168
2,78,3,108
2,79,4,139
2,79,5,169
2,79,3,109
2,80,4,140
2,80,5,170
2,80,3,110
2,81,4,141
2,81,5,171
2,81,3,111
2,82,4,142
2,82,5,172
2,82,3,112
2,83,4,143
2,83,5,173
2,83,3,113
2,84,4,144
2,84,5,174
2,84,3,114
2,85,4,145
2,85,5,175
2,85,3,115
2,86,4,146
2,86,5,176
2,86,3,116
2,87,4,147
2,87,5,177
2,87,3,117
2,88,4,148
2,88,5,178
2,88,3,118
2,89,4,149
2,89,5,179
2,89,3,119
3,90,1,30
3,91,1,31
3,92,1,32
3,93,1,33
3,94,1,34
3,95,1,35
3,96,1,36
3,97,1,37
3,98,1,38
3,99,1,39
3,100,1,40
3,101,1,41
3,102,1,42
3,103,1,43
3,104,1,44
3,105,1,45
3,106,1,46
3,107,1,47
3,108,1,48
3,109,1,49
3,110,1,50
3,111,1,51
3,112,1,52
3,113,1,53
3,114,1,54
3,115,1,55
3,116,1,56
3,117,1,57
3,118,1,58
3,119,1,59
4,120,3,90
4,120,6,180
4,120,7,210
4,121,3,91
4,121,6,181
4,121,7,211
4,122,3,92
4,122,6,182
4,122,7,212
4,123,3,93
4,123,6,183
4,123,7,213
4,124,3,94
4,124,6,184
4,124,7,214
4,125,3,95
4,125,6,185
4,125,7,215
4,126,3,96
4,126,6,186
4,126,7,216
4,127,3,97
4,127,6,187
4,127,7,217
4,128,3,98
4,128,6,188
4,128,7,218
4,129,3,99
4,129,6,189
4,129,7,219
4,130,3,100
4,130,6,190
4,130,7,220
4,131,3,101
4,131,6,191
4,131,7,221
4,132,3,102
4,132,6,192
4,132,7,222
4,133,3,103
4,133,6,193
4,133,7,223
4,134,3,104
4,134,6,194
4,134,7,224
4,135,3,105
4,135,6,195
4,135,7,225
4,136,3,106
4,136,6,196
4,136,7,226
4,137,3,107
4,137,6,197
4,137,7,227
4,138,3,108
4,138,6,198
4,138,7,228
4,139,3,109
4,139,6,199
4,139,7,229
4,140,3,110
4,140,6,200
4,140,7,230
4,141,3,111
4,141,6,201
4,141,7,231
4,142,3,112
4,142,6,202
4,142,7,232
4,143,3,113
4,143,6,203
4,143,7,233
4,144,3,114
4,144,6,204
4,144,7,234
4,145,3,115
4,145,6,205
4,145,7,235
4,146,3,116
4,146,6,206
4,146,7,236
4,147,3,117
4,147,6,207
4,147,7,237
4,148,3,118
4,148,6,208
4,148,7,238
4,149,3,119
4,149,6,209
4,149,7,239
5,150,7,210
5,150,8,240
5,150,9,270
5,150,1,30
5,150,3,90
5,151,7,211
5,151,8,241
5,151,9,271
5,151,1,31
5,151,3,91
5,152,7,212
5,152,8,242
5,152,9,272
5,152,1,32
5,152,3,92
5,153,7,213
5,153,8,243
5,153,9,273
5,153,1,33
5,153,3,93
5,154,7,214
5,154,8,244
5,154,9,274
5,154,1,34
5,154,3,94
5,155,7,215
5,155,8,245
5,155,9,275
5,155,1,35
5,155,3,95
5,156,7,216
5,156,8,246
5,156,9,276
5,156,1,36
5,156,3,96
5,157,7,217
5,157,8,247
5,157,9,277
5,157,1,37
5,157,3,97
5,158,7,218
5,158,8,248
5,158,9,278
5,158,1,38
