From TID,From JID,To TID,To JID
0,0,2,180
0,0,11,990
0,0,12,1080
0,0,3,270
0,0,7,630
0,0,8,720
0,0,9,810
0,1,2,181
0,1,11,991
0,1,12,1081
0,1,3,271
0,1,7,631
0,1,8,721
0,1,9,811
0,2,2,182
0,2,11,992
0,2,12,1082
0,2,3,272
0,2,7,632
0,2,8,722
0,2,9,812
0,3,2,183
0,3,11,993
0,3,12,1083
0,3,3,273
0,3,7,633
0,3,8,723
0,3,9,813
0,4,2,184
0,4,11,994
0,4,12,1084
0,4,3,274
0,4,7,634
0,4,8,724
0,4,9,814
0,5,2,185
0,5,11,995
0,5,12,1085
0,5,3,275
0,5,7,635
0,5,8,725
0,5,9,815
0,6,2,186
0,6,11,996
0,6,12,1086
0,6,3,276
0,6,7,636
0,6,8,726
0,6,9,816
0,7,2,187
0,7,11,997
0,7,12,1087
0,7,3,277
0,7,7,637
0,7,8,727
0,7,9,817
0,8,2,188
0,8,11,998
0,8,12,1088
0,8,3,278
0,8,7,638
0,8,8,728
0,8,9,818
0,9,2,189
0,9,11,999
0,9,12,1089
0,9,3,279
0,9,7,639
0,9,8,729
0,9,9,819
0,10,2,190
0,10,11,1000
0,10,12,1090
0,10,3,280
0,10,7,640
0,10,8,730
0,10,9,820
0,11,2,191
0,11,11,1001
0,11,12,1091
0,11,3,281
0,11,7,641
0,11,8,731
0,11,9,821
0,12,2,192
0,12,11,1002
0,12,12,1092
0,12,3,282
0,12,7,642
0,12,8,732
0,12,9,822
0,13,2,193
0,13,11,1003
0,13,12,1093
0,13,3,283
0,13,7,643
0,13,8,733
0,13,9,823
0,14,2,194
0,14,11,1004
0,14,12,1094
0,14,3,284
0,14,7,644
0,14,8,734
0,14,9,824
0,15,2,195
0,15,11,1005
0,15,12,1095
0,15,3,285
0,15,7,645
0,15,8,735
0,15,9,825
0,16,2,196
0,16,11,1006
0,16,12,1096
0,16,3,286
0,16,7,646
0,16,8,736
0,16,9,826
0,17,2,197
0,17,11,1007
0,17,12,1097
0,17,3,287
0,17,7,647
0,17,8,737
0,17,9,827
0,18,2,198
0,18,11,1008
0,18,12,1098
0,18,3,288
0,18,7,648
0,18,8,738
0,18,9,828
0,19,2,199
0,19,11,1009
0,19,12,1099
0,19,3,289
0,19,7,649
0,19,8,739
0,19,9,829
0,20,2,200
0,20,11,1010
0,20,12,1100
0,20,3,290
0,20,7,650
0,20,8,740
0,20,9,830
0,21,2,201
0,21,11,1011
0,21,12,1101
0,21,3,291
0,21,7,651
0,21,8,741
0,21,9,831
0,22,2,202
0,22,11,1012
0,22,12,1102
0,22,3,292
0,22,7,652
0,22,8,742
0,22,9,832
0,23,2,203
0,23,11,1013
0,23,12,1103
0,23,3,293
0,23,7,653
0,23,8,743
0,23,9,833
0,24,2,204
0,24,11,1014
0,24,12,1104
0,24,3,294
0,24,7,654
0,24,8,744
0,24,9,834
0,25,2,205
