From TID,From JID,To TID,To JID
0,0,2,48
0,0,11,264
0,0,1,24
0,0,3,72
0,0,8,192
0,1,2,49
0,1,11,265
0,1,1,25
0,1,3,73
0,1,8,193
0,2,2,50
0,2,11,266
0,2,1,26
0,2,3,74
0,2,8,194
0,3,2,51
0,3,11,267
0,3,1,27
0,3,3,75
0,3,8,195
0,4,2,52
0,4,11,268
0,4,1,28
0,4,3,76
0,4,8,196
0,5,2,53
0,5,11,269
0,5,1,29
0,5,3,77
0,5,8,197
0,6,2,54
0,6,11,270
0,6,1,30
0,6,3,78
0,6,8,198
0,7,2,55
0,7,11,271
0,7,1,31
0,7,3,79
0,7,8,199
0,8,2,56
0,8,11,272
0,8,1,32
0,8,3,80
0,8,8,200
0,9,2,57
0,9,11,273
0,9,1,33
0,9,3,81
0,9,8,201
0,10,2,58
0,10,11,274
0,10,1,34
0,10,3,82
0,10,8,202
0,11,2,59
0,11,11,275
0,11,1,35
0,11,3,83
0,11,8,203
0,12,2,60
0,12,11,276
0,12,1,36
0,12,3,84
0,12,8,204
0,13,2,61
0,13,11,277
0,13,1,37
0,13,3,85
0,13,8,205
0,14,2,62
0,14,11,278
0,14,1,38
0,14,3,86
0,14,8,206
0,15,2,63
0,15,11,279
0,15,1,39
0,15,3,87
0,15,8,207
0,16,2,64
0,16,11,280
0,16,1,40
0,16,3,88
0,16,8,208
0,17,2,65
0,17,11,281
0,17,1,41
0,17,3,89
0,17,8,209
0,18,2,66
0,18,11,282
0,18,1,42
0,18,3,90
0,18,8,210
0,19,2,67
0,19,11,283
0,19,1,43
0,19,3,91
0,19,8,211
0,20,2,68
0,20,11,284
0,20,1,44
0,20,3,92
0,20,8,212
0,21,2,69
0,21,11,285
0,21,1,45
0,21,3,93
0,21,8,213
0,22,2,70
0,22,11,286
0,22,1,46
0,22,3,94
0,22,8,214
0,23,2,71
0,23,11,287
0,23,1,47
0,23,3,95
0,23,8,215
2,48,4,96
2,48,9,216
2,48,10,240
2,48,1,24
2,48,3,72
2,48,6,144
2,48,8,192
2,49,4,97
2,49,9,217
2,49,10,241
2,49,1,25
2,49,3,73
2,49,6,145
2,49,8,193
2,50,4,98
2,50,9,218
2,50,10,242
2,50,1,26
2,50,3,74
2,50,6,146
2,50,8,194
2,51,4,99
2,51,9,219
2,51,10,243
2,51,1,27
2,51,3,75
2,51,6,147
2,51,8,195
2,52,4,100
2,52,9,220
2,52,10,244
2,52,1,28
2,52,3,76
2,52,6,148
2,52,8,196
2,53,4,101
2,53,9,221
2,53,10,245
2,53,1,29
2,53,3,77
2,53,6,149
2,53,8,197
2,54,4,102
2,54,9,222
2,54,10,246
2,54,1,30
2,54,3,78
2,54,6,150
2,54,8,198
2,55,4,103
2,55,9,223
2,55,10,247
2,55,1,31
2,55,3,79
2,55,6,151
2,55,8,199
2,56,4,104
2,56,9,224
2,56,10,248
2,56,1,32
2,56,3,80
2,56,6,152
2,56,8,200
2,57,4,105
2,57,9,225
2,57,10,249
2,57,1,33
2,57,3,81
2,57,6,153
2,57,8,201
2,58,4,106
2,58,9,226
2,58,10,250
2,58,1,34
2,58,3,82
2,58,6,154
2,58,8,202
2,59,4,107
2,59,9,227
2,59,10,251
