From TID,From JID,To TID,To JID
0,0,2,48
0,0,10,240
0,0,11,264
0,0,1,24
0,0,4,96
0,0,7,168
0,1,2,49
0,1,10,241
0,1,11,265
0,1,1,25
0,1,4,97
0,1,7,169
0,2,2,50
0,2,10,242
0,2,11,266
0,2,1,26
0,2,4,98
0,2,7,170
0,3,2,51
0,3,10,243
0,3,11,267
0,3,1,27
0,3,4,99
0,3,7,171
0,4,2,52
0,4,10,244
0,4,11,268
0,4,1,28
0,4,4,100
0,4,7,172
0,5,2,53
0,5,10,245
0,5,11,269
0,5,1,29
0,5,4,101
0,5,7,173
0,6,2,54
0,6,10,246
0,6,11,270
0,6,1,30
0,6,4,102
0,6,7,174
0,7,2,55
0,7,10,247
0,7,11,271
0,7,1,31
0,7,4,103
0,7,7,175
0,8,2,56
0,8,10,248
0,8,11,272
0,8,1,32
0,8,4,104
0,8,7,176
0,9,2,57
0,9,10,249
0,9,11,273
0,9,1,33
0,9,4,105
0,9,7,177
0,10,2,58
0,10,10,250
0,10,11,274
0,10,1,34
0,10,4,106
0,10,7,178
0,11,2,59
0,11,10,251
0,11,11,275
0,11,1,35
0,11,4,107
0,11,7,179
0,12,2,60
0,12,10,252
0,12,11,276
0,12,1,36
0,12,4,108
0,12,7,180
0,13,2,61
0,13,10,253
0,13,11,277
0,13,1,37
0,13,4,109
0,13,7,181
0,14,2,62
0,14,10,254
0,14,11,278
0,14,1,38
0,14,4,110
0,14,7,182
0,15,2,63
0,15,10,255
0,15,11,279
0,15,1,39
0,15,4,111
0,15,7,183
0,16,2,64
0,16,10,256
0,16,11,280
0,16,1,40
0,16,4,112
0,16,7,184
0,17,2,65
0,17,10,257
0,17,11,281
0,17,1,41
0,17,4,113
0,17,7,185
0,18,2,66
0,18,10,258
0,18,11,282
0,18,1,42
0,18,4,114
0,18,7,186
0,19,2,67
0,19,10,259
0,19,11,283
0,19,1,43
0,19,4,115
0,19,7,187
0,20,2,68
0,20,10,260
0,20,11,284
0,20,1,44
0,20,4,116
0,20,7,188
0,21,2,69
0,21,10,261
0,21,11,285
0,21,1,45
0,21,4,117
0,21,7,189
0,22,2,70
0,22,10,262
0,22,11,286
0,22,1,46
0,22,4,118
0,22,7,190
0,23,2,71
0,23,10,263
0,23,11,287
0,23,1,47
0,23,4,119
0,23,7,191
2,48,4,96
2,48,5,120
2,48,1,24
2,48,3,72
2,48,6,144
2,48,9,216
2,49,4,97
2,49,5,121
2,49,1,25
2,49,3,73
2,49,6,145
2,49,9,217
2,50,4,98
2,50,5,122
2,50,1,26
2,50,3,74
2,50,6,146
2,50,9,218
2,51,4,99
2,51,5,123
2,51,1,27
2,51,3,75
2,51,6,147
2,51,9,219
2,52,4,100
2,52,5,124
2,52,1,28
2,52,3,76
2,52,6,148
2,52,9,220
2,53,4,101
2,53,5,125
2,53,1,29
2,53,3,77
2,53,6,149
2,53,9,221
2,54,4,102
2,54,5,126
2,54,1,30
2,54,3,78
2,54,6,150
2,54,9,222
2,55,4,103
2,55,5,127
2,55,1,31
2,55,3,79
2,55,6,151
2,55,9,223
2,56,4,104
2,56,5,128
2,56,1,32
2,56,3,80
2,56,6,152
2,56,9,224
2,57,4,105
2,57,5,129
2,57,1,33
2,57,3,81
2,57,6,153
2,57,9,225
2,58,4,106
2,58,5,130
2,58,1,34
2,58,3,82
2,58,6,154
2,58,9,226
2,59,4,107
2,59,5,131
2,59,1,35
2,59,3,83
2,59,6,155
2,59,9,227
2,60,4,108
2,60,5,132
