Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,17,174,10000,10000
0,1,10000,11000,17,174,20000,10000
0,2,20000,21000,17,174,30000,10000
0,3,30000,31000,17,174,40000,10000
0,4,40000,41000,17,174,50000,10000
0,5,50000,51000,17,174,60000,10000
0,6,60000,61000,17,174,70000,10000
0,7,70000,71000,17,174,80000,10000
0,8,80000,81000,17,174,90000,10000
0,9,90000,91000,17,174,100000,10000
0,10,100000,101000,17,174,110000,10000
0,11,110000,111000,17,174,120000,10000
1,12,0,1000,59,590,10000,10000
1,13,10000,11000,59,590,20000,10000
1,14,20000,21000,59,590,30000,10000
1,15,30000,31000,59,590,40000,10000
1,16,40000,41000,59,590,50000,10000
1,17,50000,51000,59,590,60000,10000
1,18,60000,61000,59,590,70000,10000
1,19,70000,71000,59,590,80000,10000
1,20,80000,81000,59,590,90000,10000
1,21,90000,91000,59,590,100000,10000
1,22,100000,101000,59,590,110000,10000
1,23,110000,111000,59,590,120000,10000
2,24,0,1000,45,443,10000,10000
2,25,10000,11000,45,443,20000,10000
2,26,20000,21000,45,443,30000,10000
2,27,30000,31000,45,443,40000,10000
2,28,40000,41000,45,443,50000,10000
2,29,50000,51000,45,443,60000,10000
2,30,60000,61000,45,443,70000,10000
2,31,70000,71000,45,443,80000,10000
2,32,80000,81000,45,443,90000,10000
2,33,90000,91000,45,443,100000,10000
2,34,100000,101000,45,443,110000,10000
2,35,110000,111000,45,443,120000,10000
3,36,0,1000,60,604,10000,10000
3,37,10000,11000,60,604,20000,10000
3,38,20000,21000,60,604,30000,10000
3,39,30000,31000,60,604,40000,10000
3,40,40000,41000,60,604,50000,10000
3,41,50000,51000,60,604,60000,10000
3,42,60000,61000,60,604,70000,10000
3,43,70000,71000,60,604,80000,10000
3,44,80000,81000,60,604,90000,10000
3,45,90000,91000,60,604,100000,10000
3,46,100000,101000,60,604,110000,10000
3,47,110000,111000,60,604,120000,10000
4,48,0,1000,28,285,10000,10000
4,49,10000,11000,28,285,20000,10000
4,50,20000,21000,28,285,30000,10000
4,51,30000,31000,28,285,40000,10000
4,52,40000,41000,28,285,50000,10000
4,53,50000,51000,28,285,60000,10000
4,54,60000,61000,28,285,70000,10000
4,55,70000,71000,28,285,80000,10000
4,56,80000,81000,28,285,90000,10000
4,57,90000,91000,28,285,100000,10000
4,58,100000,101000,28,285,110000,10000
4,59,110000,111000,28,285,120000,10000
5,60,0,1000,84,836,10000,10000
5,61,10000,11000,84,836,20000,10000
5,62,20000,21000,84,836,30000,10000
5,63,30000,31000,84,836,40000,10000
5,64,40000,41000,84,836,50000,10000
5,65,50000,51000,84,836,60000,10000
5,66,60000,61000,84,836,70000,10000
5,67,70000,71000,84,836,80000,10000
5,68,80000,81000,84,836,90000,10000
5,69,90000,91000,84,836,100000,10000
5,70,100000,101000,84,836,110000,10000
5,71,110000,111000,84,836,120000,10000
6,72,0,1000,81,812,10000,10000
6,73,10000,11000,81,812,20000,10000
6,74,20000,21000,81,812,30000,10000
6,75,30000,31000,81,812,40000,10000
6,76,40000,41000,81,812,50000,10000
6,77,50000,51000,81,812,60000,10000
6,78,60000,61000,81,812,70000,10000
6,79,70000,71000,81,812,80000,10000
6,80,80000,81000,81,812,90000,10000
6,81,90000,91000,81,812,100000,10000
6,82,100000,101000,81,812,110000,10000
6,83,110000,111000,81,812,120000,10000
7,84,0,1000,9,92,10000,10000
7,85,10000,11000,9,92,20000,10000
7,86,20000,21000,9,92,30000,10000
7,87,30000,31000,9,92,40000,10000
7,88,40000,41000,9,92,50000,10000
7,89,50000,51000,9,92,60000,10000
7,90,60000,61000,9,92,70000,10000
