From TID,From JID,To TID,To JID
0,0,2,24
0,0,10,120
0,0,11,132
0,0,5,60
0,0,6,72
0,1,2,25
0,1,10,121
0,1,11,133
0,1,5,61
0,1,6,73
0,2,2,26
0,2,10,122
0,2,11,134
0,2,5,62
0,2,6,74
0,3,2,27
0,3,10,123
0,3,11,135
0,3,5,63
0,3,6,75
0,4,2,28
0,4,10,124
0,4,11,136
0,4,5,64
0,4,6,76
0,5,2,29
0,5,10,125
0,5,11,137
0,5,5,65
0,5,6,77
0,6,2,30
0,6,10,126
0,6,11,138
0,6,5,66
0,6,6,78
0,7,2,31
0,7,10,127
0,7,11,139
0,7,5,67
0,7,6,79
0,8,2,32
0,8,10,128
0,8,11,140
0,8,5,68
0,8,6,80
0,9,2,33
0,9,10,129
0,9,11,141
0,9,5,69
0,9,6,81
0,10,2,34
0,10,10,130
0,10,11,142
0,10,5,70
0,10,6,82
0,11,2,35
0,11,10,131
0,11,11,143
0,11,5,71
0,11,6,83
2,24,4,48
2,24,9,108
2,24,1,12
2,24,7,84
2,24,8,96
2,25,4,49
2,25,9,109
2,25,1,13
2,25,7,85
2,25,8,97
2,26,4,50
2,26,9,110
2,26,1,14
2,26,7,86
2,26,8,98
2,27,4,51
2,27,9,111
2,27,1,15
2,27,7,87
2,27,8,99
2,28,4,52
2,28,9,112
2,28,1,16
2,28,7,88
2,28,8,100
2,29,4,53
2,29,9,113
2,29,1,17
2,29,7,89
2,29,8,101
2,30,4,54
2,30,9,114
2,30,1,18
2,30,7,90
2,30,8,102
2,31,4,55
2,31,9,115
2,31,1,19
2,31,7,91
2,31,8,103
2,32,4,56
2,32,9,116
2,32,1,20
2,32,7,92
2,32,8,104
2,33,4,57
2,33,9,117
2,33,1,21
2,33,7,93
2,33,8,105
2,34,4,58
2,34,9,118
2,34,1,22
2,34,7,94
2,34,8,106
2,35,4,59
2,35,9,119
2,35,1,23
2,35,7,95
2,35,8,107
3,36,1,12
3,37,1,13
3,38,1,14
3,39,1,15
3,40,1,16
3,41,1,17
3,42,1,18
3,43,1,19
3,44,1,20
3,45,1,21
3,46,1,22
3,47,1,23
4,48,6,72
4,48,7,84
4,48,8,96
4,48,1,12
4,48,3,36
4,49,6,73
4,49,7,85
4,49,8,97
4,49,1,13
4,49,3,37
4,50,6,74
4,50,7,86
4,50,8,98
4,50,1,14
4,50,3,38
4,51,6,75
4,51,7,87
4,51,8,99
4,51,1,15
4,51,3,39
4,52,6,76
4,52,7,88
4,52,8,100
4,52,1,16
4,52,3,40
4,53,6,77
4,53,7,89
4,53,8,101
4,53,1,17
4,53,3,41
4,54,6,78
4,54,7,90
4,54,8,102
4,54,1,18
4,54,3,42
4,55,6,79
4,55,7,91
4,55,8,103
4,55,1,19
4,55,3,43
4,56,6,80
4,56,7,92
4,56,8,104
4,56,1,20
4,56,3,44
4,57,6,81
4,57,7,93
4,57,8,105
4,57,1,21
4,57,3,45
4,58,6,82
4,58,7,94
4,58,8,106
4,58,1,22
4,58,3,46
4,59,6,83
4,59,7,95
4,59,8,107
4,59,1,23
4,59,3,47
5,60,3,36
5,60,1,12
5,61,3,37
5,61,1,13
5,62,3,38
5,62,1,14
5,63,3,39
5,63,1,15
5,64,3,40
5,64,1,16
5,65,3,41
5,65,1,17
5,66,3,42
5,66,1,18
5,67,3,43
5,67,1,19
5,68,3,44
5,68,1,20
5,69,3,45
5,69,1,21
5,70,3,46
5,70,1,22
5,71,3,47
5,71,1,23
6,72,5,60
6,72,1,12
6,73,5,61
6,73,1,13
6,74,5,62
6,74,1,14
6,75,5,63
6,75,1,15
6,76,5,64
6,76,1,16
6,77,5,65
6,77,1,17
6,78,5,66
6,78,1,18
6,79,5,67
6,79,1,19
6,80,5,68
6,80,1,20
6,81,5,69
6,81,1,21
6,82,5,70
6,82,1,22
6,83,5,71
6,83,1,23
7,84,5,60
7,85,5,61
7,86,5,62
7,87,5,63
7,88,5,64
7,89,5,65
7,90,5,66
7,91,5,67
7,92,5,68
7,93,5,69
7,94,5,70
7,95,5,71
8,96,5,60
8,96,3,36
8,97,5,61
8,97,3,37
8,98,5,62
8,98,3,38
8,99,5,63
8,99,3,39
8,100,5,64
8,100,3,40
8,101,5,65
8,101,3,41
8,102,5,66
8,102,3,42
8,103,5,67
8,103,3,43
8,104,5,68
8,104,3,44
8,105,5,69
8,105,3,45
8,106,5,70
8,106,3,46
8,107,5,71
8,107,3,47
9,108,3,36
9,108,6,72
9,108,8,96
9,109,3,37
9,109,6,73
9,109,8,97
9,110,3,38
9,110,6,74
9,110,8,98
9,111,3,39
9,111,6,75
9,111,8,99
9,112,3,40
9,112,6,76
9,112,8,100
9,113,3,41
9,113,6,77
9,113,8,101
9,114,3,42
9,114,6,78
9,114,8,102
9,115,3,43
9,115,6,79
9,115,8,103
9,116,3,44
9,116,6,80
9,116,8,104
9,117,3,45
9,117,6,81
9,117,8,105
9,118,3,46
9,118,6,82
9,118,8,106
9,119,3,47
9,119,6,83
9,119,8,107
10,120,1,12
10,120,3,36
10,120,6,72
10,120,8,96
10,121,1,13
10,121,3,37
10,121,6,73
10,121,8,97
10,122,1,14
10,122,3,38
10,122,6,74
10,122,8,98
10,123,1,15
10,123,3,39
10,123,6,75
10,123,8,99
10,124,1,16
10,124,3,40
10,124,6,76
10,124,8,100
10,125,1,17
10,125,3,41
10,125,6,77
10,125,8,101
10,126,1,18
10,126,3,42
10,126,6,78
10,126,8,102
10,127,1,19
10,127,3,43
10,127,6,79
10,127,8,103
10,128,1,20
10,128,3,44
10,128,6,80
10,128,8,104
10,129,1,21
10,129,3,45
10,129,6,81
10,129,8,105
10,130,1,22
10,130,3,46
10,130,6,82
10,130,8,106
10,131,1,23
10,131,3,47
10,131,6,83
10,131,8,107
11,132,1,12
11,132,3,36
11,132,6,72
11,132,8,96
11,132,9,108
11,133,1,13
11,133,3,37
11,133,6,73
11,133,8,97
11,133,9,109
11,134,1,14
11,134,3,38
11,134,6,74
11,134,8,98
11,134,9,110
11,135,1,15
11,135,3,39
11,135,6,75
11,135,8,99
11,135,9,111
11,136,1,16
11,136,3,40
11,136,6,76
11,136,8,100
11,136,9,112
11,137,1,17
11,137,3,41
11,137,6,77
11,137,8,101
11,137,9,113
11,138,1,18
11,138,3,42
11,138,6,78
11,138,8,102
11,138,9,114
11,139,1,19
11,139,3,43
11,139,6,79
11,139,8,103
11,139,9,115
11,140,1,20
11,140,3,44
11,140,6,80
11,140,8,104
11,140,9,116
11,141,1,21
11,141,3,45
11,141,6,81
11,141,8,105
11,141,9,117
11,142,1,22
11,142,3,46
11,142,6,82
11,142,8,106
11,142,9,118
11,143,1,23
11,143,3,47
11,143,6,83
11,143,8,107
11,143,9,119
12,144,14,156
12,144,15,162
12,144,23,210
12,144,13,150
12,144,16,168
12,144,17,174
12,144,21,198
12,144,22,204
12,145,14,157
12,145,15,163
12,145,23,211
12,145,13,151
12,145,16,169
12,145,17,175
12,145,21,199
12,145,22,205
12,146,14,158
12,146,15,164
12,146,23,212
12,146,13,152
12,146,16,170
12,146,17,176
12,146,21,200
12,146,22,206
12,147,14,159
12,147,15,165
12,147,23,213
12,147,13,153
12,147,16,171
12,147,17,177
12,147,21,201
12,147,22,207
12,148,14,160
12,148,15,166
12,148,23,214
12,148,13,154
12,148,16,172
12,148,17,178
12,148,21,202
12,148,22,208
12,149,14,161
12,149,15,167
12,149,23,215
12,149,13,155
12,149,16,173
12,149,17,179
12,149,21,203
12,149,22,209
14,156,13,150
14,156,19,186
14,156,22,204
14,157,13,151
14,157,19,187
14,157,22,205
14,158,13,152
14,158,19,188
14,158,22,206
14,159,13,153
14,159,19,189
14,159,22,207
14,160,13,154
14,160,19,190
14,160,22,208
14,161,13,155
14,161,19,191
14,161,22,209
15,162,17,174
15,162,18,180
15,162,22,204
15,162,13,150
15,162,16,168
15,162,20,192
15,163,17,175
15,163,18,181
15,163,22,205
15,163,13,151
15,163,16,169
15,163,20,193
15,164,17,176
15,164,18,182
15,164,22,206
15,164,13,152
15,164,16,170
15,164,20,194
15,165,17,177
15,165,18,183
15,165,22,207
15,165,13,153
15,165,16,171
15,165,20,195
15,166,17,178
15,166,18,184
15,166,22,208
15,166,13,154
15,166,16,172
15,166,20,196
15,167,17,179
15,167,18,185
15,167,22,209
15,167,13,155
15,167,16,173
15,167,20,197
16,168,13,150
16,169,13,151
16,170,13,152
16,171,13,153
16,172,13,154
16,173,13,155
17,174,16,168
17,174,13,150
17,174,20,192
17,175,16,169
17,175,13,151
17,175,20,193
17,176,16,170
17,176,13,152
17,176,20,194
17,177,16,171
17,177,13,153
17,177,20,195
17,178,16,172
17,178,13,154
17,178,20,196
17,179,16,173
17,179,13,155
17,179,20,197
18,180,20,192
18,180,21,198
18,180,19,186
18,181,20,193
18,181,21,199
18,181,19,187
18,182,20,194
18,182,21,200
18,182,19,188
18,183,20,195
18,183,21,201
18,183,19,189
18,184,20,196
18,184,21,202
18,184,19,190
18,185,20,197
18,185,21,203
18,185,19,191
19,186,16,168
19,187,16,169
19,188,16,170
19,189,16,171
19,190,16,172
19,191,16,173
20,192,19,186
20,192,13,150
20,192,16,168
20,193,19,187
20,193,13,151
20,193,16,169
20,194,19,188
20,194,13,152
20,194,16,170
20,195,19,189
