Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,302,3022,30000,30000
0,1,30000,33000,302,3022,60000,30000
0,2,60000,63000,302,3022,90000,30000
0,3,90000,93000,302,3022,120000,30000
0,4,120000,123000,302,3022,150000,30000
0,5,150000,153000,302,3022,180000,30000
0,6,180000,183000,302,3022,210000,30000
0,7,210000,213000,302,3022,240000,30000
0,8,240000,243000,302,3022,270000,30000
0,9,270000,273000,302,3022,300000,30000
0,10,300000,303000,302,3022,330000,30000
0,11,330000,333000,302,3022,360000,30000
0,12,360000,363000,302,3022,390000,30000
0,13,390000,393000,302,3022,420000,30000
0,14,420000,423000,302,3022,450000,30000
0,15,450000,453000,302,3022,480000,30000
0,16,480000,483000,302,3022,510000,30000
0,17,510000,513000,302,3022,540000,30000
0,18,540000,543000,302,3022,570000,30000
0,19,570000,573000,302,3022,600000,30000
1,20,0,3000,456,4557,30000,30000
1,21,30000,33000,456,4557,60000,30000
1,22,60000,63000,456,4557,90000,30000
1,23,90000,93000,456,4557,120000,30000
1,24,120000,123000,456,4557,150000,30000
1,25,150000,153000,456,4557,180000,30000
1,26,180000,183000,456,4557,210000,30000
1,27,210000,213000,456,4557,240000,30000
1,28,240000,243000,456,4557,270000,30000
1,29,270000,273000,456,4557,300000,30000
1,30,300000,303000,456,4557,330000,30000
1,31,330000,333000,456,4557,360000,30000
1,32,360000,363000,456,4557,390000,30000
1,33,390000,393000,456,4557,420000,30000
1,34,420000,423000,456,4557,450000,30000
1,35,450000,453000,456,4557,480000,30000
1,36,480000,483000,456,4557,510000,30000
1,37,510000,513000,456,4557,540000,30000
1,38,540000,543000,456,4557,570000,30000
1,39,570000,573000,456,4557,600000,30000
2,40,0,3000,59,595,30000,30000
2,41,30000,33000,59,595,60000,30000
2,42,60000,63000,59,595,90000,30000
2,43,90000,93000,59,595,120000,30000
2,44,120000,123000,59,595,150000,30000
2,45,150000,153000,59,595,180000,30000
2,46,180000,183000,59,595,210000,30000
2,47,210000,213000,59,595,240000,30000
2,48,240000,243000,59,595,270000,30000
2,49,270000,273000,59,595,300000,30000
2,50,300000,303000,59,595,330000,30000
2,51,330000,333000,59,595,360000,30000
2,52,360000,363000,59,595,390000,30000
2,53,390000,393000,59,595,420000,30000
2,54,420000,423000,59,595,450000,30000
2,55,450000,453000,59,595,480000,30000
2,56,480000,483000,59,595,510000,30000
2,57,510000,513000,59,595,540000,30000
2,58,540000,543000,59,595,570000,30000
2,59,570000,573000,59,595,600000,30000
3,60,0,3000,239,2392,30000,30000
3,61,30000,33000,239,2392,60000,30000
3,62,60000,63000,239,2392,90000,30000
3,63,90000,93000,239,2392,120000,30000
3,64,120000,123000,239,2392,150000,30000
3,65,150000,153000,239,2392,180000,30000
3,66,180000,183000,239,2392,210000,30000
3,67,210000,213000,239,2392,240000,30000
3,68,240000,243000,239,2392,270000,30000
3,69,270000,273000,239,2392,300000,30000
3,70,300000,303000,239,2392,330000,30000
3,71,330000,333000,239,2392,360000,30000
3,72,360000,363000,239,2392,390000,30000
3,73,390000,393000,239,2392,420000,30000
3,74,420000,423000,239,2392,450000,30000
3,75,450000,453000,239,2392,480000,30000
3,76,480000,483000,239,2392,510000,30000
3,77,510000,513000,239,2392,540000,30000
3,78,540000,543000,239,2392,570000,30000
3,79,570000,573000,239,2392,600000,30000
4,80,0,3000,123,1227,30000,30000
4,81,30000,33000,123,1227,60000,30000
4,82,60000,63000,123,1227,90000,30000
4,83,90000,93000,123,1227,120000,30000
4,84,120000,123000,123,1227,150000,30000
4,85,150000,153000,123,1227,180000,30000
4,86,180000,183000,123,1227,210000,30000
4,87,210000,213000,123,1227,240000,30000
4,88,240000,243000,123,1227,270000,30000
4,89,270000,273000,123,1227,300000,30000
4,90,300000,303000,123,1227,330000,30000
4,91,330000,333000,123,1227,360000,30000
4,92,360000,363000,123,1227,390000,30000
4,93,390000,393000,123,1227,420000,30000
4,94,420000,423000,123,1227,450000,30000
4,95,450000,453000,123,1227,480000,30000
4,96,480000,483000,123,1227,510000,30000
4,97,510000,513000,123,1227,540000,30000
4,98,540000,543000,123,1227,570000,30000
4,99,570000,573000,123,1227,600000,30000
5,100,0,3000,4,37,30000,30000
5,101,30000,33000,4,37,60000,30000
5,102,60000,63000,4,37,90000,30000
5,103,90000,93000,4,37,120000,30000
5,104,120000,123000,4,37,150000,30000
5,105,150000,153000,4,37,180000,30000
5,106,180000,183000,4,37,210000,30000
5,107,210000,213000,4,37,240000,30000
5,108,240000,243000,4,37,270000,30000
5,109,270000,273000,4,37,300000,30000
5,110,300000,303000,4,37,330000,30000
5,111,330000,333000,4,37,360000,30000
5,112,360000,363000,4,37,390000,30000
5,113,390000,393000,4,37,420000,30000
5,114,420000,423000,4,37,450000,30000
5,115,450000,453000,4,37,480000,30000
5,116,480000,483000,4,37,510000,30000
5,117,510000,513000,4,37,540000,30000
5,118,540000,543000,4,37,570000,30000
5,119,570000,573000,4,37,600000,30000
6,120,0,3000,221,2214,30000,30000
6,121,30000,33000,221,2214,60000,30000
6,122,60000,63000,221,2214,90000,30000
6,123,90000,93000,221,2214,120000,30000
6,124,120000,123000,221,2214,150000,30000
6,125,150000,153000,221,2214,180000,30000
6,126,180000,183000,221,2214,210000,30000
6,127,210000,213000,221,2214,240000,30000
6,128,240000,243000,221,2214,270000,30000
6,129,270000,273000,221,2214,300000,30000
6,130,300000,303000,221,2214,330000,30000
6,131,330000,333000,221,2214,360000,30000
6,132,360000,363000,221,2214,390000,30000
6,133,390000,393000,221,2214,420000,30000
6,134,420000,423000,221,2214,450000,30000
6,135,450000,453000,221,2214,480000,30000
6,136,480000,483000,221,2214,510000,30000
6,137,510000,513000,221,2214,540000,30000
6,138,540000,543000,221,2214,570000,30000
6,139,570000,573000,221,2214,600000,30000
7,140,0,3000,222,2219,30000,30000
7,141,30000,33000,222,2219,60000,30000
7,142,60000,63000,222,2219,90000,30000
7,143,90000,93000,222,2219,120000,30000
7,144,120000,123000,222,2219,150000,30000
7,145,150000,153000,222,2219,180000,30000
7,146,180000,183000,222,2219,210000,30000
7,147,210000,213000,222,2219,240000,30000
7,148,240000,243000,222,2219,270000,30000
7,149,270000,273000,222,2219,300000,30000
7,150,300000,303000,222,2219,330000,30000
7,151,330000,333000,222,2219,360000,30000
7,152,360000,363000,222,2219,390000,30000
7,153,390000,393000,222,2219,420000,30000
7,154,420000,423000,222,2219,450000,30000
7,155,450000,453000,222,2219,480000,30000
7,156,480000,483000,222,2219,510000,30000
7,157,510000,513000,222,2219,540000,30000
7,158,540000,543000,222,2219,570000,30000
7,159,570000,573000,222,2219,600000,30000
8,160,0,3000,258,2577,30000,30000
8,161,30000,33000,258,2577,60000,30000
8,162,60000,63000,258,2577,90000,30000
8,163,90000,93000,258,2577,120000,30000
8,164,120000,123000,258,2577,150000,30000
8,165,150000,153000,258,2577,180000,30000
8,166,180000,183000,258,2577,210000,30000
8,167,210000,213000,258,2577,240000,30000
8,168,240000,243000,258,2577,270000,30000
8,169,270000,273000,258,2577,300000,30000
8,170,300000,303000,258,2577,330000,30000
8,171,330000,333000,258,2577,360000,30000
8,172,360000,363000,258,2577,390000,30000
8,173,390000,393000,258,2577,420000,30000
8,174,420000,423000,258,2577,450000,30000
8,175,450000,453000,258,2577,480000,30000
8,176,480000,483000,258,2577,510000,30000
8,177,510000,513000,258,2577,540000,30000
8,178,540000,543000,258,2577,570000,30000
8,179,570000,573000,258,2577,600000,30000
9,180,0,3000,176,1758,30000,30000
9,181,30000,33000,176,1758,60000,30000
9,182,60000,63000,176,1758,90000,30000
9,183,90000,93000,176,1758,120000,30000
9,184,120000,123000,176,1758,150000,30000
9,185,150000,153000,176,1758,180000,30000
9,186,180000,183000,176,1758,210000,30000
9,187,210000,213000,176,1758,240000,30000
9,188,240000,243000,176,1758,270000,30000
9,189,270000,273000,176,1758,300000,30000
9,190,300000,303000,176,1758,330000,30000
9,191,330000,333000,176,1758,360000,30000
9,192,360000,363000,176,1758,390000,30000
9,193,390000,393000,176,1758,420000,30000
9,194,420000,423000,176,1758,450000,30000
9,195,450000,453000,176,1758,480000,30000
9,196,480000,483000,176,1758,510000,30000
9,197,510000,513000,176,1758,540000,30000
9,198,540000,543000,176,1758,570000,30000
9,199,570000,573000,176,1758,600000,30000
10,200,0,3000,86,860,30000,30000
10,201,30000,33000,86,860,60000,30000
10,202,60000,63000,86,860,90000,30000
10,203,90000,93000,86,860,120000,30000
10,204,120000,123000,86,860,150000,30000
10,205,150000,153000,86,860,180000,30000
10,206,180000,183000,86,860,210000,30000
10,207,210000,213000,86,860,240000,30000
10,208,240000,243000,86,860,270000,30000
10,209,270000,273000,86,860,300000,30000
10,210,300000,303000,86,860,330000,30000
10,211,330000,333000,86,860,360000,30000
10,212,360000,363000,86,860,390000,30000
10,213,390000,393000,86,860,420000,30000
10,214,420000,423000,86,860,450000,30000
10,215,450000,453000,86,860,480000,30000
10,216,480000,483000,86,860,510000,30000
10,217,510000,513000,86,860,540000,30000
10,218,540000,543000,86,860,570000,30000
10,219,570000,573000,86,860,600000,30000
11,220,0,3000,385,3851,30000,30000
11,221,30000,33000,385,3851,60000,30000
11,222,60000,63000,385,3851,90000,30000
11,223,90000,93000,385,3851,120000,30000
11,224,120000,123000,385,3851,150000,30000
11,225,150000,153000,385,3851,180000,30000
11,226,180000,183000,385,3851,210000,30000
11,227,210000,213000,385,3851,240000,30000
11,228,240000,243000,385,3851,270000,30000
11,229,270000,273000,385,3851,300000,30000
11,230,300000,303000,385,3851,330000,30000
11,231,330000,333000,385,3851,360000,30000
11,232,360000,363000,385,3851,390000,30000
11,233,390000,393000,385,3851,420000,30000
11,234,420000,423000,385,3851,450000,30000
11,235,450000,453000,385,3851,480000,30000
11,236,480000,483000,385,3851,510000,30000
11,237,510000,513000,385,3851,540000,30000
11,238,540000,543000,385,3851,570000,30000
11,239,570000,573000,385,3851,600000,30000
12,240,0,4000,334,3341,40000,40000
12,241,40000,44000,334,3341,80000,40000
12,242,80000,84000,334,3341,120000,40000
12,243,120000,124000,334,3341,160000,40000
12,244,160000,164000,334,3341,200000,40000
12,245,200000,204000,334,3341,240000,40000
12,246,240000,244000,334,3341,280000,40000
12,247,280000,284000,334,3341,320000,40000
12,248,320000,324000,334,3341,360000,40000
12,249,360000,364000,334,3341,400000,40000
12,250,400000,404000,334,3341,440000,40000
12,251,440000,444000,334,3341,480000,40000
12,252,480000,484000,334,3341,520000,40000
12,253,520000,524000,334,3341,560000,40000
12,254,560000,564000,334,3341,600000,40000
13,255,0,4000,448,4484,40000,40000
13,256,40000,44000,448,4484,80000,40000
13,257,80000,84000,448,4484,120000,40000
13,258,120000,124000,448,4484,160000,40000
13,259,160000,164000,448,4484,200000,40000
13,260,200000,204000,448,4484,240000,40000
13,261,240000,244000,448,4484,280000,40000
13,262,280000,284000,448,4484,320000,40000
13,263,320000,324000,448,4484,360000,40000
13,264,360000,364000,448,4484,400000,40000
13,265,400000,404000,448,4484,440000,40000
13,266,440000,444000,448,4484,480000,40000
13,267,480000,484000,448,4484,520000,40000
13,268,520000,524000,448,4484,560000,40000
13,269,560000,564000,448,4484,600000,40000
14,270,0,4000,90,902,40000,40000
14,271,40000,44000,90,902,80000,40000
14,272,80000,84000,90,902,120000,40000
14,273,120000,124000,90,902,160000,40000
14,274,160000,164000,90,902,200000,40000
14,275,200000,204000,90,902,240000,40000
14,276,240000,244000,90,902,280000,40000
14,277,280000,284000,90,902,320000,40000
14,278,320000,324000,90,902,360000,40000
14,279,360000,364000,90,902,400000,40000
14,280,400000,404000,90,902,440000,40000
14,281,440000,444000,90,902,480000,40000
14,282,480000,484000,90,902,520000,40000
14,283,520000,524000,90,902,560000,40000
14,284,560000,564000,90,902,600000,40000
15,285,0,4000,332,3321,40000,40000
15,286,40000,44000,332,3321,80000,40000
15,287,80000,84000,332,3321,120000,40000
15,288,120000,124000,332,3321,160000,40000
15,289,160000,164000,332,3321,200000,40000
15,290,200000,204000,332,3321,240000,40000
15,291,240000,244000,332,3321,280000,40000
15,292,280000,284000,332,3321,320000,40000
15,293,320000,324000,332,3321,360000,40000
15,294,360000,364000,332,3321,400000,40000
15,295,400000,404000,332,3321,440000,40000
15,296,440000,444000,332,3321,480000,40000
15,297,480000,484000,332,3321,520000,40000
15,298,520000,524000,332,3321,560000,40000
15,299,560000,564000,332,3321,600000,40000
16,300,0,4000,389,3885,40000,40000
16,301,40000,44000,389,3885,80000,40000
16,302,80000,84000,389,3885,120000,40000
16,303,120000,124000,389,3885,160000,40000
16,304,160000,164000,389,3885,200000,40000
16,305,200000,204000,389,3885,240000,40000
16,306,240000,244000,389,3885,280000,40000
16,307,280000,284000,389,3885,320000,40000
16,308,320000,324000,389,3885,360000,40000
16,309,360000,364000,389,3885,400000,40000
16,310,400000,404000,389,3885,440000,40000
16,311,440000,444000,389,3885,480000,40000
16,312,480000,484000,389,3885,520000,40000
16,313,520000,524000,389,3885,560000,40000
16,314,560000,564000,389,3885,600000,40000
17,315,0,4000,333,3328,40000,40000
17,316,40000,44000,333,3328,80000,40000
17,317,80000,84000,333,3328,120000,40000
17,318,120000,124000,333,3328,160000,40000
17,319,160000,164000,333,3328,200000,40000
17,320,200000,204000,333,3328,240000,40000
17,321,240000,244000,333,3328,280000,40000
17,322,280000,284000,333,3328,320000,40000
17,323,320000,324000,333,3328,360000,40000
17,324,360000,364000,333,3328,400000,40000
17,325,400000,404000,333,3328,440000,40000
17,326,440000,444000,333,3328,480000,40000
17,327,480000,484000,333,3328,520000,40000
17,328,520000,524000,333,3328,560000,40000
17,329,560000,564000,333,3328,600000,40000
18,330,0,4000,277,2769,40000,40000
18,331,40000,44000,277,2769,80000,40000
18,332,80000,84000,277,2769,120000,40000
18,333,120000,124000,277,2769,160000,40000
18,334,160000,164000,277,2769,200000,40000
18,335,200000,204000,277,2769,240000,40000
18,336,240000,244000,277,2769,280000,40000
18,337,280000,284000,277,2769,320000,40000
18,338,320000,324000,277,2769,360000,40000
18,339,360000,364000,277,2769,400000,40000
18,340,400000,404000,277,2769,440000,40000
18,341,440000,444000,277,2769,480000,40000
18,342,480000,484000,277,2769,520000,40000
18,343,520000,524000,277,2769,560000,40000
18,344,560000,564000,277,2769,600000,40000
19,345,0,4000,470,4697,40000,40000
19,346,40000,44000,470,4697,80000,40000
19,347,80000,84000,470,4697,120000,40000
19,348,120000,124000,470,4697,160000,40000
19,349,160000,164000,470,4697,200000,40000
19,350,200000,204000,470,4697,240000,40000
19,351,240000,244000,470,4697,280000,40000
19,352,280000,284000,470,4697,320000,40000
19,353,320000,324000,470,4697,360000,40000
19,354,360000,364000,470,4697,400000,40000
19,355,400000,404000,470,4697,440000,40000
19,356,440000,444000,470,4697,480000,40000
19,357,480000,484000,470,4697,520000,40000
19,358,520000,524000,470,4697,560000,40000
19,359,560000,564000,470,4697,600000,40000
20,360,0,4000,224,2236,40000,40000
20,361,40000,44000,224,2236,80000,40000
20,362,80000,84000,224,2236,120000,40000
20,363,120000,124000,224,2236,160000,40000
20,364,160000,164000,224,2236,200000,40000
20,365,200000,204000,224,2236,240000,40000
20,366,240000,244000,224,2236,280000,40000
20,367,280000,284000,224,2236,320000,40000
20,368,320000,324000,224,2236,360000,40000
20,369,360000,364000,224,2236,400000,40000
20,370,400000,404000,224,2236,440000,40000
20,371,440000,444000,224,2236,480000,40000
20,372,480000,484000,224,2236,520000,40000
20,373,520000,524000,224,2236,560000,40000
20,374,560000,564000,224,2236,600000,40000
21,375,0,4000,131,1311,40000,40000
21,376,40000,44000,131,1311,80000,40000
21,377,80000,84000,131,1311,120000,40000
21,378,120000,124000,131,1311,160000,40000
21,379,160000,164000,131,1311,200000,40000
21,380,200000,204000,131,1311,240000,40000
21,381,240000,244000,131,1311,280000,40000
21,382,280000,284000,131,1311,320000,40000
