From TID,From JID,To TID,To JID
0,0,2,40
0,0,10,200
0,0,11,220
0,0,1,20
0,1,2,41
0,1,10,201
0,1,11,221
0,1,1,21
0,2,2,42
0,2,10,202
0,2,11,222
0,2,1,22
0,3,2,43
0,3,10,203
0,3,11,223
0,3,1,23
0,4,2,44
0,4,10,204
0,4,11,224
0,4,1,24
0,5,2,45
0,5,10,205
0,5,11,225
0,5,1,25
0,6,2,46
0,6,10,206
0,6,11,226
0,6,1,26
0,7,2,47
0,7,10,207
0,7,11,227
0,7,1,27
0,8,2,48
0,8,10,208
0,8,11,228
0,8,1,28
0,9,2,49
0,9,10,209
0,9,11,229
0,9,1,29
0,10,2,50
0,10,10,210
0,10,11,230
0,10,1,30
0,11,2,51
0,11,10,211
0,11,11,231
0,11,1,31
0,12,2,52
0,12,10,212
0,12,11,232
0,12,1,32
0,13,2,53
0,13,10,213
0,13,11,233
0,13,1,33
0,14,2,54
0,14,10,214
0,14,11,234
0,14,1,34
0,15,2,55
0,15,10,215
0,15,11,235
0,15,1,35
0,16,2,56
0,16,10,216
0,16,11,236
0,16,1,36
0,17,2,57
0,17,10,217
0,17,11,237
0,17,1,37
0,18,2,58
0,18,10,218
0,18,11,238
0,18,1,38
0,19,2,59
0,19,10,219
0,19,11,239
0,19,1,39
2,40,4,80
2,40,8,160
2,40,9,180
2,40,1,20
2,40,3,60
2,40,6,120
2,40,7,140
2,41,4,81
2,41,8,161
2,41,9,181
2,41,1,21
2,41,3,61
2,41,6,121
2,41,7,141
2,42,4,82
2,42,8,162
2,42,9,182
2,42,1,22
2,42,3,62
2,42,6,122
2,42,7,142
2,43,4,83
2,43,8,163
2,43,9,183
2,43,1,23
2,43,3,63
2,43,6,123
2,43,7,143
2,44,4,84
2,44,8,164
2,44,9,184
2,44,1,24
2,44,3,64
2,44,6,124
2,44,7,144
2,45,4,85
2,45,8,165
2,45,9,185
2,45,1,25
2,45,3,65
2,45,6,125
2,45,7,145
2,46,4,86
2,46,8,166
2,46,9,186
2,46,1,26
2,46,3,66
2,46,6,126
2,46,7,146
2,47,4,87
2,47,8,167
2,47,9,187
2,47,1,27
2,47,3,67
2,47,6,127
2,47,7,147
2,48,4,88
2,48,8,168
2,48,9,188
2,48,1,28
2,48,3,68
2,48,6,128
2,48,7,148
2,49,4,89
2,49,8,169
2,49,9,189
2,49,1,29
2,49,3,69
2,49,6,129
2,49,7,149
2,50,4,90
2,50,8,170
2,50,9,190
2,50,1,30
2,50,3,70
2,50,6,130
2,50,7,150
2,51,4,91
2,51,8,171
2,51,9,191
2,51,1,31
2,51,3,71
2,51,6,131
2,51,7,151
2,52,4,92
2,52,8,172
2,52,9,192
2,52,1,32
2,52,3,72
2,52,6,132
2,52,7,152
2,53,4,93
2,53,8,173
2,53,9,193
2,53,1,33
2,53,3,73
2,53,6,133
2,53,7,153
2,54,4,94
2,54,8,174
2,54,9,194
2,54,1,34
2,54,3,74
2,54,6,134
2,54,7,154
2,55,4,95
2,55,8,175
2,55,9,195
2,55,1,35
2,55,3,75
2,55,6,135
2,55,7,155
2,56,4,96
2,56,8,176
2,56,9,196
2,56,1,36
2,56,3,76
2,56,6,136
2,56,7,156
2,57,4,97
2,57,8,177
2,57,9,197
2,57,1,37
2,57,3,77
2,57,6,137
2,57,7,157
2,58,4,98
2,58,8,178
2,58,9,198
2,58,1,38
2,58,3,78
2,58,6,138
2,58,7,158
2,59,4,99
2,59,8,179
2,59,9,199
2,59,1,39
2,59,3,79
2,59,6,139
2,59,7,159
3,60,1,20
3,61,1,21
3,62,1,22
3,63,1,23
3,64,1,24
3,65,1,25
3,66,1,26
3,67,1,27
3,68,1,28
3,69,1,29
3,70,1,30
3,71,1,31
3,72,1,32
3,73,1,33
3,74,1,34
3,75,1,35
3,76,1,36
3,77,1,37
3,78,1,38
3,79,1,39
4,80,6,120
4,80,7,140
4,80,1,20
4,81,6,121
4,81,7,141
4,81,1,21
4,82,6,122
4,82,7,142
4,82,1,22
4,83,6,123
4,83,7,143
4,83,1,23
4,84,6,124
4,84,7,144
4,84,1,24
4,85,6,125
4,85,7,145
4,85,1,25
4,86,6,126
4,86,7,146
4,86,1,26
4,87,6,127
4,87,7,147
4,87,1,27
4,88,6,128
4,88,7,148
4,88,1,28
4,89,6,129
4,89,7,149
4,89,1,29
4,90,6,130
4,90,7,150
4,90,1,30
4,91,6,131
4,91,7,151
4,91,1,31
4,92,6,132
4,92,7,152
4,92,1,32
4,93,6,133
4,93,7,153
4,93,1,33
4,94,6,134
4,94,7,154
4,94,1,34
4,95,6,135
4,95,7,155
4,95,1,35
4,96,6,136
4,96,7,156
