From TID,From JID,To TID,To JID
0,0,2,630
0,0,6,1890
0,0,7,2205
0,0,3,945
0,0,4,1260
0,0,5,1575
0,1,2,631
0,1,6,1891
0,1,7,2206
0,1,3,946
0,1,4,1261
0,1,5,1576
0,2,2,632
0,2,6,1892
0,2,7,2207
0,2,3,947
0,2,4,1262
0,2,5,1577
0,3,2,633
0,3,6,1893
0,3,7,2208
0,3,3,948
0,3,4,1263
0,3,5,1578
0,4,2,634
0,4,6,1894
0,4,7,2209
0,4,3,949
0,4,4,1264
0,4,5,1579
0,5,2,635
0,5,6,1895
0,5,7,2210
0,5,3,950
0,5,4,1265
0,5,5,1580
0,6,2,636
0,6,6,1896
0,6,7,2211
0,6,3,951
0,6,4,1266
0,6,5,1581
0,7,2,637
0,7,6,1897
0,7,7,2212
0,7,3,952
0,7,4,1267
0,7,5,1582
0,8,2,638
0,8,6,1898
0,8,7,2213
0,8,3,953
0,8,4,1268
0,8,5,1583
0,9,2,639
0,9,6,1899
0,9,7,2214
0,9,3,954
0,9,4,1269
0,9,5,1584
0,10,2,640
0,10,6,1900
0,10,7,2215
0,10,3,955
0,10,4,1270
0,10,5,1585
0,11,2,641
0,11,6,1901
0,11,7,2216
0,11,3,956
0,11,4,1271
0,11,5,1586
0,12,2,642
0,12,6,1902
0,12,7,2217
0,12,3,957
0,12,4,1272
0,12,5,1587
0,13,2,643
0,13,6,1903
0,13,7,2218
0,13,3,958
0,13,4,1273
0,13,5,1588
0,14,2,644
0,14,6,1904
0,14,7,2219
0,14,3,959
0,14,4,1274
0,14,5,1589
0,15,2,645
0,15,6,1905
0,15,7,2220
0,15,3,960
0,15,4,1275
0,15,5,1590
0,16,2,646
0,16,6,1906
0,16,7,2221
0,16,3,961
0,16,4,1276
0,16,5,1591
0,17,2,647
0,17,6,1907
0,17,7,2222
0,17,3,962
0,17,4,1277
0,17,5,1592
0,18,2,648
0,18,6,1908
0,18,7,2223
0,18,3,963
0,18,4,1278
0,18,5,1593
0,19,2,649
0,19,6,1909
0,19,7,2224
0,19,3,964
0,19,4,1279
0,19,5,1594
0,20,2,650
0,20,6,1910
0,20,7,2225
0,20,3,965
0,20,4,1280
0,20,5,1595
0,21,2,651
0,21,6,1911
0,21,7,2226
0,21,3,966
0,21,4,1281
0,21,5,1596
0,22,2,652
0,22,6,1912
0,22,7,2227
