From TID,From JID,To TID,To JID
0,0,2,220
0,0,6,660
0,0,13,1430
0,0,1,110
0,0,5,550
0,0,8,880
0,0,10,1100
0,1,2,221
0,1,6,661
0,1,13,1431
0,1,1,111
0,1,5,551
0,1,8,881
0,1,10,1101
0,2,2,222
0,2,6,662
0,2,13,1432
0,2,1,112
0,2,5,552
0,2,8,882
0,2,10,1102
0,3,2,223
0,3,6,663
0,3,13,1433
0,3,1,113
0,3,5,553
0,3,8,883
0,3,10,1103
0,4,2,224
0,4,6,664
0,4,13,1434
0,4,1,114
0,4,5,554
0,4,8,884
0,4,10,1104
0,5,2,225
0,5,6,665
0,5,13,1435
0,5,1,115
0,5,5,555
0,5,8,885
0,5,10,1105
0,6,2,226
0,6,6,666
0,6,13,1436
0,6,1,116
0,6,5,556
0,6,8,886
0,6,10,1106
0,7,2,227
0,7,6,667
0,7,13,1437
0,7,1,117
0,7,5,557
0,7,8,887
0,7,10,1107
0,8,2,228
0,8,6,668
0,8,13,1438
0,8,1,118
0,8,5,558
0,8,8,888
0,8,10,1108
0,9,2,229
0,9,6,669
0,9,13,1439
0,9,1,119
0,9,5,559
0,9,8,889
0,9,10,1109
0,10,2,230
0,10,6,670
0,10,13,1440
0,10,1,120
0,10,5,560
0,10,8,890
0,10,10,1110
0,11,2,231
0,11,6,671
0,11,13,1441
0,11,1,121
0,11,5,561
0,11,8,891
0,11,10,1111
0,12,2,232
0,12,6,672
0,12,13,1442
0,12,1,122
0,12,5,562
0,12,8,892
0,12,10,1112
0,13,2,233
0,13,6,673
0,13,13,1443
0,13,1,123
0,13,5,563
0,13,8,893
0,13,10,1113
0,14,2,234
0,14,6,674
0,14,13,1444
0,14,1,124
0,14,5,564
0,14,8,894
0,14,10,1114
0,15,2,235
0,15,6,675
0,15,13,1445
0,15,1,125
0,15,5,565
0,15,8,895
0,15,10,1115
0,16,2,236
0,16,6,676
0,16,13,1446
0,16,1,126
0,16,5,566
0,16,8,896
0,16,10,1116
0,17,2,237
0,17,6,677
0,17,13,1447
0,17,1,127
0,17,5,567
0,17,8,897
0,17,10,1117
0,18,2,238
0,18,6,678
0,18,13,1448
0,18,1,128
0,18,5,568
0,18,8,898
0,18,10,1118
0,19,2,239
0,19,6,679
0,19,13,1449
0,19,1,129
0,19,5,569
0,19,8,899
0,19,10,1119
0,20,2,240
0,20,6,680
0,20,13,1450
0,20,1,130
0,20,5,570
0,20,8,900
0,20,10,1120
0,21,2,241
0,21,6,681
0,21,13,1451
0,21,1,131
0,21,5,571
0,21,8,901
0,21,10,1121
0,22,2,242
0,22,6,682
0,22,13,1452
0,22,1,132
0,22,5,572
0,22,8,902
0,22,10,1122
0,23,2,243
0,23,6,683
0,23,13,1453
0,23,1,133
0,23,5,573
0,23,8,903
0,23,10,1123
0,24,2,244
0,24,6,684
0,24,13,1454
0,24,1,134
0,24,5,574
0,24,8,904
0,24,10,1124
0,25,2,245
0,25,6,685
0,25,13,1455
0,25,1,135
0,25,5,575
0,25,8,905
0,25,10,1125
0,26,2,246
0,26,6,686
0,26,13,1456
0,26,1,136
0,26,5,576
0,26,8,906
0,26,10,1126
0,27,2,247
0,27,6,687
0,27,13,1457
0,27,1,137
0,27,5,577
0,27,8,907
