Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,155,1548,10000,10000
0,1,10000,11000,155,1548,20000,10000
0,2,20000,21000,155,1548,30000,10000
0,3,30000,31000,155,1548,40000,10000
0,4,40000,41000,155,1548,50000,10000
0,5,50000,51000,155,1548,60000,10000
0,6,60000,61000,155,1548,70000,10000
0,7,70000,71000,155,1548,80000,10000
0,8,80000,81000,155,1548,90000,10000
0,9,90000,91000,155,1548,100000,10000
0,10,100000,101000,155,1548,110000,10000
0,11,110000,111000,155,1548,120000,10000
0,12,120000,121000,155,1548,130000,10000
0,13,130000,131000,155,1548,140000,10000
0,14,140000,141000,155,1548,150000,10000
0,15,150000,151000,155,1548,160000,10000
0,16,160000,161000,155,1548,170000,10000
0,17,170000,171000,155,1548,180000,10000
0,18,180000,181000,155,1548,190000,10000
0,19,190000,191000,155,1548,200000,10000
0,20,200000,201000,155,1548,210000,10000
0,21,210000,211000,155,1548,220000,10000
0,22,220000,221000,155,1548,230000,10000
0,23,230000,231000,155,1548,240000,10000
0,24,240000,241000,155,1548,250000,10000
0,25,250000,251000,155,1548,260000,10000
0,26,260000,261000,155,1548,270000,10000
0,27,270000,271000,155,1548,280000,10000
0,28,280000,281000,155,1548,290000,10000
0,29,290000,291000,155,1548,300000,10000
0,30,300000,301000,155,1548,310000,10000
0,31,310000,311000,155,1548,320000,10000
0,32,320000,321000,155,1548,330000,10000
0,33,330000,331000,155,1548,340000,10000
0,34,340000,341000,155,1548,350000,10000
0,35,350000,351000,155,1548,360000,10000
1,36,0,1000,160,1601,10000,10000
1,37,10000,11000,160,1601,20000,10000
1,38,20000,21000,160,1601,30000,10000
1,39,30000,31000,160,1601,40000,10000
1,40,40000,41000,160,1601,50000,10000
1,41,50000,51000,160,1601,60000,10000
1,42,60000,61000,160,1601,70000,10000
1,43,70000,71000,160,1601,80000,10000
1,44,80000,81000,160,1601,90000,10000
1,45,90000,91000,160,1601,100000,10000
1,46,100000,101000,160,1601,110000,10000
1,47,110000,111000,160,1601,120000,10000
1,48,120000,121000,160,1601,130000,10000
1,49,130000,131000,160,1601,140000,10000
1,50,140000,141000,160,1601,150000,10000
1,51,150000,151000,160,1601,160000,10000
1,52,160000,161000,160,1601,170000,10000
1,53,170000,171000,160,1601,180000,10000
1,54,180000,181000,160,1601,190000,10000
1,55,190000,191000,160,1601,200000,10000
1,56,200000,201000,160,1601,210000,10000
1,57,210000,211000,160,1601,220000,10000
1,58,220000,221000,160,1601,230000,10000
1,59,230000,231000,160,1601,240000,10000
1,60,240000,241000,160,1601,250000,10000
1,61,250000,251000,160,1601,260000,10000
1,62,260000,261000,160,1601,270000,10000
1,63,270000,271000,160,1601,280000,10000
1,64,280000,281000,160,1601,290000,10000
1,65,290000,291000,160,1601,300000,10000
1,66,300000,301000,160,1601,310000,10000
1,67,310000,311000,160,1601,320000,10000
1,68,320000,321000,160,1601,330000,10000
1,69,330000,331000,160,1601,340000,10000
1,70,340000,341000,160,1601,350000,10000
