From TID,From JID,To TID,To JID
0,0,2,90
0,0,6,270
0,0,7,315
0,0,1,45
0,0,4,180
0,1,2,91
0,1,6,271
0,1,7,316
0,1,1,46
0,1,4,181
0,2,2,92
0,2,6,272
0,2,7,317
0,2,1,47
0,2,4,182
0,3,2,93
0,3,6,273
0,3,7,318
0,3,1,48
0,3,4,183
0,4,2,94
0,4,6,274
0,4,7,319
0,4,1,49
0,4,4,184
0,5,2,95
0,5,6,275
0,5,7,320
0,5,1,50
0,5,4,185
0,6,2,96
0,6,6,276
0,6,7,321
0,6,1,51
0,6,4,186
0,7,2,97
0,7,6,277
0,7,7,322
0,7,1,52
0,7,4,187
0,8,2,98
0,8,6,278
0,8,7,323
0,8,1,53
0,8,4,188
0,9,2,99
0,9,6,279
0,9,7,324
0,9,1,54
0,9,4,189
0,10,2,100
0,10,6,280
0,10,7,325
0,10,1,55
0,10,4,190
0,11,2,101
0,11,6,281
0,11,7,326
0,11,1,56
0,11,4,191
0,12,2,102
0,12,6,282
0,12,7,327
0,12,1,57
0,12,4,192
0,13,2,103
0,13,6,283
0,13,7,328
0,13,1,58
0,13,4,193
0,14,2,104
0,14,6,284
0,14,7,329
0,14,1,59
0,14,4,194
0,15,2,105
0,15,6,285
0,15,7,330
0,15,1,60
0,15,4,195
0,16,2,106
0,16,6,286
0,16,7,331
0,16,1,61
0,16,4,196
0,17,2,107
0,17,6,287
0,17,7,332
0,17,1,62
0,17,4,197
0,18,2,108
0,18,6,288
0,18,7,333
0,18,1,63
0,18,4,198
0,19,2,109
0,19,6,289
0,19,7,334
0,19,1,64
0,19,4,199
0,20,2,110
0,20,6,290
0,20,7,335
0,20,1,65
0,20,4,200
0,21,2,111
0,21,6,291
0,21,7,336
0,21,1,66
0,21,4,201
0,22,2,112
0,22,6,292
0,22,7,337
0,22,1,67
0,22,4,202
0,23,2,113
0,23,6,293
0,23,7,338
0,23,1,68
0,23,4,203
0,24,2,114
0,24,6,294
0,24,7,339
0,24,1,69
0,24,4,204
0,25,2,115
0,25,6,295
0,25,7,340
0,25,1,70
0,25,4,205
0,26,2,116
0,26,6,296
0,26,7,341
0,26,1,71
0,26,4,206
0,27,2,117
0,27,6,297
0,27,7,342
0,27,1,72
0,27,4,207
0,28,2,118
0,28,6,298
0,28,7,343
0,28,1,73
0,28,4,208
0,29,2,119
0,29,6,299
0,29,7,344
0,29,1,74
0,29,4,209
0,30,2,120
0,30,6,300
0,30,7,345
0,30,1,75
0,30,4,210
0,31,2,121
0,31,6,301
0,31,7,346
0,31,1,76
0,31,4,211
0,32,2,122
0,32,6,302
0,32,7,347
0,32,1,77
0,32,4,212
0,33,2,123
0,33,6,303
0,33,7,348
0,33,1,78
0,33,4,213
0,34,2,124
0,34,6,304
0,34,7,349
0,34,1,79
0,34,4,214
0,35,2,125
0,35,6,305
0,35,7,350
0,35,1,80
0,35,4,215
0,36,2,126
0,36,6,306
0,36,7,351
0,36,1,81
0,36,4,216
0,37,2,127
0,37,6,307
0,37,7,352
0,37,1,82
0,37,4,217
0,38,2,128
0,38,6,308
0,38,7,353
0,38,1,83
0,38,4,218
0,39,2,129
0,39,6,309
0,39,7,354
0,39,1,84
0,39,4,219
0,40,2,130
0,40,6,310
0,40,7,355
0,40,1,85
0,40,4,220
0,41,2,131
0,41,6,311
0,41,7,356
0,41,1,86
0,41,4,221
0,42,2,132
0,42,6,312
0,42,7,357
0,42,1,87
0,42,4,222
0,43,2,133
0,43,6,313
0,43,7,358
0,43,1,88
0,43,4,223
0,44,2,134
0,44,6,314
0,44,7,359
0,44,1,89
0,44,4,224
2,90,4,180
2,90,5,225
2,90,1,45
2,91,4,181
2,91,5,226
2,91,1,46
2,92,4,182
2,92,5,227
2,92,1,47
2,93,4,183
2,93,5,228
2,93,1,48
2,94,4,184
2,94,5,229
2,94,1,49
2,95,4,185
2,95,5,230
2,95,1,50
2,96,4,186
2,96,5,231
2,96,1,51
2,97,4,187
2,97,5,232
2,97,1,52
2,98,4,188
2,98,5,233
2,98,1,53
2,99,4,189
2,99,5,234
2,99,1,54
2,100,4,190
2,100,5,235
2,100,1,55
2,101,4,191
2,101,5,236
2,101,1,56
2,102,4,192
2,102,5,237
2,102,1,57
2,103,4,193
2,103,5,238
2,103,1,58
2,104,4,194
2,104,5,239
2,104,1,59
2,105,4,195
2,105,5,240
2,105,1,60
2,106,4,196
2,106,5,241
2,106,1,61
2,107,4,197
2,107,5,242
2,107,1,62
2,108,4,198
2,108,5,243
2,108,1,63
2,109,4,199
2,109,5,244
2,109,1,64
2,110,4,200
2,110,5,245
2,110,1,65
2,111,4,201
2,111,5,246
2,111,1,66
2,112,4,202
2,112,5,247
2,112,1,67
2,113,4,203
2,113,5,248
2,113,1,68
2,114,4,204
2,114,5,249
2,114,1,69
2,115,4,205
2,115,5,250
