Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,6,65,10000,10000
0,1,10000,11000,6,65,20000,10000
0,2,20000,21000,6,65,30000,10000
0,3,30000,31000,6,65,40000,10000
0,4,40000,41000,6,65,50000,10000
0,5,50000,51000,6,65,60000,10000
0,6,60000,61000,6,65,70000,10000
0,7,70000,71000,6,65,80000,10000
1,8,0,1000,15,137,10000,10000
1,9,10000,11000,15,137,20000,10000
1,10,20000,21000,15,137,30000,10000
1,11,30000,31000,15,137,40000,10000
1,12,40000,41000,15,137,50000,10000
1,13,50000,51000,15,137,60000,10000
1,14,60000,61000,15,137,70000,10000
1,15,70000,71000,15,137,80000,10000
2,16,0,1000,24,237,10000,10000
2,17,10000,11000,24,237,20000,10000
2,18,20000,21000,24,237,30000,10000
2,19,30000,31000,24,237,40000,10000
2,20,40000,41000,24,237,50000,10000
2,21,50000,51000,24,237,60000,10000
2,22,60000,61000,24,237,70000,10000
2,23,70000,71000,24,237,80000,10000
3,24,0,1000,9,95,10000,10000
3,25,10000,11000,9,95,20000,10000
3,26,20000,21000,9,95,30000,10000
3,27,30000,31000,9,95,40000,10000
3,28,40000,41000,9,95,50000,10000
3,29,50000,51000,9,95,60000,10000
3,30,60000,61000,9,95,70000,10000
3,31,70000,71000,9,95,80000,10000
4,32,0,1000,37,370,10000,10000
4,33,10000,11000,37,370,20000,10000
4,34,20000,21000,37,370,30000,10000
4,35,30000,31000,37,370,40000,10000
4,36,40000,41000,37,370,50000,10000
4,37,50000,51000,37,370,60000,10000
4,38,60000,61000,37,370,70000,10000
4,39,70000,71000,37,370,80000,10000
5,40,0,1000,1,12,10000,10000
5,41,10000,11000,1,12,20000,10000
5,42,20000,21000,1,12,30000,10000
5,43,30000,31000,1,12,40000,10000
5,44,40000,41000,1,12,50000,10000
5,45,50000,51000,1,12,60000,10000
5,46,60000,61000,1,12,70000,10000
5,47,70000,71000,1,12,80000,10000
6,48,0,1000,20,196,10000,10000
6,49,10000,11000,20,196,20000,10000
6,50,20000,21000,20,196,30000,10000
6,51,30000,31000,20,196,40000,10000
6,52,40000,41000,20,196,50000,10000
6,53,50000,51000,20,196,60000,10000
6,54,60000,61000,20,196,70000,10000
6,55,70000,71000,20,196,80000,10000
7,56,0,1000,37,372,10000,10000
7,57,10000,11000,37,372,20000,10000
7,58,20000,21000,37,372,30000,10000
7,59,30000,31000,37,372,40000,10000
7,60,40000,41000,37,372,50000,10000
7,61,50000,51000,37,372,60000,10000
7,62,60000,61000,37,372,70000,10000
7,63,70000,71000,37,372,80000,10000
8,64,0,1000,25,254,10000,10000
8,65,10000,11000,25,254,20000,10000
8,66,20000,21000,25,254,30000,10000
8,67,30000,31000,25,254,40000,10000
8,68,40000,41000,25,254,50000,10000
8,69,50000,51000,25,254,60000,10000
8,70,60000,61000,25,254,70000,10000
8,71,70000,71000,25,254,80000,10000
9,72,0,1000,14,142,10000,10000
9,73,10000,11000,14,142,20000,10000
9,74,20000,21000,14,142,30000,10000
9,75,30000,31000,14,142,40000,10000
9,76,40000,41000,14,142,50000,10000
9,77,50000,51000,14,142,60000,10000
9,78,60000,61000,14,142,70000,10000
9,79,70000,71000,14,142,80000,10000
10,80,0,1000,2,22,10000,10000
10,81,10000,11000,2,22,20000,10000
10,82,20000,21000,2,22,30000,10000
10,83,30000,31000,2,22,40000,10000
10,84,40000,41000,2,22,50000,10000
10,85,50000,51000,2,22,60000,10000
10,86,60000,61000,2,22,70000,10000
10,87,70000,71000,2,22,80000,10000
11,88,0,1000,16,163,10000,10000
11,89,10000,11000,16,163,20000,10000
11,90,20000,21000,16,163,30000,10000
11,91,30000,31000,16,163,40000,10000
11,92,40000,41000,16,163,50000,10000
11,93,50000,51000,16,163,60000,10000
11,94,60000,61000,16,163,70000,10000
11,95,70000,71000,16,163,80000,10000
12,96,0,1000,20,196,10000,10000
12,97,10000,11000,20,196,20000,10000
12,98,20000,21000,20,196,30000,10000
12,99,30000,31000,20,196,40000,10000
12,100,40000,41000,20,196,50000,10000
12,101,50000,51000,20,196,60000,10000
12,102,60000,61000,20,196,70000,10000
12,103,70000,71000,20,196,80000,10000
13,104,0,4000,21,210,40000,40000
13,105,40000,44000,21,210,80000,40000
14,106,0,4000,45,448,40000,40000
