From TID,From JID,To TID,To JID
0,0,2,16
0,0,12,96
0,0,1,8
0,0,4,32
0,0,5,40
0,0,6,48
0,1,2,17
0,1,12,97
0,1,1,9
0,1,4,33
0,1,5,41
0,1,6,49
0,2,2,18
0,2,12,98
0,2,1,10
0,2,4,34
0,2,5,42
0,2,6,50
0,3,2,19
0,3,12,99
0,3,1,11
0,3,4,35
0,3,5,43
0,3,6,51
0,4,2,20
0,4,12,100
0,4,1,12
0,4,4,36
0,4,5,44
0,4,6,52
0,5,2,21
0,5,12,101
0,5,1,13
0,5,4,37
0,5,5,45
0,5,6,53
0,6,2,22
0,6,12,102
0,6,1,14
0,6,4,38
0,6,5,46
0,6,6,54
0,7,2,23
0,7,12,103
0,7,1,15
0,7,4,39
0,7,5,47
0,7,6,55
2,16,4,32
2,16,8,64
2,16,1,8
2,16,5,40
2,16,6,48
2,16,7,56
2,16,11,88
2,17,4,33
2,17,8,65
2,17,1,9
2,17,5,41
2,17,6,49
2,17,7,57
2,17,11,89
2,18,4,34
2,18,8,66
2,18,1,10
2,18,5,42
2,18,6,50
2,18,7,58
2,18,11,90
2,19,4,35
2,19,8,67
2,19,1,11
2,19,5,43
2,19,6,51
2,19,7,59
2,19,11,91
2,20,4,36
2,20,8,68
2,20,1,12
2,20,5,44
2,20,6,52
2,20,7,60
2,20,11,92
2,21,4,37
2,21,8,69
2,21,1,13
2,21,5,45
2,21,6,53
2,21,7,61
2,21,11,93
2,22,4,38
2,22,8,70
2,22,1,14
2,22,5,46
2,22,6,54
2,22,7,62
2,22,11,94
2,23,4,39
2,23,8,71
2,23,1,15
2,23,5,47
2,23,6,55
2,23,7,63
2,23,11,95
3,24,1,8
3,25,1,9
3,26,1,10
3,27,1,11
3,28,1,12
3,29,1,13
3,30,1,14
3,31,1,15
4,32,6,48
4,32,7,56
4,32,5,40
4,32,9,72
4,32,10,80
4,32,11,88
4,33,6,49
4,33,7,57
4,33,5,41
4,33,9,73
4,33,10,81
4,33,11,89
4,34,6,50
4,34,7,58
4,34,5,42
4,34,9,74
4,34,10,82
4,34,11,90
4,35,6,51
4,35,7,59
4,35,5,43
4,35,9,75
4,35,10,83
4,35,11,91
4,36,6,52
4,36,7,60
4,36,5,44
4,36,9,76
4,36,10,84
4,36,11,92
4,37,6,53
4,37,7,61
4,37,5,45
4,37,9,77
4,37,10,85
4,37,11,93
4,38,6,54
4,38,7,62
4,38,5,46
4,38,9,78
4,38,10,86
4,38,11,94
4,39,6,55
4,39,7,63
4,39,5,47
4,39,9,79
4,39,10,87
4,39,11,95
5,40,3,24
5,40,1,8
5,41,3,25
5,41,1,9
5,42,3,26
5,42,1,10
5,43,3,27
5,43,1,11
5,44,3,28
5,44,1,12
5,45,3,29
5,45,1,13
5,46,3,30
5,46,1,14
5,47,3,31
5,47,1,15
6,48,5,40
6,48,3,24
6,48,9,72
6,49,5,41
6,49,3,25
6,49,9,73
6,50,5,42
6,50,3,26
