Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,6,61,10000,10000
0,1,10000,11000,6,61,20000,10000
0,2,20000,21000,6,61,30000,10000
0,3,30000,31000,6,61,40000,10000
0,4,40000,41000,6,61,50000,10000
0,5,50000,51000,6,61,60000,10000
0,6,60000,61000,6,61,70000,10000
0,7,70000,71000,6,61,80000,10000
0,8,80000,81000,6,61,90000,10000
0,9,90000,91000,6,61,100000,10000
0,10,100000,101000,6,61,110000,10000
0,11,110000,111000,6,61,120000,10000
1,12,0,1000,1,14,10000,10000
1,13,10000,11000,1,14,20000,10000
1,14,20000,21000,1,14,30000,10000
1,15,30000,31000,1,14,40000,10000
1,16,40000,41000,1,14,50000,10000
1,17,50000,51000,1,14,60000,10000
1,18,60000,61000,1,14,70000,10000
1,19,70000,71000,1,14,80000,10000
1,20,80000,81000,1,14,90000,10000
1,21,90000,91000,1,14,100000,10000
1,22,100000,101000,1,14,110000,10000
1,23,110000,111000,1,14,120000,10000
2,24,0,1000,3,31,10000,10000
2,25,10000,11000,3,31,20000,10000
2,26,20000,21000,3,31,30000,10000
2,27,30000,31000,3,31,40000,10000
2,28,40000,41000,3,31,50000,10000
2,29,50000,51000,3,31,60000,10000
2,30,60000,61000,3,31,70000,10000
2,31,70000,71000,3,31,80000,10000
2,32,80000,81000,3,31,90000,10000
2,33,90000,91000,3,31,100000,10000
2,34,100000,101000,3,31,110000,10000
2,35,110000,111000,3,31,120000,10000
3,36,0,1000,16,157,10000,10000
3,37,10000,11000,16,157,20000,10000
3,38,20000,21000,16,157,30000,10000
3,39,30000,31000,16,157,40000,10000
3,40,40000,41000,16,157,50000,10000
3,41,50000,51000,16,157,60000,10000
3,42,60000,61000,16,157,70000,10000
3,43,70000,71000,16,157,80000,10000
3,44,80000,81000,16,157,90000,10000
3,45,90000,91000,16,157,100000,10000
3,46,100000,101000,16,157,110000,10000
3,47,110000,111000,16,157,120000,10000
4,48,0,1000,9,89,10000,10000
4,49,10000,11000,9,89,20000,10000
4,50,20000,21000,9,89,30000,10000
4,51,30000,31000,9,89,40000,10000
4,52,40000,41000,9,89,50000,10000
4,53,50000,51000,9,89,60000,10000
4,54,60000,61000,9,89,70000,10000
4,55,70000,71000,9,89,80000,10000
4,56,80000,81000,9,89,90000,10000
4,57,90000,91000,9,89,100000,10000
4,58,100000,101000,9,89,110000,10000
4,59,110000,111000,9,89,120000,10000
5,60,0,1000,8,78,10000,10000
5,61,10000,11000,8,78,20000,10000
5,62,20000,21000,8,78,30000,10000
5,63,30000,31000,8,78,40000,10000
5,64,40000,41000,8,78,50000,10000
5,65,50000,51000,8,78,60000,10000
5,66,60000,61000,8,78,70000,10000
5,67,70000,71000,8,78,80000,10000
5,68,80000,81000,8,78,90000,10000
5,69,90000,91000,8,78,100000,10000
5,70,100000,101000,8,78,110000,10000
5,71,110000,111000,8,78,120000,10000
6,72,0,1000,25,246,10000,10000
6,73,10000,11000,25,246,20000,10000
6,74,20000,21000,25,246,30000,10000
6,75,30000,31000,25,246,40000,10000
6,76,40000,41000,25,246,50000,10000
6,77,50000,51000,25,246,60000,10000
6,78,60000,61000,25,246,70000,10000
6,79,70000,71000,25,246,80000,10000
6,80,80000,81000,25,246,90000,10000
6,81,90000,91000,25,246,100000,10000
6,82,100000,101000,25,246,110000,10000
