From TID,From JID,To TID,To JID
0,0,2,18
0,0,11,99
0,0,12,108
0,0,5,45
0,0,6,54
0,0,8,72
0,0,10,90
0,1,2,19
0,1,11,100
0,1,12,109
0,1,5,46
0,1,6,55
0,1,8,73
0,1,10,91
0,2,2,20
0,2,11,101
0,2,12,110
0,2,5,47
0,2,6,56
0,2,8,74
0,2,10,92
0,3,2,21
0,3,11,102
0,3,12,111
0,3,5,48
0,3,6,57
0,3,8,75
0,3,10,93
0,4,2,22
0,4,11,103
0,4,12,112
0,4,5,49
0,4,6,58
0,4,8,76
0,4,10,94
0,5,2,23
0,5,11,104
0,5,12,113
0,5,5,50
0,5,6,59
0,5,8,77
0,5,10,95
0,6,2,24
0,6,11,105
0,6,12,114
0,6,5,51
0,6,6,60
0,6,8,78
0,6,10,96
0,7,2,25
0,7,11,106
0,7,12,115
0,7,5,52
0,7,6,61
0,7,8,79
0,7,10,97
0,8,2,26
0,8,11,107
0,8,12,116
0,8,5,53
0,8,6,62
0,8,8,80
0,8,10,98
2,18,4,36
2,18,9,81
2,18,10,90
2,18,3,27
2,18,5,45
2,18,8,72
2,19,4,37
2,19,9,82
2,19,10,91
2,19,3,28
2,19,5,46
2,19,8,73
2,20,4,38
2,20,9,83
2,20,10,92
2,20,3,29
2,20,5,47
2,20,8,74
2,21,4,39
2,21,9,84
2,21,10,93
2,21,3,30
2,21,5,48
2,21,8,75
2,22,4,40
2,22,9,85
2,22,10,94
2,22,3,31
2,22,5,49
2,22,8,76
2,23,4,41
2,23,9,86
2,23,10,95
2,23,3,32
2,23,5,50
2,23,8,77
2,24,4,42
2,24,9,87
2,24,10,96
2,24,3,33
2,24,5,51
2,24,8,78
2,25,4,43
2,25,9,88
2,25,10,97
2,25,3,34
2,25,5,52
2,25,8,79
2,26,4,44
2,26,9,89
2,26,10,98
2,26,3,35
2,26,5,53
2,26,8,80
3,27,1,9
3,28,1,10
3,29,1,11
3,30,1,12
3,31,1,13
3,32,1,14
3,33,1,15
3,34,1,16
3,35,1,17
4,36,6,54
4,36,7,63
4,36,8,72
4,36,3,27
4,37,6,55
4,37,7,64
4,37,8,73
4,37,3,28
4,38,6,56
4,38,7,65
4,38,8,74
4,38,3,29
4,39,6,57
4,39,7,66
4,39,8,75
4,39,3,30
4,40,6,58
4,40,7,67
4,40,8,76
4,40,3,31
4,41,6,59
4,41,7,68
4,41,8,77
4,41,3,32
4,42,6,60
4,42,7,69
4,42,8,78
4,42,3,33
4,43,6,61
4,43,7,70
4,43,8,79
4,43,3,34
4,44,6,62
4,44,7,71
4,44,8,80
4,44,3,35
5,45,3,27
5,46,3,28
5,47,3,29
5,48,3,30
5,49,3,31
5,50,3,32
5,51,3,33
5,52,3,34
5,53,3,35
6,54,5,45
6,54,3,27
6,55,5,46
6,55,3,28
6,56,5,47
6,56,3,29
6,57,5,48
6,57,3,30
6,58,5,49
6,58,3,31
6,59,5,50
6,59,3,32
6,60,5,51
6,60,3,33
6,61,5,52
6,61,3,34
6,62,5,53
6,62,3,35
7,63,5,45
7,63,3,27
7,64,5,46
7,64,3,28
7,65,5,47
7,65,3,29
7,66,5,48
7,66,3,30
