From TID,From JID,To TID,To JID
0,0,2,224
0,0,12,1344
0,0,13,1456
0,0,4,448
0,0,6,672
0,0,7,784
0,0,8,896
0,0,9,1008
0,0,10,1120
0,0,11,1232
0,1,2,225
0,1,12,1345
0,1,13,1457
0,1,4,449
0,1,6,673
0,1,7,785
0,1,8,897
0,1,9,1009
0,1,10,1121
0,1,11,1233
0,2,2,226
0,2,12,1346
0,2,13,1458
0,2,4,450
0,2,6,674
0,2,7,786
0,2,8,898
0,2,9,1010
0,2,10,1122
0,2,11,1234
0,3,2,227
0,3,12,1347
0,3,13,1459
0,3,4,451
0,3,6,675
0,3,7,787
0,3,8,899
0,3,9,1011
0,3,10,1123
0,3,11,1235
0,4,2,228
0,4,12,1348
0,4,13,1460
0,4,4,452
0,4,6,676
0,4,7,788
0,4,8,900
0,4,9,1012
0,4,10,1124
0,4,11,1236
0,5,2,229
0,5,12,1349
0,5,13,1461
0,5,4,453
0,5,6,677
0,5,7,789
0,5,8,901
0,5,9,1013
0,5,10,1125
0,5,11,1237
0,6,2,230
0,6,12,1350
0,6,13,1462
0,6,4,454
0,6,6,678
0,6,7,790
0,6,8,902
0,6,9,1014
0,6,10,1126
0,6,11,1238
0,7,2,231
0,7,12,1351
0,7,13,1463
0,7,4,455
0,7,6,679
0,7,7,791
0,7,8,903
0,7,9,1015
0,7,10,1127
0,7,11,1239
0,8,2,232
0,8,12,1352
0,8,13,1464
0,8,4,456
0,8,6,680
0,8,7,792
0,8,8,904
0,8,9,1016
0,8,10,1128
0,8,11,1240
0,9,2,233
0,9,12,1353
0,9,13,1465
0,9,4,457
0,9,6,681
0,9,7,793
0,9,8,905
0,9,9,1017
0,9,10,1129
0,9,11,1241
0,10,2,234
0,10,12,1354
0,10,13,1466
0,10,4,458
0,10,6,682
0,10,7,794
0,10,8,906
0,10,9,1018
0,10,10,1130
0,10,11,1242
0,11,2,235
0,11,12,1355
0,11,13,1467
0,11,4,459
0,11,6,683
0,11,7,795
0,11,8,907
0,11,9,1019
0,11,10,1131
0,11,11,1243
0,12,2,236
0,12,12,1356
0,12,13,1468
0,12,4,460
0,12,6,684
0,12,7,796
0,12,8,908
0,12,9,1020
0,12,10,1132
0,12,11,1244
0,13,2,237
0,13,12,1357
0,13,13,1469
0,13,4,461
0,13,6,685
0,13,7,797
0,13,8,909
0,13,9,1021
0,13,10,1133
0,13,11,1245
0,14,2,238
0,14,12,1358
0,14,13,1470
0,14,4,462
0,14,6,686
0,14,7,798
0,14,8,910
0,14,9,1022
0,14,10,1134
0,14,11,1246
0,15,2,239
0,15,12,1359
0,15,13,1471
0,15,4,463
0,15,6,687
0,15,7,799
0,15,8,911
0,15,9,1023
0,15,10,1135
0,15,11,1247
0,16,2,240
0,16,12,1360
0,16,13,1472
0,16,4,464
0,16,6,688
0,16,7,800
0,16,8,912
0,16,9,1024
0,16,10,1136
0,16,11,1248
0,17,2,241
0,17,12,1361
0,17,13,1473
0,17,4,465
0,17,6,689
0,17,7,801
0,17,8,913
0,17,9,1025
0,17,10,1137
0,17,11,1249
0,18,2,242
0,18,12,1362
0,18,13,1474
0,18,4,466
0,18,6,690
0,18,7,802
0,18,8,914
0,18,9,1026
0,18,10,1138
0,18,11,1250
0,19,2,243
0,19,12,1363
0,19,13,1475
0,19,4,467
0,19,6,691
0,19,7,803
0,19,8,915
0,19,9,1027
0,19,10,1139
0,19,11,1251
0,20,2,244
0,20,12,1364
0,20,13,1476
0,20,4,468
0,20,6,692
0,20,7,804
0,20,8,916
0,20,9,1028
0,20,10,1140
0,20,11,1252
0,21,2,245
0,21,12,1365
0,21,13,1477
0,21,4,469
0,21,6,693
0,21,7,805
0,21,8,917
0,21,9,1029
0,21,10,1141
0,21,11,1253
0,22,2,246
0,22,12,1366
0,22,13,1478
0,22,4,470
0,22,6,694
0,22,7,806
0,22,8,918
0,22,9,1030
0,22,10,1142
0,22,11,1254
0,23,2,247
0,23,12,1367
0,23,13,1479
0,23,4,471
0,23,6,695
0,23,7,807
0,23,8,919
0,23,9,1031
0,23,10,1143
0,23,11,1255
0,24,2,248
0,24,12,1368
0,24,13,1480
0,24,4,472
0,24,6,696
0,24,7,808
0,24,8,920
0,24,9,1032
0,24,10,1144
0,24,11,1256
0,25,2,249
0,25,12,1369
0,25,13,1481
0,25,4,473
0,25,6,697
0,25,7,809
0,25,8,921
0,25,9,1033
0,25,10,1145
0,25,11,1257
0,26,2,250
0,26,12,1370
0,26,13,1482
0,26,4,474
0,26,6,698
0,26,7,810
0,26,8,922
0,26,9,1034
0,26,10,1146
0,26,11,1258
0,27,2,251
0,27,12,1371
0,27,13,1483
0,27,4,475
0,27,6,699
0,27,7,811
0,27,8,923
0,27,9,1035
0,27,10,1147
0,27,11,1259
0,28,2,252
0,28,12,1372
0,28,13,1484
0,28,4,476
0,28,6,700
0,28,7,812
0,28,8,924
0,28,9,1036
0,28,10,1148
0,28,11,1260
0,29,2,253
0,29,12,1373
0,29,13,1485
0,29,4,477
0,29,6,701
0,29,7,813
0,29,8,925
0,29,9,1037
0,29,10,1149
0,29,11,1261
0,30,2,254
0,30,12,1374
0,30,13,1486
0,30,4,478
0,30,6,702
0,30,7,814
0,30,8,926
0,30,9,1038
0,30,10,1150
0,30,11,1262
0,31,2,255
0,31,12,1375
0,31,13,1487
0,31,4,479
0,31,6,703
0,31,7,815
0,31,8,927
0,31,9,1039
0,31,10,1151
0,31,11,1263
0,32,2,256
0,32,12,1376
0,32,13,1488
0,32,4,480
0,32,6,704
0,32,7,816
0,32,8,928
0,32,9,1040
0,32,10,1152
0,32,11,1264
0,33,2,257
0,33,12,1377
0,33,13,1489
0,33,4,481
0,33,6,705
0,33,7,817
0,33,8,929
0,33,9,1041
0,33,10,1153
0,33,11,1265
0,34,2,258
0,34,12,1378
0,34,13,1490
0,34,4,482
0,34,6,706
0,34,7,818
0,34,8,930
0,34,9,1042
0,34,10,1154
0,34,11,1266
0,35,2,259
0,35,12,1379
0,35,13,1491
0,35,4,483
0,35,6,707
0,35,7,819
0,35,8,931
0,35,9,1043
0,35,10,1155
0,35,11,1267
0,36,2,260
0,36,12,1380
0,36,13,1492
0,36,4,484
0,36,6,708
0,36,7,820
0,36,8,932
0,36,9,1044
0,36,10,1156
0,36,11,1268
0,37,2,261
0,37,12,1381
0,37,13,1493
0,37,4,485
0,37,6,709
0,37,7,821
0,37,8,933
0,37,9,1045
0,37,10,1157
0,37,11,1269
0,38,2,262
0,38,12,1382
0,38,13,1494
0,38,4,486
0,38,6,710
0,38,7,822
0,38,8,934
0,38,9,1046
0,38,10,1158
0,38,11,1270
0,39,2,263
0,39,12,1383
0,39,13,1495
0,39,4,487
0,39,6,711
0,39,7,823
0,39,8,935
0,39,9,1047
0,39,10,1159
0,39,11,1271
0,40,2,264
0,40,12,1384
0,40,13,1496
0,40,4,488
0,40,6,712
0,40,7,824
0,40,8,936
0,40,9,1048
0,40,10,1160
0,40,11,1272
0,41,2,265
0,41,12,1385
0,41,13,1497
0,41,4,489
0,41,6,713
0,41,7,825
0,41,8,937
0,41,9,1049
0,41,10,1161
0,41,11,1273
0,42,2,266
0,42,12,1386
0,42,13,1498
0,42,4,490
0,42,6,714
0,42,7,826
0,42,8,938
0,42,9,1050
0,42,10,1162
0,42,11,1274
0,43,2,267
0,43,12,1387
0,43,13,1499
0,43,4,491
0,43,6,715
0,43,7,827
0,43,8,939
0,43,9,1051
0,43,10,1163
0,43,11,1275
0,44,2,268
0,44,12,1388
0,44,13,1500
0,44,4,492
0,44,6,716
0,44,7,828
0,44,8,940
0,44,9,1052
0,44,10,1164
0,44,11,1276
0,45,2,269
0,45,12,1389
0,45,13,1501
0,45,4,493
0,45,6,717
0,45,7,829
0,45,8,941
0,45,9,1053
0,45,10,1165
0,45,11,1277
0,46,2,270
0,46,12,1390
0,46,13,1502
0,46,4,494
0,46,6,718
0,46,7,830
0,46,8,942
0,46,9,1054
0,46,10,1166
0,46,11,1278
0,47,2,271
0,47,12,1391
0,47,13,1503
0,47,4,495
0,47,6,719
0,47,7,831
0,47,8,943
0,47,9,1055
0,47,10,1167
0,47,11,1279
0,48,2,272
0,48,12,1392
0,48,13,1504
0,48,4,496
0,48,6,720
0,48,7,832
0,48,8,944
0,48,9,1056
0,48,10,1168
0,48,11,1280
0,49,2,273
0,49,12,1393
0,49,13,1505
0,49,4,497
0,49,6,721
0,49,7,833
0,49,8,945
0,49,9,1057
0,49,10,1169
0,49,11,1281
0,50,2,274
0,50,12,1394
0,50,13,1506
0,50,4,498
0,50,6,722
0,50,7,834
0,50,8,946
0,50,9,1058
0,50,10,1170
0,50,11,1282
0,51,2,275
0,51,12,1395
0,51,13,1507
0,51,4,499
0,51,6,723
0,51,7,835
0,51,8,947
0,51,9,1059
0,51,10,1171
0,51,11,1283
0,52,2,276
0,52,12,1396
0,52,13,1508
0,52,4,500
0,52,6,724
0,52,7,836
0,52,8,948
0,52,9,1060
0,52,10,1172
0,52,11,1284
0,53,2,277
0,53,12,1397
0,53,13,1509
0,53,4,501
0,53,6,725
0,53,7,837
0,53,8,949
0,53,9,1061
0,53,10,1173
0,53,11,1285
0,54,2,278
0,54,12,1398
0,54,13,1510
0,54,4,502
0,54,6,726
0,54,7,838
0,54,8,950
0,54,9,1062
0,54,10,1174
0,54,11,1286
0,55,2,279
0,55,12,1399
0,55,13,1511
0,55,4,503
0,55,6,727
0,55,7,839
0,55,8,951
0,55,9,1063
0,55,10,1175
0,55,11,1287
0,56,2,280
0,56,12,1400
0,56,13,1512
0,56,4,504
0,56,6,728
0,56,7,840
0,56,8,952
0,56,9,1064
0,56,10,1176
0,56,11,1288
0,57,2,281
0,57,12,1401
0,57,13,1513
0,57,4,505
0,57,6,729
0,57,7,841
0,57,8,953
0,57,9,1065
0,57,10,1177
0,57,11,1289
0,58,2,282
0,58,12,1402
0,58,13,1514
0,58,4,506
0,58,6,730
0,58,7,842
0,58,8,954
0,58,9,1066
0,58,10,1178
0,58,11,1290
0,59,2,283
0,59,12,1403
0,59,13,1515
0,59,4,507
0,59,6,731
0,59,7,843
0,59,8,955
0,59,9,1067
0,59,10,1179
0,59,11,1291
0,60,2,284
0,60,12,1404
0,60,13,1516
0,60,4,508
0,60,6,732
0,60,7,844
0,60,8,956
0,60,9,1068
0,60,10,1180
0,60,11,1292
0,61,2,285
0,61,12,1405
0,61,13,1517
0,61,4,509
0,61,6,733
0,61,7,845
0,61,8,957
0,61,9,1069
0,61,10,1181
0,61,11,1293
0,62,2,286
0,62,12,1406
0,62,13,1518
0,62,4,510
0,62,6,734
0,62,7,846
0,62,8,958
0,62,9,1070
0,62,10,1182
0,62,11,1294
0,63,2,287
0,63,12,1407
0,63,13,1519
0,63,4,511
0,63,6,735
0,63,7,847
0,63,8,959
0,63,9,1071
0,63,10,1183
0,63,11,1295
0,64,2,288
0,64,12,1408
0,64,13,1520
0,64,4,512
0,64,6,736
0,64,7,848
0,64,8,960
0,64,9,1072
0,64,10,1184
0,64,11,1296
0,65,2,289
0,65,12,1409
0,65,13,1521
0,65,4,513
0,65,6,737
0,65,7,849
0,65,8,961
0,65,9,1073
0,65,10,1185
0,65,11,1297
0,66,2,290
0,66,12,1410
0,66,13,1522
0,66,4,514
0,66,6,738
0,66,7,850
0,66,8,962
0,66,9,1074
0,66,10,1186
0,66,11,1298
0,67,2,291
0,67,12,1411
0,67,13,1523
0,67,4,515
0,67,6,739
0,67,7,851
0,67,8,963
0,67,9,1075
0,67,10,1187
0,67,11,1299
0,68,2,292
0,68,12,1412
0,68,13,1524
0,68,4,516
0,68,6,740
0,68,7,852
0,68,8,964
0,68,9,1076
0,68,10,1188
0,68,11,1300
0,69,2,293
0,69,12,1413
0,69,13,1525
0,69,4,517
0,69,6,741
0,69,7,853
0,69,8,965
0,69,9,1077
0,69,10,1189
0,69,11,1301
0,70,2,294
0,70,12,1414
0,70,13,1526
0,70,4,518
0,70,6,742
0,70,7,854
0,70,8,966
0,70,9,1078
0,70,10,1190
0,70,11,1302
0,71,2,295
0,71,12,1415
0,71,13,1527
0,71,4,519
0,71,6,743
0,71,7,855
0,71,8,967
0,71,9,1079
0,71,10,1191
0,71,11,1303
0,72,2,296
0,72,12,1416
0,72,13,1528
0,72,4,520
0,72,6,744
0,72,7,856
0,72,8,968
0,72,9,1080
0,72,10,1192
0,72,11,1304
0,73,2,297
0,73,12,1417
0,73,13,1529
0,73,4,521
0,73,6,745
0,73,7,857
0,73,8,969
0,73,9,1081
0,73,10,1193
0,73,11,1305
0,74,2,298
0,74,12,1418
0,74,13,1530
0,74,4,522
0,74,6,746
0,74,7,858
0,74,8,970
0,74,9,1082
0,74,10,1194
0,74,11,1306
0,75,2,299
0,75,12,1419
0,75,13,1531
0,75,4,523
0,75,6,747
0,75,7,859
0,75,8,971
0,75,9,1083
0,75,10,1195
0,75,11,1307
0,76,2,300
0,76,12,1420
0,76,13,1532
0,76,4,524
0,76,6,748
0,76,7,860
0,76,8,972
0,76,9,1084
0,76,10,1196
0,76,11,1308
0,77,2,301
0,77,12,1421
0,77,13,1533
0,77,4,525
0,77,6,749
0,77,7,861
0,77,8,973
0,77,9,1085
0,77,10,1197
0,77,11,1309
0,78,2,302
0,78,12,1422
0,78,13,1534
0,78,4,526
0,78,6,750
0,78,7,862
0,78,8,974
0,78,9,1086
0,78,10,1198
0,78,11,1310
0,79,2,303
0,79,12,1423
0,79,13,1535
0,79,4,527
0,79,6,751
0,79,7,863
0,79,8,975
0,79,9,1087
0,79,10,1199
0,79,11,1311
0,80,2,304
0,80,12,1424
0,80,13,1536
0,80,4,528
0,80,6,752
0,80,7,864
0,80,8,976
0,80,9,1088
0,80,10,1200
0,80,11,1312
0,81,2,305
0,81,12,1425
0,81,13,1537
0,81,4,529
0,81,6,753
0,81,7,865
0,81,8,977
0,81,9,1089
0,81,10,1201
0,81,11,1313
0,82,2,306
0,82,12,1426
0,82,13,1538
0,82,4,530
0,82,6,754
0,82,7,866
0,82,8,978
0,82,9,1090
0,82,10,1202
0,82,11,1314
0,83,2,307
0,83,12,1427
0,83,13,1539
0,83,4,531
0,83,6,755
0,83,7,867
0,83,8,979
0,83,9,1091
0,83,10,1203
0,83,11,1315
0,84,2,308
0,84,12,1428
0,84,13,1540
0,84,4,532
0,84,6,756
0,84,7,868
0,84,8,980
0,84,9,1092
0,84,10,1204
0,84,11,1316
0,85,2,309
0,85,12,1429
0,85,13,1541
0,85,4,533
0,85,6,757
0,85,7,869
0,85,8,981
0,85,9,1093
0,85,10,1205
0,85,11,1317
0,86,2,310
0,86,12,1430
0,86,13,1542
0,86,4,534
0,86,6,758
0,86,7,870
0,86,8,982
0,86,9,1094
0,86,10,1206
0,86,11,1318
0,87,2,311
0,87,12,1431
0,87,13,1543
0,87,4,535
0,87,6,759
0,87,7,871
0,87,8,983
0,87,9,1095
0,87,10,1207
0,87,11,1319
0,88,2,312
0,88,12,1432
0,88,13,1544
0,88,4,536
0,88,6,760
0,88,7,872
0,88,8,984
0,88,9,1096
0,88,10,1208
0,88,11,1320
0,89,2,313
0,89,12,1433
0,89,13,1545
0,89,4,537
0,89,6,761
0,89,7,873
0,89,8,985
0,89,9,1097
0,89,10,1209
0,89,11,1321
0,90,2,314
0,90,12,1434
0,90,13,1546
0,90,4,538
0,90,6,762
0,90,7,874
0,90,8,986
0,90,9,1098
0,90,10,1210
0,90,11,1322
0,91,2,315
0,91,12,1435
0,91,13,1547
0,91,4,539
