From TID,From JID,To TID,To JID
0,0,2,76
0,0,10,380
0,0,11,418
0,0,1,38
0,0,5,190
0,0,8,304
0,0,9,342
0,1,2,77
0,1,10,381
0,1,11,419
0,1,1,39
0,1,5,191
0,1,8,305
0,1,9,343
0,2,2,78
0,2,10,382
0,2,11,420
0,2,1,40
0,2,5,192
0,2,8,306
0,2,9,344
0,3,2,79
0,3,10,383
0,3,11,421
0,3,1,41
0,3,5,193
0,3,8,307
0,3,9,345
0,4,2,80
0,4,10,384
0,4,11,422
0,4,1,42
0,4,5,194
0,4,8,308
0,4,9,346
0,5,2,81
0,5,10,385
0,5,11,423
0,5,1,43
0,5,5,195
0,5,8,309
0,5,9,347
0,6,2,82
0,6,10,386
0,6,11,424
0,6,1,44
0,6,5,196
0,6,8,310
0,6,9,348
0,7,2,83
0,7,10,387
0,7,11,425
0,7,1,45
0,7,5,197
0,7,8,311
0,7,9,349
0,8,2,84
0,8,10,388
0,8,11,426
0,8,1,46
0,8,5,198
0,8,8,312
0,8,9,350
0,9,2,85
0,9,10,389
0,9,11,427
0,9,1,47
0,9,5,199
0,9,8,313
0,9,9,351
0,10,2,86
0,10,10,390
0,10,11,428
0,10,1,48
0,10,5,200
0,10,8,314
0,10,9,352
0,11,2,87
0,11,10,391
0,11,11,429
0,11,1,49
0,11,5,201
0,11,8,315
0,11,9,353
0,12,2,88
0,12,10,392
0,12,11,430
0,12,1,50
0,12,5,202
0,12,8,316
0,12,9,354
0,13,2,89
0,13,10,393
0,13,11,431
0,13,1,51
0,13,5,203
0,13,8,317
0,13,9,355
0,14,2,90
0,14,10,394
0,14,11,432
0,14,1,52
0,14,5,204
0,14,8,318
0,14,9,356
0,15,2,91
0,15,10,395
0,15,11,433
0,15,1,53
0,15,5,205
0,15,8,319
0,15,9,357
0,16,2,92
0,16,10,396
0,16,11,434
0,16,1,54
0,16,5,206
0,16,8,320
0,16,9,358
0,17,2,93
0,17,10,397
0,17,11,435
0,17,1,55
0,17,5,207
0,17,8,321
0,17,9,359
0,18,2,94
0,18,10,398
0,18,11,436
0,18,1,56
0,18,5,208
0,18,8,322
0,18,9,360
0,19,2,95
0,19,10,399
0,19,11,437
0,19,1,57
0,19,5,209
0,19,8,323
0,19,9,361
0,20,2,96
0,20,10,400
0,20,11,438
0,20,1,58
0,20,5,210
0,20,8,324
0,20,9,362
0,21,2,97
0,21,10,401
0,21,11,439
0,21,1,59
0,21,5,211
0,21,8,325
0,21,9,363
0,22,2,98
0,22,10,402
0,22,11,440
0,22,1,60
0,22,5,212
0,22,8,326
0,22,9,364
0,23,2,99
0,23,10,403
0,23,11,441
0,23,1,61
0,23,5,213
0,23,8,327
0,23,9,365
0,24,2,100
0,24,10,404
0,24,11,442
0,24,1,62
0,24,5,214
0,24,8,328
0,24,9,366
0,25,2,101
0,25,10,405
0,25,11,443
0,25,1,63
0,25,5,215
0,25,8,329
0,25,9,367
0,26,2,102
0,26,10,406
0,26,11,444
0,26,1,64
0,26,5,216
0,26,8,330
0,26,9,368
0,27,2,103
0,27,10,407
0,27,11,445
0,27,1,65
0,27,5,217
0,27,8,331
0,27,9,369
0,28,2,104
0,28,10,408
0,28,11,446
0,28,1,66
0,28,5,218
0,28,8,332
0,28,9,370
0,29,2,105
0,29,10,409
0,29,11,447
0,29,1,67
0,29,5,219
0,29,8,333
0,29,9,371
0,30,2,106
0,30,10,410
0,30,11,448
0,30,1,68
0,30,5,220
0,30,8,334
0,30,9,372
0,31,2,107
0,31,10,411
0,31,11,449
0,31,1,69
0,31,5,221
0,31,8,335
0,31,9,373
0,32,2,108
