Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,8,78,20000,20000
0,1,20000,22000,8,78,40000,20000
0,2,40000,42000,8,78,60000,20000
0,3,60000,62000,8,78,80000,20000
0,4,80000,82000,8,78,100000,20000
0,5,100000,102000,8,78,120000,20000
1,6,0,2000,35,348,20000,20000
1,7,20000,22000,35,348,40000,20000
1,8,40000,42000,35,348,60000,20000
1,9,60000,62000,35,348,80000,20000
1,10,80000,82000,35,348,100000,20000
1,11,100000,102000,35,348,120000,20000
2,12,0,2000,94,940,20000,20000
2,13,20000,22000,94,940,40000,20000
2,14,40000,42000,94,940,60000,20000
2,15,60000,62000,94,940,80000,20000
2,16,80000,82000,94,940,100000,20000
2,17,100000,102000,94,940,120000,20000
3,18,0,2000,43,431,20000,20000
3,19,20000,22000,43,431,40000,20000
3,20,40000,42000,43,431,60000,20000
3,21,60000,62000,43,431,80000,20000
3,22,80000,82000,43,431,100000,20000
3,23,100000,102000,43,431,120000,20000
4,24,0,2000,122,1220,20000,20000
4,25,20000,22000,122,1220,40000,20000
4,26,40000,42000,122,1220,60000,20000
4,27,60000,62000,122,1220,80000,20000
4,28,80000,82000,122,1220,100000,20000
4,29,100000,102000,122,1220,120000,20000
5,30,0,2000,13,131,20000,20000
5,31,20000,22000,13,131,40000,20000
5,32,40000,42000,13,131,60000,20000
5,33,60000,62000,13,131,80000,20000
5,34,80000,82000,13,131,100000,20000
5,35,100000,102000,13,131,120000,20000
6,36,0,2000,99,990,20000,20000
6,37,20000,22000,99,990,40000,20000
6,38,40000,42000,99,990,60000,20000
6,39,60000,62000,99,990,80000,20000
6,40,80000,82000,99,990,100000,20000
6,41,100000,102000,99,990,120000,20000
7,42,0,2000,105,1051,20000,20000
7,43,20000,22000,105,1051,40000,20000
7,44,40000,42000,105,1051,60000,20000
7,45,60000,62000,105,1051,80000,20000
7,46,80000,82000,105,1051,100000,20000
7,47,100000,102000,105,1051,120000,20000
8,48,0,2000,19,189,20000,20000
8,49,20000,22000,19,189,40000,20000
8,50,40000,42000,19,189,60000,20000
