From TID,From JID,To TID,To JID
0,0,2,120
0,0,10,600
0,0,11,660
0,0,1,60
0,0,3,180
0,1,2,121
0,1,10,601
0,1,11,661
0,1,1,61
0,1,3,181
0,2,2,122
0,2,10,602
0,2,11,662
0,2,1,62
0,2,3,182
0,3,2,123
0,3,10,603
0,3,11,663
0,3,1,63
0,3,3,183
0,4,2,124
0,4,10,604
0,4,11,664
0,4,1,64
0,4,3,184
0,5,2,125
0,5,10,605
0,5,11,665
0,5,1,65
0,5,3,185
0,6,2,126
0,6,10,606
0,6,11,666
0,6,1,66
0,6,3,186
0,7,2,127
0,7,10,607
0,7,11,667
0,7,1,67
0,7,3,187
0,8,2,128
0,8,10,608
0,8,11,668
0,8,1,68
0,8,3,188
0,9,2,129
0,9,10,609
0,9,11,669
0,9,1,69
0,9,3,189
0,10,2,130
0,10,10,610
0,10,11,670
0,10,1,70
0,10,3,190
0,11,2,131
0,11,10,611
0,11,11,671
0,11,1,71
0,11,3,191
0,12,2,132
0,12,10,612
0,12,11,672
0,12,1,72
0,12,3,192
0,13,2,133
0,13,10,613
0,13,11,673
0,13,1,73
0,13,3,193
0,14,2,134
0,14,10,614
0,14,11,674
0,14,1,74
0,14,3,194
0,15,2,135
0,15,10,615
0,15,11,675
0,15,1,75
0,15,3,195
0,16,2,136
0,16,10,616
0,16,11,676
0,16,1,76
0,16,3,196
0,17,2,137
0,17,10,617
0,17,11,677
0,17,1,77
0,17,3,197
0,18,2,138
0,18,10,618
0,18,11,678
0,18,1,78
0,18,3,198
0,19,2,139
0,19,10,619
0,19,11,679
0,19,1,79
0,19,3,199
0,20,2,140
0,20,10,620
0,20,11,680
0,20,1,80
0,20,3,200
0,21,2,141
0,21,10,621
0,21,11,681
0,21,1,81
0,21,3,201
0,22,2,142
0,22,10,622
0,22,11,682
0,22,1,82
0,22,3,202
0,23,2,143
0,23,10,623
0,23,11,683
0,23,1,83
0,23,3,203
0,24,2,144
0,24,10,624
0,24,11,684
0,24,1,84
0,24,3,204
0,25,2,145
0,25,10,625
0,25,11,685
0,25,1,85
0,25,3,205
0,26,2,146
0,26,10,626
0,26,11,686
0,26,1,86
0,26,3,206
0,27,2,147
0,27,10,627
0,27,11,687
0,27,1,87
0,27,3,207
0,28,2,148
0,28,10,628
0,28,11,688
0,28,1,88
0,28,3,208
0,29,2,149
0,29,10,629
0,29,11,689
0,29,1,89
0,29,3,209
0,30,2,150
0,30,10,630
0,30,11,690
0,30,1,90
0,30,3,210
0,31,2,151
0,31,10,631
0,31,11,691
0,31,1,91
0,31,3,211
0,32,2,152
0,32,10,632
0,32,11,692
0,32,1,92
0,32,3,212
0,33,2,153
0,33,10,633
0,33,11,693
0,33,1,93
0,33,3,213
0,34,2,154
0,34,10,634
0,34,11,694
0,34,1,94
0,34,3,214
0,35,2,155
0,35,10,635
0,35,11,695
0,35,1,95
0,35,3,215
0,36,2,156
0,36,10,636
0,36,11,696
0,36,1,96
0,36,3,216
0,37,2,157
0,37,10,637
0,37,11,697
0,37,1,97
0,37,3,217
0,38,2,158
0,38,10,638
0,38,11,698
0,38,1,98
0,38,3,218
0,39,2,159
0,39,10,639
0,39,11,699
0,39,1,99
0,39,3,219
0,40,2,160
0,40,10,640
0,40,11,700
0,40,1,100
0,40,3,220
0,41,2,161
0,41,10,641
0,41,11,701
0,41,1,101
0,41,3,221
0,42,2,162
0,42,10,642
0,42,11,702
0,42,1,102
0,42,3,222
0,43,2,163
0,43,10,643
0,43,11,703
0,43,1,103
0,43,3,223
0,44,2,164
0,44,10,644
0,44,11,704
0,44,1,104
0,44,3,224
0,45,2,165
0,45,10,645
0,45,11,705
0,45,1,105
0,45,3,225
0,46,2,166
0,46,10,646
0,46,11,706
0,46,1,106
0,46,3,226
0,47,2,167
0,47,10,647
0,47,11,707
0,47,1,107
0,47,3,227
0,48,2,168
0,48,10,648
0,48,11,708
0,48,1,108
0,48,3,228
0,49,2,169
0,49,10,649
0,49,11,709
0,49,1,109
0,49,3,229
0,50,2,170
0,50,10,650
0,50,11,710
0,50,1,110
0,50,3,230
0,51,2,171
0,51,10,651
0,51,11,711
0,51,1,111
0,51,3,231
0,52,2,172
0,52,10,652
0,52,11,712
0,52,1,112
0,52,3,232
0,53,2,173
0,53,10,653
0,53,11,713
0,53,1,113
0,53,3,233
0,54,2,174
0,54,10,654
0,54,11,714
0,54,1,114
0,54,3,234
0,55,2,175
0,55,10,655
0,55,11,715
0,55,1,115
0,55,3,235
0,56,2,176
0,56,10,656
0,56,11,716
0,56,1,116
0,56,3,236
0,57,2,177
0,57,10,657
0,57,11,717
0,57,1,117
0,57,3,237
0,58,2,178
0,58,10,658
0,58,11,718
0,58,1,118
0,58,3,238
0,59,2,179
0,59,10,659
0,59,11,719
0,59,1,119
0,59,3,239
2,120,4,240
2,120,5,300
2,120,9,540
2,120,1,60
2,120,8,480
2,121,4,241
2,121,5,301
2,121,9,541
2,121,1,61
2,121,8,481
2,122,4,242
2,122,5,302
2,122,9,542
2,122,1,62
2,122,8,482
2,123,4,243
2,123,5,303
2,123,9,543
2,123,1,63
2,123,8,483
2,124,4,244
2,124,5,304
2,124,9,544
2,124,1,64
2,124,8,484
2,125,4,245
2,125,5,305
2,125,9,545
2,125,1,65
2,125,8,485
2,126,4,246
2,126,5,306
2,126,9,546
2,126,1,66
2,126,8,486
2,127,4,247
2,127,5,307
2,127,9,547
2,127,1,67
