From TID,From JID,To TID,To JID
0,0,2,252
0,0,3,378
0,0,1,126
0,1,2,253
0,1,3,379
0,1,1,127
0,2,2,254
0,2,3,380
0,2,1,128
0,3,2,255
0,3,3,381
0,3,1,129
0,4,2,256
0,4,3,382
0,4,1,130
0,5,2,257
0,5,3,383
0,5,1,131
0,6,2,258
0,6,3,384
0,6,1,132
0,7,2,259
0,7,3,385
0,7,1,133
0,8,2,260
0,8,3,386
0,8,1,134
0,9,2,261
0,9,3,387
0,9,1,135
0,10,2,262
0,10,3,388
0,10,1,136
0,11,2,263
0,11,3,389
0,11,1,137
0,12,2,264
0,12,3,390
0,12,1,138
0,13,2,265
0,13,3,391
0,13,1,139
0,14,2,266
0,14,3,392
0,14,1,140
0,15,2,267
0,15,3,393
0,15,1,141
0,16,2,268
0,16,3,394
0,16,1,142
0,17,2,269
0,17,3,395
0,17,1,143
0,18,2,270
0,18,3,396
0,18,1,144
0,19,2,271
0,19,3,397
0,19,1,145
0,20,2,272
0,20,3,398
0,20,1,146
0,21,2,273
0,21,3,399
0,21,1,147
0,22,2,274
0,22,3,400
0,22,1,148
0,23,2,275
0,23,3,401
0,23,1,149
0,24,2,276
0,24,3,402
0,24,1,150
0,25,2,277
0,25,3,403
0,25,1,151
0,26,2,278
0,26,3,404
0,26,1,152
0,27,2,279
0,27,3,405
0,27,1,153
0,28,2,280
0,28,3,406
0,28,1,154
0,29,2,281
0,29,3,407
0,29,1,155
0,30,2,282
0,30,3,408
0,30,1,156
0,31,2,283
0,31,3,409
0,31,1,157
0,32,2,284
0,32,3,410
0,32,1,158
0,33,2,285
0,33,3,411
0,33,1,159
0,34,2,286
0,34,3,412
0,34,1,160
0,35,2,287
0,35,3,413
0,35,1,161
0,36,2,288
0,36,3,414
0,36,1,162
0,37,2,289
0,37,3,415
0,37,1,163
0,38,2,290
0,38,3,416
0,38,1,164
0,39,2,291
0,39,3,417
0,39,1,165
0,40,2,292
0,40,3,418
0,40,1,166
0,41,2,293
0,41,3,419
0,41,1,167
0,42,2,294
0,42,3,420
0,42,1,168
0,43,2,295
0,43,3,421
0,43,1,169
0,44,2,296
0,44,3,422
0,44,1,170
0,45,2,297
0,45,3,423
0,45,1,171
0,46,2,298
0,46,3,424
0,46,1,172
0,47,2,299
0,47,3,425
0,47,1,173
0,48,2,300
0,48,3,426
0,48,1,174
0,49,2,301
0,49,3,427
0,49,1,175
0,50,2,302
0,50,3,428
0,50,1,176
0,51,2,303
0,51,3,429
0,51,1,177
0,52,2,304
0,52,3,430
0,52,1,178
0,53,2,305
0,53,3,431
0,53,1,179
0,54,2,306
0,54,3,432
0,54,1,180
0,55,2,307
0,55,3,433
0,55,1,181
0,56,2,308
0,56,3,434
0,56,1,182
0,57,2,309
0,57,3,435
0,57,1,183
0,58,2,310
0,58,3,436
0,58,1,184
0,59,2,311
0,59,3,437
0,59,1,185
0,60,2,312
0,60,3,438
0,60,1,186
0,61,2,313
0,61,3,439
0,61,1,187
0,62,2,314
0,62,3,440
0,62,1,188
0,63,2,315
0,63,3,441
0,63,1,189
0,64,2,316
0,64,3,442
0,64,1,190
