From TID,From JID,To TID,To JID
0,0,2,912
0,0,3,1368
0,0,4,1824
0,0,7,3192
0,1,2,913
0,1,3,1369
0,1,4,1825
0,1,7,3193
0,2,2,914
0,2,3,1370
0,2,4,1826
0,2,7,3194
0,3,2,915
0,3,3,1371
0,3,4,1827
0,3,7,3195
0,4,2,916
0,4,3,1372
0,4,4,1828
0,4,7,3196
0,5,2,917
0,5,3,1373
0,5,4,1829
0,5,7,3197
0,6,2,918
0,6,3,1374
0,6,4,1830
0,6,7,3198
0,7,2,919
0,7,3,1375
0,7,4,1831
0,7,7,3199
0,8,2,920
0,8,3,1376
0,8,4,1832
0,8,7,3200
0,9,2,921
0,9,3,1377
0,9,4,1833
0,9,7,3201
0,10,2,922
0,10,3,1378
0,10,4,1834
0,10,7,3202
0,11,2,923
0,11,3,1379
0,11,4,1835
0,11,7,3203
0,12,2,924
0,12,3,1380
0,12,4,1836
0,12,7,3204
0,13,2,925
0,13,3,1381
0,13,4,1837
0,13,7,3205
0,14,2,926
0,14,3,1382
0,14,4,1838
0,14,7,3206
0,15,2,927
0,15,3,1383
0,15,4,1839
0,15,7,3207
0,16,2,928
0,16,3,1384
0,16,4,1840
0,16,7,3208
0,17,2,929
0,17,3,1385
0,17,4,1841
0,17,7,3209
0,18,2,930
0,18,3,1386
0,18,4,1842
0,18,7,3210
0,19,2,931
0,19,3,1387
0,19,4,1843
0,19,7,3211
0,20,2,932
0,20,3,1388
0,20,4,1844
0,20,7,3212
0,21,2,933
0,21,3,1389
0,21,4,1845
0,21,7,3213
0,22,2,934
0,22,3,1390
0,22,4,1846
0,22,7,3214
0,23,2,935
0,23,3,1391
0,23,4,1847
0,23,7,3215
0,24,2,936
0,24,3,1392
0,24,4,1848
0,24,7,3216
0,25,2,937
0,25,3,1393
0,25,4,1849
0,25,7,3217
0,26,2,938
0,26,3,1394
0,26,4,1850
0,26,7,3218
0,27,2,939
0,27,3,1395
0,27,4,1851
0,27,7,3219
0,28,2,940
0,28,3,1396
0,28,4,1852
0,28,7,3220
0,29,2,941
0,29,3,1397
0,29,4,1853
0,29,7,3221
0,30,2,942
0,30,3,1398
0,30,4,1854
0,30,7,3222
0,31,2,943
0,31,3,1399
0,31,4,1855
0,31,7,3223
0,32,2,944
0,32,3,1400
0,32,4,1856
0,32,7,3224
0,33,2,945
0,33,3,1401
0,33,4,1857
0,33,7,3225
0,34,2,946
0,34,3,1402
0,34,4,1858
0,34,7,3226
0,35,2,947
0,35,3,1403
0,35,4,1859
0,35,7,3227
0,36,2,948
0,36,3,1404
0,36,4,1860
0,36,7,3228
0,37,2,949
0,37,3,1405
0,37,4,1861
0,37,7,3229
0,38,2,950
0,38,3,1406
0,38,4,1862
0,38,7,3230
0,39,2,951
0,39,3,1407
0,39,4,1863
0,39,7,3231
0,40,2,952
0,40,3,1408
0,40,4,1864
0,40,7,3232
0,41,2,953
0,41,3,1409
0,41,4,1865
0,41,7,3233
0,42,2,954
0,42,3,1410
0,42,4,1866
0,42,7,3234
0,43,2,955
0,43,3,1411
0,43,4,1867
0,43,7,3235
0,44,2,956
0,44,3,1412
0,44,4,1868
0,44,7,3236
0,45,2,957
0,45,3,1413
0,45,4,1869
0,45,7,3237
0,46,2,958
0,46,3,1414
0,46,4,1870
0,46,7,3238
0,47,2,959
0,47,3,1415
0,47,4,1871
0,47,7,3239
0,48,2,960
0,48,3,1416
0,48,4,1872
0,48,7,3240
0,49,2,961
0,49,3,1417
0,49,4,1873
0,49,7,3241
0,50,2,962
0,50,3,1418
0,50,4,1874
0,50,7,3242
0,51,2,963
0,51,3,1419
0,51,4,1875
0,51,7,3243
0,52,2,964
0,52,3,1420
0,52,4,1876
0,52,7,3244
0,53,2,965
0,53,3,1421
0,53,4,1877
0,53,7,3245
0,54,2,966
0,54,3,1422
0,54,4,1878
0,54,7,3246
0,55,2,967
0,55,3,1423
0,55,4,1879
0,55,7,3247
0,56,2,968
0,56,3,1424
0,56,4,1880
0,56,7,3248
0,57,2,969
0,57,3,1425
0,57,4,1881
0,57,7,3249
0,58,2,970
0,58,3,1426
0,58,4,1882
0,58,7,3250
0,59,2,971
0,59,3,1427
0,59,4,1883
0,59,7,3251
0,60,2,972
0,60,3,1428
0,60,4,1884
0,60,7,3252
0,61,2,973
0,61,3,1429
0,61,4,1885
0,61,7,3253
0,62,2,974
0,62,3,1430
0,62,4,1886
0,62,7,3254
0,63,2,975
0,63,3,1431
0,63,4,1887
0,63,7,3255
0,64,2,976
0,64,3,1432
0,64,4,1888
0,64,7,3256
0,65,2,977
0,65,3,1433
0,65,4,1889
0,65,7,3257
0,66,2,978
0,66,3,1434
0,66,4,1890
0,66,7,3258
0,67,2,979
0,67,3,1435
0,67,4,1891
0,67,7,3259
0,68,2,980
0,68,3,1436
0,68,4,1892
0,68,7,3260
0,69,2,981
0,69,3,1437
0,69,4,1893
0,69,7,3261
0,70,2,982
0,70,3,1438
0,70,4,1894
0,70,7,3262
0,71,2,983
0,71,3,1439
0,71,4,1895
0,71,7,3263
0,72,2,984
0,72,3,1440
0,72,4,1896
0,72,7,3264
0,73,2,985
0,73,3,1441
0,73,4,1897
0,73,7,3265
0,74,2,986
0,74,3,1442
0,74,4,1898
0,74,7,3266
0,75,2,987
0,75,3,1443
0,75,4,1899
0,75,7,3267
0,76,2,988
0,76,3,1444
0,76,4,1900
0,76,7,3268
0,77,2,989
0,77,3,1445
0,77,4,1901
0,77,7,3269
0,78,2,990
0,78,3,1446
0,78,4,1902
0,78,7,3270
0,79,2,991
0,79,3,1447
0,79,4,1903
0,79,7,3271
0,80,2,992
0,80,3,1448
0,80,4,1904
0,80,7,3272
0,81,2,993
0,81,3,1449
0,81,4,1905
0,81,7,3273
0,82,2,994
0,82,3,1450
0,82,4,1906
0,82,7,3274
0,83,2,995
0,83,3,1451
0,83,4,1907
0,83,7,3275
0,84,2,996
0,84,3,1452
0,84,4,1908
0,84,7,3276
0,85,2,997
0,85,3,1453
0,85,4,1909
0,85,7,3277
0,86,2,998
0,86,3,1454
0,86,4,1910
0,86,7,3278
0,87,2,999
0,87,3,1455
0,87,4,1911
0,87,7,3279
0,88,2,1000
0,88,3,1456
0,88,4,1912
0,88,7,3280
0,89,2,1001
0,89,3,1457
0,89,4,1913
0,89,7,3281
0,90,2,1002
0,90,3,1458
0,90,4,1914
0,90,7,3282
0,91,2,1003
0,91,3,1459
0,91,4,1915
0,91,7,3283
0,92,2,1004
0,92,3,1460
0,92,4,1916
0,92,7,3284
0,93,2,1005
0,93,3,1461
0,93,4,1917
0,93,7,3285
0,94,2,1006
0,94,3,1462
0,94,4,1918
0,94,7,3286
0,95,2,1007
0,95,3,1463
0,95,4,1919
0,95,7,3287
0,96,2,1008
0,96,3,1464
0,96,4,1920
0,96,7,3288
0,97,2,1009
0,97,3,1465
0,97,4,1921
0,97,7,3289
0,98,2,1010
0,98,3,1466
0,98,4,1922
0,98,7,3290
0,99,2,1011
0,99,3,1467
0,99,4,1923
0,99,7,3291
0,100,2,1012
0,100,3,1468
0,100,4,1924
0,100,7,3292
0,101,2,1013
0,101,3,1469
0,101,4,1925
0,101,7,3293
0,102,2,1014
0,102,3,1470
0,102,4,1926
0,102,7,3294
0,103,2,1015
0,103,3,1471
0,103,4,1927
0,103,7,3295
0,104,2,1016
0,104,3,1472
0,104,4,1928
0,104,7,3296
0,105,2,1017
0,105,3,1473
0,105,4,1929
0,105,7,3297
0,106,2,1018
0,106,3,1474
0,106,4,1930
0,106,7,3298
0,107,2,1019
0,107,3,1475
0,107,4,1931
0,107,7,3299
0,108,2,1020
0,108,3,1476
0,108,4,1932
0,108,7,3300
0,109,2,1021
0,109,3,1477
0,109,4,1933
0,109,7,3301
0,110,2,1022
0,110,3,1478
0,110,4,1934
0,110,7,3302
0,111,2,1023
0,111,3,1479
0,111,4,1935
0,111,7,3303
0,112,2,1024
0,112,3,1480
0,112,4,1936
0,112,7,3304
0,113,2,1025
0,113,3,1481
0,113,4,1937
0,113,7,3305
0,114,2,1026
0,114,3,1482
0,114,4,1938
0,114,7,3306
0,115,2,1027
0,115,3,1483
0,115,4,1939
0,115,7,3307
0,116,2,1028
0,116,3,1484
0,116,4,1940
0,116,7,3308
0,117,2,1029
0,117,3,1485
0,117,4,1941
0,117,7,3309
0,118,2,1030
0,118,3,1486
0,118,4,1942
0,118,7,3310
0,119,2,1031
0,119,3,1487
0,119,4,1943
0,119,7,3311
0,120,2,1032
0,120,3,1488
0,120,4,1944
0,120,7,3312
0,121,2,1033
0,121,3,1489
0,121,4,1945
0,121,7,3313
0,122,2,1034
0,122,3,1490
0,122,4,1946
0,122,7,3314
0,123,2,1035
0,123,3,1491
0,123,4,1947
0,123,7,3315
0,124,2,1036
0,124,3,1492
0,124,4,1948
0,124,7,3316
0,125,2,1037
0,125,3,1493
0,125,4,1949
0,125,7,3317
0,126,2,1038
0,126,3,1494
0,126,4,1950
0,126,7,3318
0,127,2,1039
0,127,3,1495
0,127,4,1951
0,127,7,3319
0,128,2,1040
0,128,3,1496
0,128,4,1952
0,128,7,3320
0,129,2,1041
0,129,3,1497
0,129,4,1953
0,129,7,3321
0,130,2,1042
0,130,3,1498
0,130,4,1954
0,130,7,3322
0,131,2,1043
0,131,3,1499
0,131,4,1955
0,131,7,3323
0,132,2,1044
0,132,3,1500
0,132,4,1956
0,132,7,3324
0,133,2,1045
0,133,3,1501
0,133,4,1957
0,133,7,3325
0,134,2,1046
0,134,3,1502
0,134,4,1958
0,134,7,3326
0,135,2,1047
0,135,3,1503
0,135,4,1959
0,135,7,3327
0,136,2,1048
0,136,3,1504
0,136,4,1960
0,136,7,3328
0,137,2,1049
0,137,3,1505
0,137,4,1961
0,137,7,3329
0,138,2,1050
