Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,58,584,10000,10000
0,1,10000,11000,58,584,20000,10000
0,2,20000,21000,58,584,30000,10000
0,3,30000,31000,58,584,40000,10000
0,4,40000,41000,58,584,50000,10000
0,5,50000,51000,58,584,60000,10000
0,6,60000,61000,58,584,70000,10000
0,7,70000,71000,58,584,80000,10000
0,8,80000,81000,58,584,90000,10000
0,9,90000,91000,58,584,100000,10000
1,10,0,1000,67,661,10000,10000
1,11,10000,11000,67,661,20000,10000
1,12,20000,21000,67,661,30000,10000
1,13,30000,31000,67,661,40000,10000
1,14,40000,41000,67,661,50000,10000
1,15,50000,51000,67,661,60000,10000
1,16,60000,61000,67,661,70000,10000
1,17,70000,71000,67,661,80000,10000
1,18,80000,81000,67,661,90000,10000
1,19,90000,91000,67,661,100000,10000
2,20,0,1000,54,539,10000,10000
2,21,10000,11000,54,539,20000,10000
2,22,20000,21000,54,539,30000,10000
2,23,30000,31000,54,539,40000,10000
2,24,40000,41000,54,539,50000,10000
2,25,50000,51000,54,539,60000,10000
2,26,60000,61000,54,539,70000,10000
2,27,70000,71000,54,539,80000,10000
2,28,80000,81000,54,539,90000,10000
2,29,90000,91000,54,539,100000,10000
3,30,0,1000,30,296,10000,10000
3,31,10000,11000,30,296,20000,10000
3,32,20000,21000,30,296,30000,10000
3,33,30000,31000,30,296,40000,10000
3,34,40000,41000,30,296,50000,10000
3,35,50000,51000,30,296,60000,10000
3,36,60000,61000,30,296,70000,10000
3,37,70000,71000,30,296,80000,10000
3,38,80000,81000,30,296,90000,10000
3,39,90000,91000,30,296,100000,10000
4,40,0,1000,51,512,10000,10000
4,41,10000,11000,51,512,20000,10000
4,42,20000,21000,51,512,30000,10000
4,43,30000,31000,51,512,40000,10000
4,44,40000,41000,51,512,50000,10000
4,45,50000,51000,51,512,60000,10000
4,46,60000,61000,51,512,70000,10000
4,47,70000,71000,51,512,80000,10000
4,48,80000,81000,51,512,90000,10000
4,49,90000,91000,51,512,100000,10000
5,50,0,1000,51,511,10000,10000
5,51,10000,11000,51,511,20000,10000
5,52,20000,21000,51,511,30000,10000
5,53,30000,31000,51,511,40000,10000
5,54,40000,41000,51,511,50000,10000
5,55,50000,51000,51,511,60000,10000
5,56,60000,61000,51,511,70000,10000
5,57,70000,71000,51,511,80000,10000
5,58,80000,81000,51,511,90000,10000
5,59,90000,91000,51,511,100000,10000
6,60,0,1000,26,258,10000,10000
6,61,10000,11000,26,258,20000,10000
6,62,20000,21000,26,258,30000,10000
6,63,30000,31000,26,258,40000,10000
6,64,40000,41000,26,258,50000,10000
6,65,50000,51000,26,258,60000,10000
6,66,60000,61000,26,258,70000,10000
6,67,70000,71000,26,258,80000,10000
6,68,80000,81000,26,258,90000,10000
6,69,90000,91000,26,258,100000,10000
7,70,0,1000,25,250,10000,10000
7,71,10000,11000,25,250,20000,10000
7,72,20000,21000,25,250,30000,10000
7,73,30000,31000,25,250,40000,10000
7,74,40000,41000,25,250,50000,10000
7,75,50000,51000,25,250,60000,10000
7,76,60000,61000,25,250,70000,10000
7,77,70000,71000,25,250,80000,10000
7,78,80000,81000,25,250,90000,10000
7,79,90000,91000,25,250,100000,10000
8,80,0,1000,8,81,10000,10000
8,81,10000,11000,8,81,20000,10000
8,82,20000,21000,8,81,30000,10000
8,83,30000,31000,8,81,40000,10000
8,84,40000,41000,8,81,50000,10000
8,85,50000,51000,8,81,60000,10000
8,86,60000,61000,8,81,70000,10000
8,87,70000,71000,8,81,80000,10000
8,88,80000,81000,8,81,90000,10000
8,89,90000,91000,8,81,100000,10000
9,90,0,1000,24,244,10000,10000
9,91,10000,11000,24,244,20000,10000
9,92,20000,21000,24,244,30000,10000
9,93,30000,31000,24,244,40000,10000
9,94,40000,41000,24,244,50000,10000
9,95,50000,51000,24,244,60000,10000
9,96,60000,61000,24,244,70000,10000
9,97,70000,71000,24,244,80000,10000
9,98,80000,81000,24,244,90000,10000
9,99,90000,91000,24,244,100000,10000
10,100,0,1000,12,122,10000,10000
10,101,10000,11000,12,122,20000,10000
10,102,20000,21000,12,122,30000,10000
10,103,30000,31000,12,122,40000,10000
10,104,40000,41000,12,122,50000,10000
10,105,50000,51000,12,122,60000,10000
10,106,60000,61000,12,122,70000,10000
10,107,70000,71000,12,122,80000,10000
10,108,80000,81000,12,122,90000,10000
10,109,90000,91000,12,122,100000,10000
11,110,0,1000,54,539,10000,10000
11,111,10000,11000,54,539,20000,10000
11,112,20000,21000,54,539,30000,10000
11,113,30000,31000,54,539,40000,10000
11,114,40000,41000,54,539,50000,10000
11,115,50000,51000,54,539,60000,10000
11,116,60000,61000,54,539,70000,10000
11,117,70000,71000,54,539,80000,10000
11,118,80000,81000,54,539,90000,10000
11,119,90000,91000,54,539,100000,10000
12,120,0,1000,5,55,10000,10000
12,121,10000,11000,5,55,20000,10000
12,122,20000,21000,5,55,30000,10000
12,123,30000,31000,5,55,40000,10000
12,124,40000,41000,5,55,50000,10000
