From TID,From JID,To TID,To JID
0,0,2,20
0,0,10,100
0,0,11,110
0,0,1,10
0,0,8,80
0,1,2,21
0,1,10,101
0,1,11,111
0,1,1,11
0,1,8,81
0,2,2,22
0,2,10,102
0,2,11,112
0,2,1,12
0,2,8,82
0,3,2,23
0,3,10,103
0,3,11,113
0,3,1,13
0,3,8,83
0,4,2,24
0,4,10,104
0,4,11,114
0,4,1,14
0,4,8,84
0,5,2,25
0,5,10,105
0,5,11,115
0,5,1,15
0,5,8,85
0,6,2,26
0,6,10,106
0,6,11,116
0,6,1,16
0,6,8,86
0,7,2,27
0,7,10,107
0,7,11,117
0,7,1,17
0,7,8,87
0,8,2,28
0,8,10,108
0,8,11,118
0,8,1,18
0,8,8,88
0,9,2,29
0,9,10,109
0,9,11,119
0,9,1,19
0,9,8,89
2,20,4,40
2,20,5,50
2,20,9,90
2,20,3,30
2,21,4,41
2,21,5,51
2,21,9,91
2,21,3,31
2,22,4,42
2,22,5,52
2,22,9,92
2,22,3,32
2,23,4,43
2,23,5,53
2,23,9,93
2,23,3,33
2,24,4,44
2,24,5,54
2,24,9,94
2,24,3,34
2,25,4,45
2,25,5,55
2,25,9,95
2,25,3,35
2,26,4,46
2,26,5,56
2,26,9,96
2,26,3,36
2,27,4,47
2,27,5,57
2,27,9,97
2,27,3,37
2,28,4,48
2,28,5,58
2,28,9,98
2,28,3,38
2,29,4,49
2,29,5,59
2,29,9,99
2,29,3,39
3,30,1,10
3,31,1,11
3,32,1,12
3,33,1,13
3,34,1,14
3,35,1,15
3,36,1,16
3,37,1,17
3,38,1,18
3,39,1,19
4,40,3,30
4,40,6,60
4,40,7,70
4,40,8,80
4,41,3,31
4,41,6,61
4,41,7,71
4,41,8,81
4,42,3,32
4,42,6,62
4,42,7,72
4,42,8,82
4,43,3,33
4,43,6,63
4,43,7,73
4,43,8,83
4,44,3,34
4,44,6,64
4,44,7,74
4,44,8,84
4,45,3,35
4,45,6,65
4,45,7,75
4,45,8,85
4,46,3,36
4,46,6,66
4,46,7,76
4,46,8,86
4,47,3,37
4,47,6,67
4,47,7,77
4,47,8,87
4,48,3,38
4,48,6,68
4,48,7,78
4,48,8,88
4,49,3,39
4,49,6,69
4,49,7,79
4,49,8,89
5,50,7,70
5,50,8,80
5,50,6,60
5,51,7,71
5,51,8,81
5,51,6,61
