Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,144,1440,10000,10000
0,1,10000,11000,144,1440,20000,10000
0,2,20000,21000,144,1440,30000,10000
0,3,30000,31000,144,1440,40000,10000
1,4,0,1000,86,859,10000,10000
1,5,10000,11000,86,859,20000,10000
1,6,20000,21000,86,859,30000,10000
1,7,30000,31000,86,859,40000,10000
2,8,0,1000,49,490,10000,10000
2,9,10000,11000,49,490,20000,10000
2,10,20000,21000,49,490,30000,10000
2,11,30000,31000,49,490,40000,10000
3,12,0,1000,43,427,10000,10000
3,13,10000,11000,43,427,20000,10000
3,14,20000,21000,43,427,30000,10000
3,15,30000,31000,43,427,40000,10000
4,16,0,1000,107,1071,10000,10000
4,17,10000,11000,107,1071,20000,10000
4,18,20000,21000,107,1071,30000,10000
4,19,30000,31000,107,1071,40000,10000
5,20,0,1000,47,465,10000,10000
5,21,10000,11000,47,465,20000,10000
5,22,20000,21000,47,465,30000,10000
5,23,30000,31000,47,465,40000,10000
6,24,0,1000,1,14,10000,10000
6,25,10000,11000,1,14,20000,10000
6,26,20000,21000,1,14,30000,10000
6,27,30000,31000,1,14,40000,10000
7,28,0,1000,46,464,10000,10000
7,29,10000,11000,46,464,20000,10000
7,30,20000,21000,46,464,30000,10000
7,31,30000,31000,46,464,40000,10000
8,32,0,1000,20,199,10000,10000
8,33,10000,11000,20,199,20000,10000
8,34,20000,21000,20,199,30000,10000
8,35,30000,31000,20,199,40000,10000
9,36,0,1000,17,169,10000,10000
9,37,10000,11000,17,169,20000,10000
9,38,20000,21000,17,169,30000,10000
9,39,30000,31000,17,169,40000,10000
10,40,0,1000,35,354,10000,10000
10,41,10000,11000,35,354,20000,10000
10,42,20000,21000,35,354,30000,10000
10,43,30000,31000,35,354,40000,10000
11,44,0,1000,32,319,10000,10000
11,45,10000,11000,32,319,20000,10000
11,46,20000,21000,32,319,30000,10000
11,47,30000,31000,32,319,40000,10000
12,48,0,1000,0,0,10000,10000
12,49,10000,11000,0,0,20000,10000
12,50,20000,21000,0,0,30000,10000
12,51,30000,31000,0,0,40000,10000
13,52,0,1000,70,700,10000,10000
13,53,10000,11000,70,700,20000,10000
13,54,20000,21000,70,700,30000,10000
13,55,30000,31000,70,700,40000,10000
14,56,0,1000,37,374,10000,10000
14,57,10000,11000,37,374,20000,10000
14,58,20000,21000,37,374,30000,10000
14,59,30000,31000,37,374,40000,10000
15,60,0,1000,108,1080,10000,10000
15,61,10000,11000,108,1080,20000,10000
15,62,20000,21000,108,1080,30000,10000
15,63,30000,31000,108,1080,40000,10000
16,64,0,1000,93,933,10000,10000
16,65,10000,11000,93,933,20000,10000
16,66,20000,21000,93,933,30000,10000
16,67,30000,31000,93,933,40000,10000
17,68,0,1000,15,149,10000,10000
17,69,10000,11000,15,149,20000,10000
17,70,20000,21000,15,149,30000,10000
17,71,30000,31000,15,149,40000,10000
18,72,0,1000,1,8,10000,10000
18,73,10000,11000,1,8,20000,10000
18,74,20000,21000,1,8,30000,10000
18,75,30000,31000,1,8,40000,10000
19,76,0,1000,125,1242,10000,10000
19,77,10000,11000,125,1242,20000,10000
19,78,20000,21000,125,1242,30000,10000
19,79,30000,31000,125,1242,40000,10000
20,80,0,1000,176,1763,10000,10000
20,81,10000,11000,176,1763,20000,10000
20,82,20000,21000,176,1763,30000,10000
20,83,30000,31000,176,1763,40000,10000
21,84,0,1000,74,741,10000,10000
21,85,10000,11000,74,741,20000,10000
21,86,20000,21000,74,741,30000,10000
21,87,30000,31000,74,741,40000,10000
22,88,0,2000,74,744,20000,20000
22,89,20000,22000,74,744,40000,20000
23,90,0,2000,54,536,20000,20000
23,91,20000,22000,54,536,40000,20000
24,92,0,2000,14,139,20000,20000
24,93,20000,22000,14,139,40000,20000
25,94,0,2000,8,80,20000,20000
25,95,20000,22000,8,80,40000,20000
26,96,0,2000,57,564,20000,20000
26,97,20000,22000,57,564,40000,20000
27,98,0,2000,3,30,20000,20000
27,99,20000,22000,3,30,40000,20000
28,100,0,2000,76,761,20000,20000
28,101,20000,22000,76,761,40000,20000
29,102,0,2000,60,594,20000,20000
29,103,20000,22000,60,594,40000,20000
30,104,0,2000,66,664,20000,20000
30,105,20000,22000,66,664,40000,20000
31,106,0,2000,49,488,20000,20000
31,107,20000,22000,49,488,40000,20000
32,108,0,2000,53,533,20000,20000
32,109,20000,22000,53,533,40000,20000
33,110,0,2000,3,35,20000,20000
33,111,20000,22000,3,35,40000,20000
34,112,0,2000,81,810,20000,20000
34,113,20000,22000,81,810,40000,20000
35,114,0,2000,30,305,20000,20000
35,115,20000,22000,30,305,40000,20000
36,116,0,2000,25,250,20000,20000
36,117,20000,22000,25,250,40000,20000
37,118,0,4000,171,1714,40000,40000
38,119,0,4000,195,1956,40000,40000
39,120,0,4000,9,92,40000,40000
40,121,0,4000,210,2093,40000,40000
